﻿变量名,rankMax,award,version
默认值,,{},0
ID,最大排名,排名奖励,奖励版本
1,1,{gold=900000;coin3=1000;502=12},
2,2,{gold=750000;coin3=800;502=10},
3,3,{gold=675000;coin3=650;502=9},
4,4,{gold=600000;coin3=550;502=8},
5,8,{gold=525000;coin3=450;502=7},
6,16,{gold=450000;coin3=400;502=6},
7,32,{gold=420000;coin3=360;502=5},
8,64,{gold=390000;coin3=320;502=5},
9,100,{gold=360000;coin3=290;502=4},
10,200,{gold=330000;coin3=260;502=4},
11,300,{gold=300000;coin3=240;502=4},
12,500,{gold=270000;coin3=220;502=3},
13,1000,{gold=255000;coin3=200;502=3},
14,2000,{gold=240000;coin3=180;502=3},
15,9999,{gold=225000;coin3=160;502=2},
