变量名,level,type,point,award,icon,boxIcon,spine
默认值,0,0,0,{},"""""","""""",""""""
ID,成就等级,成就分类 0=成就总览 1=人物成长 2=精灵收集 3=精灵培养 4=副本活动 5=竞技挑战 6=社交,所需成就点,等级奖励,等级图标,宝箱图标,spine动画
1,0,,0,,city/task/achievement/icon_cjdw1.png,config/item/box/box_4_1.png,
2,1,,100,{rmb=50;gold=22000},city/task/achievement/icon_cjdw1.png,config/item/box/box_4_1.png,
3,2,,300,{rmb=50;gold=22000},city/task/achievement/icon_cjdw1.png,config/item/box/box_4_1.png,
4,3,,500,{rmb=50;gold=22000},city/task/achievement/icon_cjdw1.png,config/item/box/box_4_1.png,
5,4,,700,{rmb=50;gold=22000},city/task/achievement/icon_cjdw1.png,config/item/box/box_4_1.png,
6,5,,900,{rmb=100;gold=44000},city/task/achievement/icon_cjdw1.png,config/item/box/box_4_1.png,
7,6,,1200,{rmb=100;gold=44000},city/task/achievement/icon_cjdw1.png,config/item/box/box_4_1.png,
8,7,,1500,{rmb=100;gold=44000},city/task/achievement/icon_cjdw1.png,config/item/box/box_4_1.png,
9,8,,1800,{rmb=100;gold=44000},city/task/achievement/icon_cjdw1.png,config/item/box/box_4_1.png,
10,9,,2100,{rmb=100;gold=44000},city/task/achievement/icon_cjdw1.png,config/item/box/box_4_1.png,
11,10,,2400,{rmb=150;gold=66000},city/task/achievement/icon_cjdw1.png,config/item/box/box_4_1.png,
12,11,,2700,{rmb=150;gold=66000},city/task/achievement/icon_cjdw2.png,config/item/box/box_4_2.png,jinjie1_effect
13,12,,3000,{rmb=150;gold=66000},city/task/achievement/icon_cjdw2.png,config/item/box/box_4_2.png,jinjie1_effect
14,13,,3500,{rmb=150;gold=66000},city/task/achievement/icon_cjdw2.png,config/item/box/box_4_2.png,jinjie1_effect
15,14,,4000,{rmb=150;gold=66000},city/task/achievement/icon_cjdw2.png,config/item/box/box_4_2.png,jinjie1_effect
16,15,,4500,{rmb=200;gold=88000},city/task/achievement/icon_cjdw2.png,config/item/box/box_4_2.png,jinjie1_effect
17,16,,5000,{rmb=200;gold=88000},city/task/achievement/icon_cjdw2.png,config/item/box/box_4_2.png,jinjie1_effect
18,17,,5500,{rmb=200;gold=88000},city/task/achievement/icon_cjdw2.png,config/item/box/box_4_2.png,jinjie1_effect
19,18,,6000,{rmb=200;gold=88000},city/task/achievement/icon_cjdw2.png,config/item/box/box_4_2.png,jinjie1_effect
20,19,,6500,{rmb=200;gold=88000},city/task/achievement/icon_cjdw2.png,config/item/box/box_4_2.png,jinjie2_effect
21,20,,7000,{rmb=250;gold=110000},city/task/achievement/icon_cjdw2.png,config/item/box/box_4_2.png,jinjie2_effect
22,21,,7500,{rmb=250;gold=110000},city/task/achievement/icon_cjdw3.png,config/item/box/box_4_3.png,jinjie2_effect
23,22,,8000,{rmb=250;gold=110000},city/task/achievement/icon_cjdw3.png,config/item/box/box_4_3.png,jinjie2_effect
24,23,,8500,{rmb=250;gold=110000},city/task/achievement/icon_cjdw3.png,config/item/box/box_4_3.png,jinjie2_effect
25,24,,9000,{rmb=250;gold=110000},city/task/achievement/icon_cjdw3.png,config/item/box/box_4_3.png,jinjie2_effect
26,25,,9500,{rmb=300;gold=132000},city/task/achievement/icon_cjdw3.png,config/item/box/box_4_3.png,jinjie2_effect
27,26,,10000,{rmb=300;gold=132000},city/task/achievement/icon_cjdw3.png,config/item/box/box_4_3.png,jinjie2_effect
28,27,,10500,{rmb=300;gold=132000},city/task/achievement/icon_cjdw3.png,config/item/box/box_4_3.png,jinjie3_effect
29,28,,11000,{rmb=300;gold=132000},city/task/achievement/icon_cjdw3.png,config/item/box/box_4_3.png,jinjie3_effect
30,29,,11500,{rmb=300;gold=132000},city/task/achievement/icon_cjdw3.png,config/item/box/box_4_3.png,jinjie3_effect
31,30,,12000,{rmb=350;gold=154000},city/task/achievement/icon_cjdw3.png,config/item/box/box_4_3.png,jinjie3_effect
32,31,,12500,{rmb=350;gold=154000},city/task/achievement/icon_cjdw4.png,config/item/box/box_4_4.png,jinjie3_effect
33,32,,13000,{rmb=350;gold=154000},city/task/achievement/icon_cjdw4.png,config/item/box/box_4_4.png,jinjie3_effect
34,33,,13500,{rmb=350;gold=154000},city/task/achievement/icon_cjdw4.png,config/item/box/box_4_4.png,jinjie3_effect
35,34,,14000,{rmb=350;gold=154000},city/task/achievement/icon_cjdw4.png,config/item/box/box_4_4.png,jinjie3_effect
36,35,,14500,{rmb=400;gold=176000},city/task/achievement/icon_cjdw4.png,config/item/box/box_4_4.png,jinjie4_effect
37,36,,15000,{rmb=400;gold=176000},city/task/achievement/icon_cjdw4.png,config/item/box/box_4_4.png,jinjie4_effect
38,37,,15500,{rmb=400;gold=176000},city/task/achievement/icon_cjdw4.png,config/item/box/box_4_4.png,jinjie4_effect
39,38,,16000,{rmb=400;gold=176000},city/task/achievement/icon_cjdw4.png,config/item/box/box_4_4.png,jinjie4_effect
40,39,,16500,{rmb=400;gold=176000},city/task/achievement/icon_cjdw4.png,config/item/box/box_4_4.png,jinjie4_effect
