,system,csvID,level
,"""""",1,0
ID,(union_skill-;explorer-;component-;attr_skills-),csvID,/
1,union_skill,1,24
2,union_skill,2,24
3,union_skill,3,24
4,union_skill,4,24
5,union_skill,5,24
6,union_skill,6,24
7,union_skill,7,24
8,union_skill,8,24
9,union_skill,9,24
10,union_skill,10,24
11,union_skill,11,24
12,union_skill,12,24
13,union_skill,13,24
14,union_skill,14,24
15,union_skill,15,24
16,union_skill,16,24
17,union_skill,17,24
,,,
101,explorer,1,12
102,explorer,2,12
103,explorer,3,12
104,explorer,4,12
105,explorer,5,12
106,explorer,6,12
107,explorer,7,12
108,explorer,8,12
109,explorer,9,12
,,,
201,component,1,12
202,component,2,12
203,component,3,12
204,component,4,12
205,component,5,12
206,component,6,12
207,component,7,12
208,component,8,12
209,component,9,12
210,component,10,12
211,component,11,12
212,component,12,12
213,component,13,12
214,component,14,12
215,component,15,12
216,component,16,12
217,component,17,12
218,component,18,12
219,component,19,12
220,component,20,12
221,component,21,12
222,component,22,12
223,component,23,12
224,component,24,12
225,component,25,12
226,component,26,12
227,component,27,12
228,component,28,12
229,component,29,12
230,component,30,12
231,component,31,12
232,component,32,12
233,component,33,12
,,,
301,attr_skills,1,100
302,attr_skills,2,100
303,attr_skills,3,100
304,attr_skills,4,100
305,attr_skills,5,100
,attr_skills,,100
307,attr_skills,7,20
308,attr_skills,8,20
309,attr_skills,9,20
310,attr_skills,10,20
