变量名,score,award,version
默认值,<>,{},0
ID,积分范围(左闭右开),周结算奖励,奖励版本
1,<0;51>,{gold=40000;coin12=1000},0
2,<51;101>,{gold=60000;coin12=1500},0
3,<101;201>,{gold=80000;coin12=2000},0
4,<201;301>,{gold=100000;coin12=2500},0
5,<301;401>,{gold=120000;coin12=3000},0
6,<401;501>,{gold=140000;coin12=3500},0
7,<501;601>,{gold=160000;coin12=4000},0
8,<601;701>,{gold=180000;coin12=4500},0
9,<701;851>,{gold=200000;coin12=5000},0
10,<851;1001>,{gold=220000;coin12=6000},0
11,<1001;1151>,{gold=240000;coin12=7000},0
12,<1151;1351>,{gold=260000;coin12=8000},0
13,<1351;1551>,{gold=280000;coin12=9000},0
14,<1551;1751>,{gold=300000;coin12=10000},0
15,<1751;2001>,{gold=320000;coin12=11000},0
16,<2001;2251>,{gold=340000;coin12=12000},0
17,<2251;2501>,{gold=360000;coin12=13000},0
18,<2501;2801>,{gold=380000;coin12=14000},0
19,<2801;99999>,{gold=400000;coin12=15000},0
