变量名,_beizhu,itemMap,costMap,exchangeLimit,regainHour,beginDate,endDate,vipStart,levelRange,topScore,limitType,limitTimes,showUnable,languages
默认值,,{},{},-1,0,0,20990101,0,<1;150>,0,0,0,FALSE,<cn>
商店ID,备注,商品ID表(ID=数量),消耗积分,兑换次数(-1表示无限次兑换),次数恢复间隔,开始贩售时间,结束贩售时间,起始VIP等级,等级限制,历史最高积分限制,限购周期类型(1-日限购；2-周限购；3-月限购；4-永久限购),限购数量,未解锁时是否可见,语言区域
201,Iron dumbbells,{21901=5},{coin12=1000},,,,,,<150;150>,500,,,,<cn;en;tw;kr>
211,Teeth,{23001=5},{coin12=1000},,,,,,<150;150>,500,,,,<cn;en;tw;kr>
221,Round Land Sharks,{22231=5},{coin12=1000},,,,,,<150;150>,500,,,,<cn;en;tw;kr>
231,Single headed dragon,{23141=5},{coin12=800},,,,,,<150;150>,,,,,<cn;en;tw;kr>
241,Single scabbard,{23411=5},{coin12=800},,,,,,<150;150>,,,,,<cn;en;tw;kr>
,,,,,,,,,,,,,,
600,Experience Potion,{15=2},{coin12=200},,,,,,<150;150>,,,,,<cn;en;tw;kr>
610,gold,{514=30},{coin12=500},,,,,,<150;150>,,,,,<cn;en;tw;kr>
620,Power Potion,{5000=40},{coin12=1000},,,,,,<150;150>,,,,,<cn;en;tw;kr>
630,Runestone Essence,{529=100},{coin12=300},,,,,,<150;150>,,,,,<cn;en;tw;kr>
,,,,,,,,,,,,,,
701,Accessory Awakening Selection Box,{6059=1},{coin12=360000},,,,,,<1;150>,1200,3,1,,<cn;en;tw;kr>
711,Orange Runestone Optional Treasure Box,{993=1},{coin12=80000},,,,,,<1;150>,1200,3,1,,<cn;en;tw;kr>
715,Fragments of Tianci,{23631=1},{coin12=6000},,,,,,<1;150>,800,3,20,,<cn;en;tw;kr>
721,Jewelry star props,{501=1},{coin12=15000},,,,,,<1;150>,600,3,3,,<cn;en;tw;kr>
731,purple magic stone,{2152=1},{coin12=36000},,,,,,<1;150>,600,3,1,,<cn;en;tw;kr>
741,Purple Explorer Chest,{962=1},{coin12=24000},,,,,,<1;150>,600,3,3,,<cn;en;tw;kr>
751,Common Omni Fragments,{502=1},{coin12=8000},,,,,,<1;150>,400,3,10,,<cn;en;tw;kr>
755,ride the dragon,{20641=3},{coin12=10000},,,,,,<1;150>,400,3,50,,<cn>
761,Pieces of Riolu,{22241=3},{coin12=8000},,,,,,<1;150>,200,3,50,,<cn;en;tw;kr>
771,Shard of Cresselia,{22401=3},{coin12=8000},,,,,,<1;150>,200,3,50,,<cn;en;tw;kr>
775,Vine Snake Fragment,{22471=3},{coin12=8000},,,,,,<1;150>,200,3,50,,<cn;en;tw;kr>
781,gold,{gold=200000},{coin12=3600},,,,,,<1;150>,0,3,20,,<cn;en;tw;kr>
791,Giant Experience Potion,{15=10},{coin12=3000},,,,,,<1;150>,0,3,20,,<cn;en;tw;kr>
801,adventure parts,{4000=50},{coin12=1500},,,,,,<1;150>,0,3,20,,<cn;en;tw;kr>
811,Advanced Effort Coin,{452=20},{coin12=1000},,,,,,<1;150>,0,3,20,,<cn;en;tw;kr>
821,blue potential stone,{850=80},{coin12=1000},,,,,,<1;150>,0,3,20,,<cn;en;tw;kr>
831,Purple potential stone,{851=40},{coin12=1000},,,,,,<1;150>,0,3,20,,<cn;en;tw;kr>
,,,,,,,,,,,,,,
1101,Lan Zini's token,{2217=1},{coin12=100000},,,,,,<1;150>,1000,4,1,,<cn;en;tw;kr>
1111,Lu Xihua's token,{2218=1},{coin12=100000},,,,,,<1;150>,2000,4,1,,<cn;en;tw;kr>
,,,,,,,,,,,,,,
1121,Combat Communicator,{30318=1},{coin12=150000},,,,,,<1;150>,1000,4,1,,<cn;en;tw;kr>
