变量名,_beizhu,addType,natureType,attrType,attrNum
默认值,"""""",,,,""""""
ID,说明,加成类型(1-前排;2-后排;3-全体;4-指定自然属性),针对4和5加成类型元素属性类型1-18针对6场景类型,属性类型,属性数值
1,Increases the health of all elves,3,,1,2000
2,Increases the speed of all sprites,3,,13,100
3,Increase the physical attack of all elves,3,,7,500
4,Increases the special attack of all elves,3,,8,500
5,Improve the physical defense of all elves,3,,9,280
6,Increase the special defense of all elves,3,,10,280
7,Increase the life of front row spirits in battle,1,,1,10.00%
8,Increase the physical attack of the spirits in the back row during the battle,2,,7,10.00%
9,Increases the special attack of the spirits in the back row during battle,2,,8,10.00%
10,Increase the damage bonus of the back row elves in battle,2,,22,1000
11,Increase the damage reduction of front row elves in battle,1,,23,1000
12,Increases the base life percentage of all elves,3,,1,5.00%
13,Increase the base physical defense percentage of all elves,3,,9,5.00%
14,Increase the base special defense percentage of all elves,3,,10,5.00%
15,Increases the base crit resistance percentage of all elves,3,,16,500
16,Increase the base physical attack percentage of all elves,3,,7,5.00%
17,Increase the base special attack percentage of all elves,3,,8,5.00%
18,Increases the base crit percentage of all elves,3,,14,500
19,Increases the base damage reduction percentage of all elves,3,,23,500
20,Increased base damage bonus percentage for all elves,3,,22,500
21,Increases the base speed percentage of all sprites,3,,13,5.00%
22,Increases the life of all normal elves,4,1,1,5.00%
23,Increase the damage bonus of all elves' general skills,3,,36,1000
24,Increase the damage reduction of all elves' general skills,3,,54,1000
25,Increases the health of all fire elves,4,2,1,5.00%
26,Increase the damage bonus of all Elven Fire skills,3,,37,1000
27,Increased damage reduction for all Elven Fire skills,3,,55,1000
28,Increases the health of all water sprites,4,3,1,5.00%
29,Increase the damage bonus of all Elf water skills,3,,38,1000
30,Increase the damage reduction of all Elf water skills,3,,56,1000
31,Increases the health of all grass-type elves,4,4,1,5.00%
32,Increase the damage bonus of all Elven Grass skills,3,,39,1000
33,Increase the damage reduction of all Elven Grass skills,3,,57,1000
34,Increases the health of all electric elves,4,5,1,5.00%
35,Increased the damage bonus of all Elf Electric skills,3,,40,1000
36,Increases the damage reduction of all Elf Electric skills,3,,58,1000
37,Increases the health of all ice elves,4,6,1,5.00%
38,Increase the damage bonus of all Elf ice skills,3,,41,1000
39,Increase the damage reduction of all Elf ice skills,3,,59,1000
40,Increase the life of all fighting spirits,4,7,1,5.00%
41,Increase the damage bonus of all Elven Fighting skills,3,,42,1000
42,Increase the damage reduction of all Elven Fighting skills,3,,60,1000
43,Increases the health of all poison elves,4,8,1,5.00%
44,Increase the damage bonus of all spirit poison skills,3,,43,1000
45,Increase the damage reduction of all spirit poison skills,3,,61,1000
46,Increases the health of all ground-type elves,4,9,1,5.00%
47,Increase the damage bonus of all Elf ground skills,3,,44,1000
48,Increase the damage reduction of all Elven ground skills,3,,62,1000
49,Increases the health of all flying elves,4,10,1,5.00%
50,Increase the damage bonus of all elf flying skills,3,,45,1000
51,Increase the damage reduction of all elf flying skills,3,,63,1000
52,Increases the health of all Psychics,4,11,1,5.00%
53,Increased the damage bonus of all Elven superpower skills,3,,46,1000
54,Increased damage reduction for all Elven Psychic skills,3,,64,1000
55,Increases the health of all bug-type elves,4,12,1,5.00%
56,Increase the damage bonus of all spirit insect skills,3,,47,1000
57,Increase the damage reduction of all spirit insect skills,3,,65,1000
58,Increases the health of all rock-type elves,4,13,1,5.00%
59,Increased the damage bonus of all Elven Rock skills,3,,48,1000
60,Increased damage reduction for all Elven Rock skills,3,,66,1000
61,Increases the health of all ghost elves,4,14,1,5.00%
62,Increased the damage bonus of all Elven and Ghost skills,3,,49,1000
63,Increased damage reduction for all Elven and Ghost skills,3,,67,1000
64,Increases the health of all dragon spirits,4,15,1,5.00%
65,Increased the damage bonus of all Faerie Dragon skills,3,,50,1000
66,Increased damage reduction for all Faerie Dragon skills,3,,68,1000
67,Increases the health of all evil spirits,4,16,1,5.00%
68,Increased the damage bonus of all Elven and evil skills,3,,51,1000
69,Increase the damage reduction of all Elf evil skills,3,,69,1000
70,Increases the health of all steel elves,4,17,1,5.00%
71,Increases the damage bonus of all Elven Steel skills,3,,52,1000
72,Increases the damage reduction of all Elven Steel skills,3,,70,1000
73,Increases the health of all Fairy-type elves,4,18,1,5.00%
74,Increase the damage bonus of all Elf and Fairy skills,3,,53,1000
75,Increase the damage reduction of all Elf and Fairy skills,3,,71,1000
