"﻿变量名",name,name_tw,name_en,name_vn,name_kr,lowNum,middleNum,highNum,totalNum,targetNum,timeDown,fasterSpeed,extraProbability,attrType1,attrNum1,attrType2,attrNum2,attrType3,attrNum3,attrType4,attrNum4,attrType5,attrNum5,attrType6,attrNum6,attrType7,attrNum7,attrType8,attrNum8
默认值,"""""","""""","""""","""""","""""",0,0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID,名字,名字,名字,名字,名字,需要低级鱼数量,需要中级鱼数量,需要高级鱼数量,需要钓到的所有鱼数量，只包含中低高级鱼，不包含其他特殊掉落,需要目标鱼及数量,减少等待时间,钓鱼进度提升速度,自动钓鱼额外成功率（同类增益互相相加）,属性类型1 属性这边的加成不是累加，而是显示多少就是多少，需要注意,属性提升1,属性类型2,属性提升2,属性类型3,属性提升3,属性类型4,属性提升4,属性类型5,属性提升5,属性类型6,属性提升6,属性类型7,属性提升7,属性类型8,属性提升8
1,Newbie Fisherman,菜鳥垂釣者,Newbie Fisherman,,신참 낚시꾼,,,,30,,,,,1,335,7,115,8,115,9,35,10,35,22,20,23,20,,
2,Rookie Fisherman,萌新垂釣者,Rookie Fisherman,,신인 낚시꾼,,,,60,,0.02,0.02,0.02,1,675,7,225,8,225,9,65,10,65,22,40,23,40,,
3,Beginner Fisherman,入門垂釣者,Beginner Fisherman,,입문 낚시꾼,60,25,10,,,0.04,0.04,0.03,1,1015,7,340,8,340,9,100,10,100,22,60,23,60,,
4,Advanced Fisherman,進階垂釣者,Advanced Fisherman,,초급 낚시꾼,80,30,13,,,0.06,0.06,0.04,1,1350,7,450,8,450,9,135,10,135,22,80,23,80,,
5,Veteran Fisherman III,中級垂釣者III,Veteran Fisherman III,,중급 낚시꾼III,130,45,19,,,0.08,0.08,0.05,1,2025,7,675,8,675,9,200,10,200,22,100,23,100,,
6,Veteran Fisherman II,中級垂釣者II,Veteran Fisherman II,,중급 낚시꾼II,140,55,21,,,0.1,0.1,0.06,1,2700,7,900,8,900,9,265,10,265,22,120,23,120,,
7,Veteran Fisherman I,中級垂釣者I,Veteran Fisherman I,,중급 낚시꾼I,150,60,23,,,0.12,0.12,0.07,1,3375,7,1125,8,1125,9,330,10,330,22,140,23,140,,
8,Skilled Fisherman III,熟練垂釣者III,Skilled Fisherman III,,숙련 낚시꾼III,180,65,27,,,0.14,0.14,0.08,1,4390,7,1465,8,1465,9,430,10,430,22,160,23,160,,
9,Skilled Fisherman II,熟練垂釣者II,Skilled Fisherman II,,숙련 낚시꾼II,200,75,30,,,0.16,0.16,0.09,1,5400,7,1800,8,1800,9,530,10,530,22,180,23,180,,
10,Skilled Fisherman I,熟練垂釣者I,Skilled Fisherman I,,숙련 낚시꾼I,220,80,33,,,0.18,0.18,0.1,1,6415,7,2135,8,2135,9,625,10,625,22,200,23,200,,
11,Senior Fisherman III,強力垂釣者III,Senior Fisherman III,,강한낚시꾼III,250,90,37,,,0.2,0.2,0.11,1,7425,7,2475,8,2475,9,725,10,725,22,220,23,220,,
12,Senior Fisherman II,強力垂釣者II,Senior Fisherman II,,강한 낚시꾼II,270,100,41,,,0.22,0.22,0.12,1,8440,7,2815,8,2815,9,825,10,825,22,240,23,240,,
13,Senior Fisherman I,強力垂釣者I,Senior Fisherman I,,강한 낚시꾼I,300,115,46,,,0.24,0.24,0.13,1,9450,7,3150,8,3150,9,925,10,925,22,260,23,260,,
14,Advanced Fisherman III,高級垂釣者III,Advanced Fisherman III,,고급 낚시꾼III,340,125,51,,,0.26,0.26,0.14,1,10800,7,3600,8,3600,9,1050,10,1050,22,280,23,280,,
15,Advanced Fisherman II,高級垂釣者II,Advanced Fisherman II,,고급 낚시꾼II,370,140,56,,,0.28,0.28,0.15,1,12150,7,4050,8,4050,9,1200,10,1200,22,300,23,300,,
16,Advanced Fisherman,高級垂釣者,Advanced Fisherman,,고급 낚시꾼I,410,150,61,,,0.3,0.3,0.16,1,13500,7,4500,8,4500,9,1350,10,1350,22,320,23,320,,
17,Master Fisherman III,大師級垂釣者III,Master Fisherman III,,대가 낚시꾼III,450,170,68,,,0.32,0.32,0.17,1,14850,7,4950,8,4950,9,1450,10,1450,22,340,23,340,,
