"﻿变量名",name,name_tw,name_en,name_vn,name_kr,_desc,_desc_tw,_desc_en,_desc_vn,_desc_kr,extraProbability,itemId,cost,res,extraSpeed,lowerSpeed,extraZone,needLv,lowerWait
默认值,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",0,0,{},"""""",0,0,0,0,0
ID,名字,名字,名字,名字,名字,描述,描述,描述,描述,描述,自动钓鱼额外成功率（同类增益互相相加）,关联物品表id,解锁消耗,鱼竿外观,使用时提升进度上升速度,使用时降低进度下降速度,扩大鱼钩判定范围,需要钓鱼等级,降低等待时间
1,Starter fishing rod,入門魚竿,Starter fishing rod,,입문용 낚싯대,"Bare branches, good toughness, barely a fishing rod",光禿禿的樹枝，韌性不錯，勉強算是個魚竿吧,"Bare branches, good toughness, barely a fishing rod",,"민둥민둥한 나뭇가지, 꽤 단단해 낚싯대로 사용할 수 있을 것 같다.",,7000,{gold=100000},rod_0,,,,1,
2,Junior fishing rod,初級魚竿,Junior fishing rod,,초급 낚싯대,"Simply made of polished branch, seems to be slightly better",拋光樹枝後簡單制作的釣竿，性能似乎要稍微好點,"Simply made of polished branch, seems to be slightly better",,"나뭇가지로 간단히 만든 낚싯대, 성능이 조금 나아진 것 같다.",0.02,7001,{gold=500000},rod_1,0.05,0.05,1.1,3,
3,Veteran fishing rod,中級魚竿,Veteran fishing rod,,중급 낚싯대,The fishing rod made of reinforced plastic has good strength and performance,強化塑料制成的釣竿，擁有不錯的強度和性能,The fishing rod made of reinforced plastic has good strength and performance,,"강화 재료로 만든 낚싯대, 나쁘지 않은 성능을 보여준다.",0.04,7002,{gold=1000000},rod_2,0.1,0.1,1.2,6,0.1
4,Advanced fishing rod,高級魚竿,Advanced fishing rod,,고급 낚싯대,The fishing rod made of metal has excellent strength and performance,金屬制成的魚竿，強度和性能都非常優秀,The fishing rod made of metal has excellent strength and performance,,"금속 재질의 낚싯대, 강도와 성능이 매우 우수하다.",0.06,7003,{gold=3000000},rod_3,0.15,0.15,1.3,10,0.15
5,Premium fishing rod,特級魚竿,Premium fishing rod,,특급 낚싯대,"Specially made fishing rod made of carbon fiber, with excellent performance",碳化纖維特殊制作的魚竿，擁有極好的性能,"Specially made fishing rod made of carbon fiber, with excellent performance",,"탄소섬유로 특수 제작된 낚싯대, 매우 뛰어난 성능을 지니고 있다.",0.08,7004,{gold=5000000},rod_4,0.2,0.2,1.4,15,0.2
6,Swift Fishing Rod,迅捷魚竿,Swift Fishing Rod,,스피드스타 낚싯대,"Specially made fishing rod made of carbon fiber, improved in some functions",碳化纖維特殊制作的魚竿，在某些功能上進行了神秘改良,"Specially made fishing rod made of carbon fiber, improved in some functions",,"탄소섬유로 특수 제작된 낚싯대, 특정 기능을 개조했다.",,7005,,rod_5,,,,20,
7,Refined fishing rod,精煉魚竿,Refined fishing rod,,정교한 낚싯대,"Specially made fishing rod made of carbon fiber, improved in some functions",碳化纖維特殊制作的魚竿，在某些功能上進行了神秘改良,"Specially made fishing rod made of carbon fiber, improved in some functions",,"탄소섬유로 특수 제작된 낚싯대, 특정 기능을 개조했다.",,7006,,rod_6,,,,20,
8,Charm fishing rod,魅力魚竿,Charm fishing rod,,매력의 낚싯대,"Specially made fishing rod made of carbon fiber, improved in some functions",碳化纖維特殊制作的魚竿，在某些功能上進行了神秘改良,"Specially made fishing rod made of carbon fiber, improved in some functions",,"탄소섬유로 특수 제작된 낚싯대, 특정 기능을 개조했다.",,7007,,rod_7,,,,20,
9,Easy fishing rod,輕松魚竿,Easy fishing rod,,릴렉스한 낚싯대,"Specially made fishing rod made of carbon fiber, improved in some functions",碳化纖維特殊制作的魚竿，在某些功能上進行了神秘改良,"Specially made fishing rod made of carbon fiber, improved in some functions",,"탄소섬유로 특수 제작된 낚싯대, 특정 기능을 개조했다.",0.15,7008,{rmb=880},rod_8,,,,3,
