"数据管理平台","Data Management Platform"
"请登录","Please Login"
"请输入账号","please enter account"
"请输入密码","please enter password"
"用户名或密码不正确","incorrect account or password"
"登录","Login"
"你好","Welcome"
"退出","Logout"
"添加成员","Add Member"
"语言","Language"
"账号","Account"
"用户名","User Name"
"用户已存在","The Account already exist"
"密码","Password"
"确认密码","Confirm Password"
"关闭","Close"
"提交","Submit"

"运营数据","Operational Data"
"数据报表","Data Report"
"游戏数据","Game Data"
"数据监控","Data Monitoring"
"GM管理","GM Management"
"邮件","Mail"
"礼包","Gift"
"聊天记录","Chatting Records"
"账号迁移","Migrate Account"
"内网测试","Intranet Experiment"
"服务器配置","Server Config"
"运营活动配置","Activities Config"
"发送邮件","Mail Send"
"战斗测试","Battle Test"
"运维工具","Operational Tool"
"区服管理","Area Management"
"机台监控","System Monitor"



"基础查询","Basic Query"
"数据图表","Data Charts"
"充值","Recharge"
"充值查询","Recharge Query"


"每日数据查询","Daily Query"
"留存查询","Retention"
"充值排行","Recharge Rank"
"充值详情","Recharge Detail"
"充值图表","Recharge Chart"
"今日在线","Online Player"
"流失统计","Lost statistics"
"聊天监控","Chat Monitor"
"运营活动","Activities"
"玩家活动","Player Activity"
"黑名单","Blacklist"
"日志查看","Log"
"礼包生成","Gift"




"分区查询只有付费数据，没有账号数据", No account data on result if ServerName is "All"
"查询","Search"
"图表","Chart"
"设置并全部重启","Restart"
"更改服务器时间","Change Server Time"
"设置并开始运营活动测试","Activities Test Begin"

"服务器名称","ServerName"
"渠道","Channel"
"日期","Date"
"开始日期","StartDate"
"结束日期","EndDate"
"账号ID","AccountID"
"角色ID","RoleID"
"名字","RoleName"
"渠道ID","ChannelID"
"渠道帐号","ChannelAccount"
"渠道订单号","ChannelOrderID"
"辅助信息","AUX"
"邮件模板","Template"
"邮件类型","Type"
"邮件收件人","Addressee"
"邮件内容","Content"
"邮件附件","Annex"
"邮件发送者","Sender"
"邮件标题","Title"
"消息类型","MessageType"
"消息参数","MessageArg"
"消息间隔","TimePeriodic"
"消息内容","Content"
"礼包模板","PacketTemplates"
"礼包配置","PacketConfig"
"生成数量","PacketNumber"
"服务器列表","PacketServer"
"工会ID","UnionID"
"工会名称","UnionName"
"工会等级","UnionLevel"
"工会经验值","UnionExperience"
"工会人数","UnionPeopleNumber"
"工会战斗力","UnionPower"
"显示全部","All"
"更新数据","Update"
"1区开服日期","Area 1 Open Date"
"2区开服日期","Area 2 Open Date"
"繁体3区开服日期","Area 3 Open Date"
"4区开服日期","Area 4 Open Date"
"英文5区开服日期","Area 5 Open Date"
"服务器当前日期","Server Current Date"
"测试天数","Test Day Num"
"查询类型","Type"
"交互接口","Interface"
"新账号ID","NewAccountID"

"老帐号","OldAccount"
"老账号","OldAccount"
"新账号","NewAccount"
"删除、添加","Delete, Add"
"删除","Delete"
"帐号","Account","singular"
"帐号","Accounts","plural"
"迁移失败","migration failed"
"全部迁移成功","All Done"
"新增一行","New Line"

"公告","Broadcast"
"查看有效活动","Inactive Activitis"
"查看全部活动","All Activitis"
"重置配置","Reset Config"
"保存","Save"
"配置","Config"
"为全服配置","Config for All Server"
"重置","Reset"
"公告内容成功","Broadcast content Success"
"您没有改变公告文字","Nothing Changed"
"修改","Change"
"公告成功","Broadcast Success"
"全服修改公告成功","Broadcast Changed for All Server"

"封号取消","LoginAllowed"
"禁言取消","VoiceAllowed"
"封 号","LoginBan"
"禁 言","VoiceBan"

"每日数据","Daily Data"

"第一种类型的POST查找，以下三个参数至少选择一个","Choose at least one of the following three parameters in POST type query"
"还有呢？","Another?"
"好的","Got you"
"我知道了!","OK"

"在线玩家","OnlinePlayer"
"在线人数","OnlineNumber"

"玩家的详细信息","Player Detail"
"封号","LoginBan"
"禁言","VoiceBan"
"工会详细信息","Union Detail"
"查看玩家","ViewPlayer"
"玩家邮箱","GameMail"
"竞技场排行榜","Digimon"
"战斗力排行榜","B.Power"
"星级排行榜","Stage Star"
"训兽排行榜","DigimonBreedRanking"
"试炼排行榜","ChallengerTournament"
"工会排行榜","Guild"

"累计激活","Activated"
"累计注册账户","Registered"
"累计付费账户","Payed"
"累计收入","Turnover"
"设备","Device"
"账户","Account","singular"
"账户","Accounts","plural"

"充值图","RechargePic"
"充值额","RechargeAmount"

"确定吗？","Are you sure?"
"取消","Cancel"
"确定","Yes"
"发送","Send"
"发送失败","Send Failed"
"恭喜","Congraduations"
"发送成功","Send Success"
"份邮件发送成功","mail(s) sent success "
"份邮件发送失败","mail(s) sent failed"
"失败ID是：","Failed List:"
"请输入ID","RoleID"
"真！全服玩家邮件","AllServer Mail"
"真！全局玩家邮件","AllGlobal Mail"
"全服指定vip邮件","AllServer Assign VIP Mail"
"玩家邮件","Role Mail"
"单服玩家邮件","Single Server All Role Mail"
"单服全局邮件","Single Server Global Maill"
"工会邮件","Union Maill"
"新玩家邮件","New Account Mail"
"指定VIP邮件","Assign VIP Mail"
"开发中-指定VIP邮件","Developing-Assign VIP Mail"
"查询角色","Role Info"
"至","to"
"你要发送的是","Sending mail type is"

"交互接口","Interface"
"活动ID","ActivityID"
"邮件ID","MailID"
"角色状态","Status"
"前","BeforeTheLine"
"后","AfterTheLine"
"开始日期时间","StartDateTime"
"结束日期时间","EndDateTime"

"请求类","Request"
"获得类","Gain"
"邮件类","Mail"
"消耗类","Cost"
"限时活动类","LimitTimeActivity"
"非请求类","Un-Request"
"显示运营活动名称","ShowActivityName"

"成功","Success"
"生成","Generate"
"断网了吗","Please check your network."
"默认为空，即全服。指定服务器用;分隔，如game01;game02","None for All Server, use ; to split ServerNames as game01;game02"
"导出txt文件","Export as TXT"

"您希望谁进入这个黑名单？","Please input the target"
"删除所选","Remove Selected"
"刷入服务器","Brush into the server"
"添加黑名单","Extend blacklist"
"把这个刷进去对你可没什么好处，年轻人！","Doesn't help me, buddy!"

"渠道账号","channel account"
"账号","account"
"角色","Role"
"角色","Role"
"创角区服","Chuangjiao area server"
"角色名","character name"
"等级","grade"
"VIP","VIP"
"封号","title"
"禁言",silence"
"金币","gold"
"钻石","diamond"
"QQ托管钻石","QQ Managed Diamond"
"QQ充值总额","Total QQ recharge"
"充值次数","Recharge times"
"充值总额","Total recharge"
"钻石消耗","diamond consumption"
"竞技场币","Arena Coin"
"远征币","Expedition Coin"
"公会币","Guild currency"
"合金精华","Alloy Essence"
"探索币","Discovery coins"
"coin6币","coin6 coins"
"公会","guild"
"最高塔层","Highest tower floor"
"卡牌战斗力","Card combat power"
"历史最高前6卡牌战斗力","The highest combat power of the top 6 cards in history"
"历史最高前12卡牌战斗力","The top 12 card battle powers in history"
"卡牌数排行","Card Count Ranking"
"战力排行","Power Ranking"
"星级排行","star ranking"
"单卡战斗力排行","Single card combat power ranking"
"竞技场排行","Arena ranking"
"成就排行","Achievement Ranking"
"体力","physical strength"
"创建时间","creation time"
"最近操作时间","last operation time"
"在线","online"
"所有区服","All regional servers"
"天赋点","talent point"
"技能点","Skill points"
"先手值","Initiate value"
"成就先手值","Achievement initiative"
"觉醒碎片","Awakening Fragment"
"卡牌数","number of cards"
"道具数","Number of props"
"碎片数","number of fragments"
"皮肤","skin"
"卡牌进阶次数","Card Advancement Times"
"卡牌升星次数","The number of card upgrades"
"已领取礼包","Gift bag received"
"新手引导","Beginners guide"
"加入公会时间","Join the guild time"
退出公会时间,"Quit guild time"
"最近公会操作时间","The latest guild operation time"
"天赋树","talent tree"
