变量名,hp,mp1,initMp1,hpRecover,mp1Recover,mp2Recover,damage,specialDamage,defence,specialDefence,defenceIgnore,specialDefenceIgnore,speed,strike,strikeDamage,strikeResistance,block,breakBlock,blockPower,hit,dodge,damageHit,damageDodge,damageAdd,damageSub,ultimateAdd,ultimateSub,damageDeepen,damageReduce,suckBlood,rebound,cure,natureRestraint,controlPer,immuneControl
默认值,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
角色等级,HP,MP1,initMp1,HP回复,MP1回复,预留,物理攻击,特殊攻击,物理防御力,特殊防御力,物理防御忽视,特殊防御忽视,先手值,会心一击,会心一击伤害,会心一击抗性,格挡等级10000,破格挡等级10000,格挡强度10000,命中,闪避,伤害命中,伤害闪避,伤害加成10000,伤害减免10000,必杀加成,必杀抗性,伤害加深,伤害降低,吸血,反弹,治疗效果,属性克制,控制率,免控率
1,255,1000,0,0,0,0,107,107,32,32,0,0,11,,,,,,,,,,,,,,,,,,,,,,
2,342,1000,0,0,0,0,117,117,35,35,0,0,12,,,,,,,,,,,,,,,,,,,,,,
3,429,1000,0,0,0,0,127,127,38,38,0,0,13,,,,,,,,,,,,,,,,,,,,,,
4,516,1000,0,0,0,0,138,138,41,41,0,0,14,,,,,,,,,,,,,,,,,,,,,,
5,603,1000,0,0,0,0,148,148,44,44,0,0,15,,,,,,,,,,,,,,,,,,,,,,
6,690,1000,0,0,0,0,158,158,47,47,0,0,16,,,,,,,,,,,,,,,,,,,,,,
7,792,1000,0,0,0,0,168,168,50,50,0,0,17,,,,,,,,,,,,,,,,,,,,,,
8,894,1000,0,0,0,0,179,179,54,54,0,0,18,,,,,,,,,,,,,,,,,,,,,,
9,996,1000,0,0,0,0,189,189,57,57,0,0,19,,,,,,,,,,,,,,,,,,,,,,
10,1098,1000,0,0,0,0,200,200,61,61,0,0,20,,,,,,,,,,,,,,,,,,,,,,
11,1200,1000,0,0,0,0,210,210,64,64,0,0,21,,,,,,,,,,,,,,,,,,,,,,
12,1319,1000,0,0,0,0,221,221,67,67,0,0,22,,,,,,,,,,,,,,,,,,,,,,
13,1437,1000,0,0,0,0,232,232,70,70,0,0,23,,,,,,,,,,,,,,,,,,,,,,
14,1556,1000,0,0,0,0,243,243,73,73,0,0,24,,,,,,,,,,,,,,,,,,,,,,
15,1674,1000,0,0,0,0,254,254,76,76,0,0,25,,,,,,,,,,,,,,,,,,,,,,
16,1793,1000,0,0,0,0,265,265,79,79,0,0,26,,,,,,,,,,,,,,,,,,,,,,
17,1929,1000,0,0,0,0,276,276,82,82,0,0,27,,,,,,,,,,,,,,,,,,,,,,
18,2066,1000,0,0,0,0,287,287,86,86,0,0,28,,,,,,,,,,,,,,,,,,,,,,
19,2202,1000,0,0,0,0,298,298,89,89,0,0,30,,,,,,,,,,,,,,,,,,,,,,
20,2339,1000,0,0,0,0,309,309,93,93,0,0,31,,,,,,,,,,,,,,,,,,,,,,
