变量名,level_start,level_end,monsterIDs1,monsterIDs2,monsterIDs3,weight,fightgo_val_start,fightgo_val_end,grade,eliteCards
默认值,,,,,,,,,,<193;343;163;353;133>
怪物组id,等级下限,等级上限,队伍1,队伍2,队伍3,随机权重,先手值上限,先手值下限,段位,精英卡牌
1,70,72,<193;333;113;163;343;413>,<193;333;263;153;23;53>,<113;263;43;173;243;133>,10,500,1000,19,<193;333;113;263;43>
2,70,72,<113;193;243;353;173;133>,<113;193;263;153;163;333>,<243;263;343;413;23;53>,10,515,1015,19,<113;193;243;263;343>
3,70,72,<343;153;53;23;113;333>,<343;153;353;133;173;413>,<53;353;193;243;163;263>,10,530,1030,19,<343;153;53;353;193>
4,70,72,<53;353;173;333;43;263>,<53;353;413;193;153;343>,<173;413;23;113;163;243>,10,545,1045,19,<53;353;173;413;23>
5,70,72,<413;343;53;163;113;173>,<413;343;353;133;263;153>,<53;353;43;23;193;243>,10,560,1060,19,<413;343;53;353;43>
6,70,72,<53;153;43;193;243;263>,<53;153;343;353;333;133>,<43;343;173;413;113;163>,10,575,1075,19,<53;153;43;343;173>
7,70,72,<53;173;43;263;343;333>,<53;173;133;153;243;413>,<43;133;353;193;163;113>,10,590,1090,19,<53;173;43;133;353>
8,70,72,<353;113;193;43;133;23>,<353;113;263;163;243;173>,<193;263;53;413;343;333>,10,605,1105,19,<353;113;193;263;53>
9,70,72,<413;163;333;133;243;343>,<413;163;353;53;263;113>,<333;353;23;153;173;193>,10,620,1120,19,<413;163;333;353;23>
10,70,72,<333;133;113;193;173;353>,<333;133;153;243;43;343>,<113;153;23;263;163;53>,10,635,1135,19,<333;133;113;153;23>
