变量名,range,matchRange1,matchRange2,matchRange3
默认值,<>,<>,<>,<>
ID,积分区间,匹配区间1,匹配区间2,匹配区间3
1,<3300;999999>,<-250;200>,<-375;300>,<-500;400>
2,<3150;3300>,<-250;200>,<-375;300>,<-500;400>
3,<3000;3150>,<-250;200>,<-375;300>,<-500;400>
4,<2850;3000>,<-250;200>,<-375;300>,<-500;400>
5,<2700;2850>,<-250;200>,<-375;300>,<-500;400>
6,<2550;2700>,<-250;200>,<-375;300>,<-500;400>
7,<2400;2550>,<-250;200>,<-375;300>,<-500;400>
8,<2250;2400>,<-200;150>,<-300;225>,<-400;300>
9,<2100;2250>,<-200;150>,<-300;225>,<-400;300>
10,<1950;2100>,<-200;150>,<-300;225>,<-400;300>
11,<1800;1950>,<-200;150>,<-300;225>,<-400;300>
12,<1650;1800>,<-200;150>,<-300;225>,<-400;300>
13,<1500;1650>,<-200;150>,<-300;225>,<-400;300>
14,<1350;1500>,<-200;150>,<-300;225>,<-400;300>
15,<1200;1350>,<-200;150>,<-300;225>,<-400;300>
16,<1050;1200>,<-200;150>,<-300;225>,<-400;300>
17,<900;1050>,<-200;150>,<-300;225>,<-400;300>
18,<750;900>,<-200;150>,<-300;225>,<-400;300>
19,<600;750>,<-200;150>,<-300;225>,<-400;300>
20,<500;600>,<-250;100>,<-375;150>,<-500;200>
21,<400;500>,<-250;100>,<-375;150>,<-500;200>
22,<300;400>,<-250;100>,<-375;150>,<-500;200>
23,<200;300>,<-250;100>,<-375;150>,<-500;200>
24,<100;200>,<-250;100>,<-375;150>,<-500;200>
25,<0;100>,<-250;100>,<-375;150>,<-500;200>
