"﻿变量名",name,name_tw,name_en,name_vn,name_kr,icon,type,arg,nums,levelMax,upCost,desc1,desc1_tw,desc1_en,desc1_vn,desc1_kr,desc2,desc2_tw,desc2_en,desc2_vn,desc2_kr
默认值,"""""","""""","""""","""""","""""","""""",0,0,<>,10,{},"""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
ID,技能名字,技能名字,技能名字,技能名字_越南,技能名字_韩,技能图标,技能类型,参数(增对4类型配置对应的yyID),技能数值,最大等级,升级消耗,技能描述,技能描述,技能描述,技能描述_越南,技能描述_韩,技能描述2,技能描述2,技能描述2,技能描述2_越南,技能描述2_韩
,,,,,,,,,,,,,,,,,,,,,
1,Finance Novice,理財新手,Finance Novice,404404,재산 관리 새내기,city/develop/train/icon_jbfbzj.png,12,0,<1>,1,{453=50},Treasure Pot,聚寶,Treasure Pot,Tụ bảo,보물단지,Free daily chances +%d,每日免費次數+%d,Free daily chances +%d,404404,매일 무료 횟수+%d
2,Exploration Will,探險意志,Exploration Will,404404,탐험의 의지,city/develop/train/icon_ptfbzj.png,18,0,<0.05;0.1;0.15;0.2;0.25>,5,{453=20},Story dungeon,劇情副本,Story dungeon,404404,스토리 던전,"Coins +%d ",獲得金幣+%d,"Coins +%d ",404404,골드 코인 획득+%d
3,Full Lobster,龍蝦吃飽,Full Lobster,404404,랍스타 배불리 먹기,city/develop/train/icon_tllq.png,14,3,<2;4;6;8;10>,5,{453=30},Dinner,寶芙蕾（晚餐）,Dinner,404404,포플레(저녁),Claim energy+%d,領取體力額外+%d,Claim energy+%d,404404,체력 수령 추가+%d
4,Financial Consultant,理財顧問,Financial Consultant,404404,재산 관리 고문,city/develop/train/icon_jbfbzj.png,13,0,<0.03;0.06;0.09;0.12;0.15>,5,{453=30},Treasure Pot,聚寶,Treasure Pot,Tụ bảo,보물단지,"Coins +%d ",獲得金幣+%d,"Coins +%d ",404404,골드 코인 획득+%d
5,Exquisite Food,精緻佳餚,Exquisite Food,404404,맛있는 음식,city/develop/train/icon_tllq.png,14,2,<2;4;6;8;10>,5,{453=35},Lunch,寶芙蕾（午餐）,Lunch,404404,포플레(점심),Claim energy+%d,領取體力額外+%d,Claim energy+%d,404404,체력 수령 추가+%d
6,Elite member,精英隊員,Elite member,404404,정예 팀원,city/develop/train/icon_jyfbzj.png,19,0,<0.05;0.1;0.15;0.2;0.25>,5,{453=35},Elite Dungeon,困難關卡,Elite Dungeon,404404,하드 스테이지,"Coins +%d ",獲得金幣+%d,"Coins +%d ",404404,골드 코인 획득+%d
7,Magical Hands,魔術手,Magical Hands,404404,마술손,city/develop/train/icon_ck.png,11,0,<1>,1,{453=60},Coin Card Draw,金幣抽卡,Coin Card Draw,Kim tệ rút thẻ,골드코인 뽑기,Free daily chances +%d,每日免費次數+%d,Free daily chances +%d,404404,매일 무료 횟수+%d
8,Recover some HP,回口血,Recover some HP,404404,HP 회복,city/develop/train/icon_qfqn.png,2,0,<3;6;9;12;15>,5,{453=40},Maximum energy,體力上限,Maximum energy,Thể lực hạn mức cao nhất,체력 한도,Increases +%d,增加+%d,Increases +%d,404404,증가+%d
9,Finance Expert,金融專家,Finance Expert,404404,금융 전문가,city/develop/train/icon_jbfbzj.png,13,0,<0.03;0.06;0.09;0.12;0.15>,5,{453=40},Treasure Pot,聚寶,Treasure Pot,Tụ bảo,보물단지,"Coins +%d ",獲得金幣+%d,"Coins +%d ",404404,골드 코인 획득+%d
10,Explorer Member,探險隊員,Explorer Member,404404,탐험 대원,city/develop/train/icon_ptfbzj.png,15,0,<0.01;0.02;0.03;0.04;0.05>,5,{453=45},Coin dungeon,金幣副本,Coin dungeon,Kim tệ phó bản,골드 코인 던전,"Coins +%d ",獲得金幣+%d,"Coins +%d ",404404,골드 코인 획득+%d
