变量名,_num,_num2,range,fightC
默认值,,,<>,1
ID,数量,阵容,玩家排名区间（左闭右开）,机器标杆战力修正
1,10,1200,<1;11>,1.65
2,40,1000,<11;51>,1.6
3,40,1000,<51;90>,1.55
4,40,1000,<90;130>,1.5
5,40,1000,<130;170>,1.45
6,40,1000,<170;210>,1.4
7,40,1000,<210;250>,1.35
8,50,800,<250;300>,1.3
9,50,800,<300;350>,1.25
10,50,800,<350;400>,1.2
11,50,800,<400;450>,1.15
12,50,800,<450;500>,1.1
13,300,600,<500;800>,1.05
14,300,600,<800;1100>,1
15,300,600,<1100;1400>,0.95
16,300,600,<1400;1700>,0.9
17,300,600,<1700;2000>,0.85
18,800,400,<2000;2800>,0.8
19,800,400,<2800;3600>,0.75
20,800,400,<3600;4400>,0.7
21,800,400,<4400;5200>,0.65
22,800,400,<5200;6000>,0.6
23,1000,200,<6000;7000>,0.55
24,1000,200,<7000;8000>,0.5
25,1000,200,<8000;9000>,0.45
26,1000,200,<9000;10000>,0.4
27,,200,<10000;9999999>,0.35
