变量名,_beizhu,itemMap,costMap,exchangeLimit,regainHour,beginDate,endDate,vipStart,levelRange,limitType,limitTimes,showUnable,languages
默认值,,{},{},-1,0,0,20990101,0,<1;150>,0,0,FALSE,<cn;en;tw;th;vn;kr>
商店ID,备注,商品ID表(ID=数量),消耗积分,兑换次数(-1表示无限次兑换),次数恢复间隔,开始贩售时间,结束贩售时间,vip等级限制,等级限制,限购周期类型(1-日限购；2-周限购；3-月限购；4-永久限购),限购数量,未解锁时是否可见,语言区域
101,iron dumbbell,{21901=2},{coin12=1200},,,,,,<150;150>,,,,
102,Teeth,{23001=2},{coin12=1200},,,,,,<150;150>,,,,
103,Single headed dragon,{23141=2},{coin12=800},,,,,,<150;150>,,,,
104,Single scabbard,{23411=2},{coin12=800},,,,,,<150;150>,,,,
,,,,,,,,,,,,,
201,iron dumbbell,{21901=2},{coin12=1200},,,,,,<150;150>,,,,
211,Teeth,{23001=2},{coin12=1200},,,,,,<150;150>,,,,
221,round land shark,{22231=2},{coin12=1200},,,,,,<150;150>,,,,
231,Single headed dragon,{23141=2},{coin12=800},,,,,,<150;150>,,,,
241,Single scabbard,{23411=2},{coin12=800},,,,,,<150;150>,,,,
,,,,,,,,,,,,,
111,iron dumbbell,{21901=2},{coin12=1500},,,,,,<150;150>,,,,
112,Teeth,{23001=2},{coin12=1500},,,,,,<150;150>,,,,
113,Single headed dragon,{23141=2},{coin12=1000},,,,,,<150;150>,,,,
114,Single scabbard,{23411=2},{coin12=1000},,,,,,<150;150>,,,,
,,,,,,,,,,,,,
600,experience potion,{15=2},{coin12=200},,,,,,,,,,
610,gold,{514=30},{coin12=500},,,,,,,,,,
620,energy potion,{5000=40},{coin12=1000},,,,,,,,,,
630,Runestone Essence,{529=100},{coin12=300},,,,,,,,,,
,,,,,,,,,,,,,
1001,Designated Purple Stamped Box,{992=1},{coin12=3600},,,,,,<150;150>,3,2,,
1002,Designated Orange Stamped Boxes,{993=1},{coin12=10000},,,,,,<150;150>,3,1,,
,designated red box,{973=1},{coin12=30000},,,,,,<150;150>,3,1,,
,,,,,,,,,,,,,
1101,violets,{2208=1},{coin12=24000},,,,,,,4,1,,
,,,,,,,,,<150;150>,,,,
