"﻿变量名",huodongID,_beizhu,rank,award,desc,desc_tw,desc_en,desc_kr
默认值,,,,{},无奖励吗,无奖励吗,无奖励吗,无奖励吗
ID,活动版本号,备注,名次内,排行奖励,奖励描述,奖励描述,奖励描述,奖励描述_韩
1,1001,talent point,1,{talent_point=2;gold=250000;14=30},World Boss Rewards,世界BOSS獎勵,World Boss Rewards,월드보스 보상
2,1001,talent point,2,{talent_point=2;gold=200000;14=25},World Boss Rewards,世界BOSS獎勵,World Boss Rewards,월드보스 보상
3,1001,talent point,3,{talent_point=2;gold=160000;14=20},World Boss Rewards,世界BOSS獎勵,World Boss Rewards,월드보스 보상
4,1001,talent point,6,{talent_point=1;gold=140000;14=15},World Boss Rewards,世界BOSS獎勵,World Boss Rewards,월드보스 보상
5,1001,talent point,10,{talent_point=1;gold=120000;14=12},World Boss Rewards,世界BOSS獎勵,World Boss Rewards,월드보스 보상
6,1001,talent point,30,{talent_point=1;gold=100000;14=10},World Boss Rewards,世界BOSS獎勵,World Boss Rewards,월드보스 보상
7,1001,talent point,999,{talent_point=1;gold=90000;14=8},World Boss Rewards,世界BOSS獎勵,World Boss Rewards,월드보스 보상
,,,,,,,,
101,1002,carry,1,{2103=8;gold=250000;14=30},World Boss Rewards,世界BOSS獎勵,World Boss Rewards,월드보스 보상
102,1002,carry,2,{2103=7;gold=200000;14=25},World Boss Rewards,世界BOSS獎勵,World Boss Rewards,월드보스 보상
103,1002,carry,3,{2103=6;gold=160000;14=20},World Boss Rewards,世界BOSS獎勵,World Boss Rewards,월드보스 보상
104,1002,carry,6,{2103=5;gold=140000;14=15},World Boss Rewards,世界BOSS獎勵,World Boss Rewards,월드보스 보상
105,1002,carry,10,{2103=5;gold=120000;14=12},World Boss Rewards,世界BOSS獎勵,World Boss Rewards,월드보스 보상
106,1002,carry,30,{2103=4;gold=100000;14=10},World Boss Rewards,世界BOSS獎勵,World Boss Rewards,월드보스 보상
107,1002,carry,999,{2103=4;gold=90000;14=8},World Boss Rewards,世界BOSS獎勵,World Boss Rewards,월드보스 보상
,,,,,,,,
