变量名,version,languages,servers
默认值,0,<cn;tw;en;vn;kr>,{dev=<1;999999>;cn=<1;999999>;cn_qd=<1;999999>;tw=<1;999999>;kr=<1;999999>;en=<1;999999>;xy=<1;999999>}
ID,奖励版本号,语言区域,服务器
1,0,<tw;en;vn>,
2,1,<cn>,{dev=<1;3>}
3,1,<cn;kr>,{dev=<1;999999>;cn=<1;999999>;cn_qd=<1;999999>;kr=<1;999999>}
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,<cn>,
,,<cn>,
,,<cn>,
,,,
,,<cn>,{dev=<1;999999>}
,,<cn>,{dev=<1;999999>}
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,<cn>,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,<cn>,
,,,
,,,
,,,
,,,
,,<cn>,
,,<cn>,
,,<cn>,
,,<>,
,,<cn>,
,,<cn>,
,,<>,
,,<cn>,
,,<>,
,,<cn>,
,,<>,
,,<cn>,
,,<cn>,
,,<cn>,
,,<cn>,{dev=<1;999999>;cn=<1;5>}
,,<cn>,{dev=<1;999999>}
