"﻿变量名",room,_roomType,_beizhu,icon,weight,group,name,name_tw,name_en,name_vn,name_kr,monsterType,type,desc,desc_tw,desc_en,desc_vn,desc_kr,monster,fightC,pointC,drops,buff,event,boxType,gold,coin,randomLibs,randomLibs2
默认值,0,,,"""""",100,1,"""""","""""","""""","""""","""""",1,0,"""""","""""","""""","""""","""""",1,1,1,{},<>,<>,1,0,0,{},{}
ID,房间,房间设定,备注,图标,权值（-1表示必定会随机到）,组ID,显示名称,显示名称,显示名称,显示名称_越南,显示名称_韩,怪物类型,类型（1-怪物；2-加成buff；3-宝箱；4-随机事件event）,描述文本,描述文本,描述文本,描述文本_越南,描述文本_韩,怪物组id,战力修正系数,积分修正,掉落预览,加成组（<<group;weight>; <group;weight>>）,随机事件（<<group;weight>; <group;weight>>）,宝箱类型（1普通，2豪华）,金币产出,试炼币产出,首次开启随机奖励,加开随机奖励
1,2,4 out of 1 passive,Fixed library passive 1,city/adventure/random_tower/icon/icon_wz.png,,,Battle buff,戰鬥加成,Battle buff,Chiến đấu tăng thêm,전투 보너스,,2,,,,,,,,,,<<101;100>>,,,,,,
2,2,4 out of 1 passive,Fixed library passive 2,city/adventure/random_tower/icon/icon_wz.png,,,Battle buff,戰鬥加成,Battle buff,Chiến đấu tăng thêm,전투 보너스,,2,,,,,,,,,,<<102;100>>,,,,,,
3,2,4 out of 1 passive,Fixed library passive 3,city/adventure/random_tower/icon/icon_wz.png,,,Battle buff,戰鬥加成,Battle buff,Chiến đấu tăng thêm,전투 보너스,,2,,,,,,,,,,<<12223;100>>,,,,,,
10003,2,4 out of 1 passive,Fixed library passive 3,city/adventure/random_tower/icon/icon_wz.png,,,Battle buff,戰鬥加成,Battle buff,Chiến đấu tăng thêm,전투 보너스,,2,,,,,,,,,,<<12224;100>>,,,,,,
4,3,fighting,Simple,city/adventure/random_tower/icon/img_jddr@.png,,,Simple enemy,簡單的敵人,Simple enemy,404404,쉬운 적,1,1,Seems to be an easy opponent to beat,似乎是可以輕鬆擊敗的對手,Seems to be an easy opponent to beat,404404,쉽게 쓰러트릴 수 있는 상대 같습니다.,1,,,,,,,,,,
5,3,fighting,Simple,city/adventure/random_tower/icon/img_jddr@.png,,,Simple enemy,簡單的敵人,Simple enemy,404404,쉬운 적,1,1,Seems to be an easy opponent to beat,似乎是可以輕鬆擊敗的對手,Seems to be an easy opponent to beat,404404,쉽게 쓰러트릴 수 있는 상대 같습니다.,1,,,,,,,,,,
6,3,fighting,ordinary,city/adventure/random_tower/icon/img_ptdr@.png,,,Ordinary Enemy,普通的敵人,Ordinary Enemy,404404,평범한 적,2,1,"An opponent of decent strength, but not to be feared of",小有實力，但是不足為懼的對手,"An opponent of decent strength, but not to be feared of",404404,조금 실력이 있지만 걱정할 필요는 없는 상대입니다.,2,,,,,,,,,,
7,3,fighting,ordinary,city/adventure/random_tower/icon/img_ptdr@.png,,,Ordinary Enemy,普通的敵人,Ordinary Enemy,404404,평범한 적,2,1,"An opponent of decent strength, but not to be feared of",小有實力，但是不足為懼的對手,"An opponent of decent strength, but not to be feared of",404404,조금 실력이 있지만 걱정할 필요는 없는 상대입니다.,2,,,,,,,,,,
8,3,fighting,difficulty,city/adventure/random_tower/icon/img_kndr@.png,,,Difficult enemy,困難的敵人,Difficult enemy,404404,어려운 적,3,1,Please select your opponent wisely,請謹慎挑選對手,Please select your opponent wisely,404404,신중하게 상대를 선택하세요.,3,,,,,,,,,,
9,3,fighting,difficulty,city/adventure/random_tower/icon/img_kndr@.png,,,Difficult enemy,困難的敵人,Difficult enemy,404404,어려운 적,3,1,Please select your opponent wisely,請謹慎挑選對手,Please select your opponent wisely,404404,신중하게 상대를 선택하세요.,3,,,,,,,,,,
10,4,Mixed box,attribute bonus is small,city/adventure/random_tower/icon/icon_wz.png,,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>>,,,,,,
11,4,Mixed box,supply,city/adventure/random_tower/icon/icon_wz.png,,,Combat supplies,戰鬥補給,Combat supplies,404404,전투 보급,,2,,,,,,,,,,<<5;100>>,,,,,,
12,4,Mixed box,Adding attributes,city/adventure/random_tower/icon/icon_wz.png,,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>;<2;20>>,,,,,,
13,4,Mixed box,Big attribute bonus,city/adventure/random_tower/icon/icon_wz.png,,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>;<2;20>>,,,,,,
14,4,Mixed box,random event bad,city/adventure/random_tower/icon/icon_sj.png,0,,Event,事件,Event,404404,사건,,4,Nobody knows what may happen next,誰也不知道會發生什麼,Nobody knows what may happen next,404404,무슨 일이 일어날지 아무도 모릅니다.,,,,,,<<1;100>;<2;10>>,,,,,
15,4,Mixed box,in random events,city/adventure/random_tower/icon/icon_sj.png,0,,Event,事件,Event,404404,사건,,4,"Your choice may bring fortune, or catastrophe",你的選擇也許會帶來幸運，也可能會招致災禍,"Your choice may bring fortune, or catastrophe","Lựa chọn của bạn có thể mang lại hạnh phúc, cũng có thể gây ra thảm hoạ","""당신의 선택은 어쩌면 행운을 가져오거나, 재앙을 초래할지도 모릅니다.""",,,,,,<<2;100>;<3;10>>,,,,,
16,4,Mixed box,small treasure chest,city/adventure/random_tower/icon_bx.png,-1,,Chest,寶箱,Chest,Bảo rương,보물상자,,3,Surprise Chest,不經意間發現的寶箱,Surprise Chest,404404,갑자기 보물상자를 발견했습니다.,,,,,,,1,10000,20,{libs=<504;504;>},
17,4,Mixed box,Simple,city/adventure/random_tower/icon/img_jddr@.png,,,Simple enemy,簡單的敵人,Simple enemy,404404,쉬운 적,1,1,Seems to be an easy opponent to beat,似乎是可以輕鬆擊敗的對手,Seems to be an easy opponent to beat,404404,쉽게 쓰러트릴 수 있는 상대 같습니다.,1,,0.6,,,,,,,,
18,4,Mixed box,ordinary,city/adventure/random_tower/icon/img_ptdr@.png,,,Ordinary Enemy,普通的敵人,Ordinary Enemy,404404,평범한 적,2,1,"An opponent of decent strength, but not to be feared of",小有實力，但是不足為懼的對手,"An opponent of decent strength, but not to be feared of",404404,조금 실력이 있지만 걱정할 필요는 없는 상대입니다.,2,,0.6,,,,,,,,
19,4,Mixed box,difficulty,city/adventure/random_tower/icon/img_kndr@.png,,,Difficult enemy,困難的敵人,Difficult enemy,404404,어려운 적,3,1,Please select your opponent wisely,請謹慎挑選對手,Please select your opponent wisely,404404,신중하게 상대를 선택하세요.,3,,0.6,,,,,,,,
20,5,Mixed box,attribute bonus is small,city/adventure/random_tower/icon/icon_wz.png,,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>>,,,,,,
21,5,Mixed box,supply,city/adventure/random_tower/icon/icon_wz.png,,,Combat supplies,戰鬥補給,Combat supplies,404404,전투 보급,,2,,,,,,,,,,<<5;100>>,,,,,,
22,5,Mixed box,Adding attributes,city/adventure/random_tower/icon/icon_wz.png,,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>;<2;30>>,,,,,,
23,5,Mixed box,Big attribute bonus,city/adventure/random_tower/icon/icon_wz.png,0,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>;<2;20>>,,,,,,
24,5,Mixed box,random event bad,city/adventure/random_tower/icon/icon_sj.png,0,,Event,事件,Event,404404,사건,,4,Nobody knows what may happen next,誰也不知道會發生什麼,Nobody knows what may happen next,404404,무슨 일이 일어날지 아무도 모릅니다.,,,,,,<<1;100>;<2;10>>,,,,,
25,5,Mixed box,in random events,city/adventure/random_tower/icon/icon_sj.png,0,,Event,事件,Event,404404,사건,,4,"Your choice may bring fortune, or catastrophe",你的選擇也許會帶來幸運，也可能會招致災禍,"Your choice may bring fortune, or catastrophe","Lựa chọn của bạn có thể mang lại hạnh phúc, cũng có thể gây ra thảm hoạ","""당신의 선택은 어쩌면 행운을 가져오거나, 재앙을 초래할지도 모릅니다.""",,,,,,<<2;100>;<3;10>>,,,,,
26,5,Mixed box,small treasure chest,city/adventure/random_tower/icon_bx.png,-1,,Chest,寶箱,Chest,Bảo rương,보물상자,,3,Surprise Chest,不經意間發現的寶箱,Surprise Chest,404404,갑자기 보물상자를 발견했습니다.,,,,,,,1,10000,20,{libs=<504;504;>},
27,5,Mixed box,Simple,city/adventure/random_tower/icon/img_jddr@.png,,,Simple enemy,簡單的敵人,Simple enemy,404404,쉬운 적,1,1,Seems to be an easy opponent to beat,似乎是可以輕鬆擊敗的對手,Seems to be an easy opponent to beat,404404,쉽게 쓰러트릴 수 있는 상대 같습니다.,1,,0.6,,,,,,,,
28,5,Mixed box,ordinary,city/adventure/random_tower/icon/img_ptdr@.png,,,Ordinary Enemy,普通的敵人,Ordinary Enemy,404404,평범한 적,2,1,"An opponent of decent strength, but not to be feared of",小有實力，但是不足為懼的對手,"An opponent of decent strength, but not to be feared of",404404,조금 실력이 있지만 걱정할 필요는 없는 상대입니다.,2,,0.6,,,,,,,,
29,5,Mixed box,difficulty,city/adventure/random_tower/icon/img_kndr@.png,,,Difficult enemy,困難的敵人,Difficult enemy,404404,어려운 적,3,1,Please select your opponent wisely,請謹慎挑選對手,Please select your opponent wisely,404404,신중하게 상대를 선택하세요.,3,,0.6,,,,,,,,
30,6,Rumble,attribute bonus is small,city/adventure/random_tower/icon/icon_wz.png,,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>>,,,,,,
10030,6,4 out of 1 passive,Fixed library passive 3,city/adventure/random_tower/icon/icon_wz.png,,,Battle buff,戰鬥加成,Battle buff,Chiến đấu tăng thêm,전투 보너스,,2,,,,,,,,,,<<1;100>;<12223;20>;<12224;20>>,,,,,,
31,6,Rumble,supply,city/adventure/random_tower/icon/icon_wz.png,,,Combat supplies,戰鬥補給,Combat supplies,404404,전투 보급,,2,,,,,,,,,,<<5;100>>,,,,,,
32,6,Rumble,Adding attributes,city/adventure/random_tower/icon/icon_wz.png,,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>;<2;40>>,,,,,,
10032,6,4 out of 1 passive,Fixed library passive 3,city/adventure/random_tower/icon/icon_wz.png,,,Battle buff,戰鬥加成,Battle buff,Chiến đấu tăng thêm,전투 보너스,,2,,,,,,,,,,<<1;100>;<2;40>;<2223;50>;<2224;50>>,,,,,,
33,6,Rumble,Big attribute bonus,city/adventure/random_tower/icon/icon_wz.png,0,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>;<2;20>>,,,,,,
34,6,Rumble,random event bad,city/adventure/random_tower/icon/icon_sj.png,,,Event,事件,Event,404404,사건,,4,Nobody knows what may happen next,誰也不知道會發生什麼,Nobody knows what may happen next,404404,무슨 일이 일어날지 아무도 모릅니다.,,,,,,<<1;100>;<2;10>>,,,,,
35,6,Rumble,in random events,city/adventure/random_tower/icon/icon_sj.png,,,Event,事件,Event,404404,사건,,4,"Your choice may bring fortune, or catastrophe",你的選擇也許會帶來幸運，也可能會招致災禍,"Your choice may bring fortune, or catastrophe","Lựa chọn của bạn có thể mang lại hạnh phúc, cũng có thể gây ra thảm hoạ","""당신의 선택은 어쩌면 행운을 가져오거나, 재앙을 초래할지도 모릅니다.""",,,,,,<<2;100>;<3;10>>,,,,,
36,6,Rumble,small treasure chest,city/adventure/random_tower/icon_bx.png,,,Chest,寶箱,Chest,Bảo rương,보물상자,,3,Surprise Chest,不經意間發現的寶箱,Surprise Chest,404404,갑자기 보물상자를 발견했습니다.,,,,,,,1,10000,20,{libs=<504;504;>},
37,6,Rumble,Simple,city/adventure/random_tower/icon/img_jddr@.png,,,Simple enemy,簡單的敵人,Simple enemy,404404,쉬운 적,1,1,Seems to be an easy opponent to beat,似乎是可以輕鬆擊敗的對手,Seems to be an easy opponent to beat,404404,쉽게 쓰러트릴 수 있는 상대 같습니다.,1,,0.6,,,,,,,,
38,6,Rumble,ordinary,city/adventure/random_tower/icon/img_ptdr@.png,-1,,Ordinary Enemy,普通的敵人,Ordinary Enemy,404404,평범한 적,2,1,"An opponent of decent strength, but not to be feared of",小有實力，但是不足為懼的對手,"An opponent of decent strength, but not to be feared of",404404,조금 실력이 있지만 걱정할 필요는 없는 상대입니다.,2,,0.6,,,,,,,,
39,6,Rumble,difficulty,city/adventure/random_tower/icon/img_kndr@.png,,,Difficult enemy,困難的敵人,Difficult enemy,404404,어려운 적,3,1,Please select your opponent wisely,請謹慎挑選對手,Please select your opponent wisely,404404,신중하게 상대를 선택하세요.,3,,0.6,,,,,,,,
40,7,mix,Great supply,city/adventure/random_tower/icon/icon_wz.png,,,Combat supplies,戰鬥補給,Combat supplies,404404,전투 보급,,2,,,,,,,,,,<<5;100>>,,,,,,
41,7,mix,Adding attributes,city/adventure/random_tower/icon/icon_wz.png,,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<2;100>>,,,,,,
42,7,mix,Adding attributes,city/adventure/random_tower/icon/icon_wz.png,,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<2;100>>,,,,,,
43,7,mix,Big attribute bonus,city/adventure/random_tower/icon/icon_wz.png,,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<3;100>>,,,,,,
44,7,mix,Big attribute bonus,city/adventure/random_tower/icon/icon_wz.png,,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<3;100>>,,,,,,
45,7,mix,in random events,city/adventure/random_tower/icon/icon_sj.png,,,Event,事件,Event,404404,사건,,4,"Your choice may bring fortune, or catastrophe",你的選擇也許會帶來幸運，也可能會招致災禍,"Your choice may bring fortune, or catastrophe","Lựa chọn của bạn có thể mang lại hạnh phúc, cũng có thể gây ra thảm hoạ","""당신의 선택은 어쩌면 행운을 가져오거나, 재앙을 초래할지도 모릅니다.""",,,,,,<<2;100>;<3;10>>,,,,,
46,8,BOSS,boss,city/adventure/random_tower/icon/img_boss@.png,,,Overlord,霸主,Overlord,404404,패왕,4,1,Extremely tough power ahead,極為艱難的力量在前方,Extremely tough power ahead,404404,강력한 힘이 앞에서 느껴집니다.,4,0.8,0.8,,,,,,,,
47,8,BOSS,boss,city/adventure/random_tower/icon/img_boss@.png,,,Overlord,霸主,Overlord,404404,패왕,4,1,Toughest power ahead,最為艱難的力量在前方,Toughest power ahead,404404,매우 강력한 힘이 앞에서 느껴집니다.,4,,,,,,,,,,
48,9,big treasure chest,big treasure chest,city/adventure/random_tower/icon_hhbx.png,,,Deluxe chest,豪華寶箱,Deluxe chest,404404,호화로운 보물상자,,3,Trainers who have overcome the huge challenge deserve to claim the reward,跨越巨大挑戰後才會配擁有此回報,Trainers who have overcome the huge challenge deserve to claim the reward,404404,거대한 도전을 끝내야만 보답을 얻을 수 있습니다.,,,,,,,2,50000,200,{libs=<500;504;>},{libs=<506;505;>}
49,10,change layer,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,11,3 out of 1 passive,Fixed library passive 1,city/adventure/random_tower/icon/icon_wz.png,,,Battle buff,戰鬥加成,Battle buff,Chiến đấu tăng thêm,전투 보너스,,2,,,,,,,,,,<<101;100>>,,,,,,
51,11,3 out of 1 passive,Fixed library passive 2,city/adventure/random_tower/icon/icon_wz.png,,,Battle buff,戰鬥加成,Battle buff,Chiến đấu tăng thêm,전투 보너스,,2,,,,,,,,,,<<102;100>>,,,,,,
52,11,3 out of 1 passive,Fixed library passive 3,city/adventure/random_tower/icon/icon_wz.png,,,Battle buff,戰鬥加成,Battle buff,Chiến đấu tăng thêm,전투 보너스,,2,,,,,,,,,,<<200;100>;<1000;90>;<2223;100>>,,,,,,
10052,11,3 out of 1 passive,Fixed library passive 3,city/adventure/random_tower/icon/icon_wz.png,,,Battle buff,戰鬥加成,Battle buff,Chiến đấu tăng thêm,전투 보너스,,2,,,,,,,,,,<<200;100>;<1000;90>;<2224;100>>,,,,,,
53,12,fighting,Simple,city/adventure/random_tower/icon/img_jddr@.png,,,Simple enemy,簡單的敵人,Simple enemy,404404,쉬운 적,1,1,Seems to be an easy opponent to beat,似乎是可以輕鬆擊敗的對手,Seems to be an easy opponent to beat,404404,쉽게 쓰러트릴 수 있는 상대 같습니다.,1,,,,,,,,,,
54,12,fighting,Simple,city/adventure/random_tower/icon/img_jddr@.png,,,Simple enemy,簡單的敵人,Simple enemy,404404,쉬운 적,1,1,Seems to be an easy opponent to beat,似乎是可以輕鬆擊敗的對手,Seems to be an easy opponent to beat,404404,쉽게 쓰러트릴 수 있는 상대 같습니다.,1,,,,,,,,,,
55,12,fighting,ordinary,city/adventure/random_tower/icon/img_ptdr@.png,,,Ordinary Enemy,普通的敵人,Ordinary Enemy,404404,평범한 적,2,1,"An opponent of decent strength, but not to be feared of",小有實力，但是不足為懼的對手,"An opponent of decent strength, but not to be feared of",404404,조금 실력이 있지만 걱정할 필요는 없는 상대입니다.,2,,,,,,,,,,
56,12,fighting,ordinary,city/adventure/random_tower/icon/img_ptdr@.png,,,Ordinary Enemy,普通的敵人,Ordinary Enemy,404404,평범한 적,2,1,"An opponent of decent strength, but not to be feared of",小有實力，但是不足為懼的對手,"An opponent of decent strength, but not to be feared of",404404,조금 실력이 있지만 걱정할 필요는 없는 상대입니다.,2,,,,,,,,,,
57,12,fighting,difficulty,city/adventure/random_tower/icon/img_kndr@.png,,,Difficult enemy,困難的敵人,Difficult enemy,404404,어려운 적,3,1,Please select your opponent wisely,請謹慎挑選對手,Please select your opponent wisely,404404,신중하게 상대를 선택하세요.,3,,,,,,,,,,
58,12,fighting,difficulty,city/adventure/random_tower/icon/img_kndr@.png,,,Difficult enemy,困難的敵人,Difficult enemy,404404,어려운 적,3,1,Please select your opponent wisely,請謹慎挑選對手,Please select your opponent wisely,404404,신중하게 상대를 선택하세요.,3,,,,,,,,,,
59,13,Mixed box,attribute bonus is small,city/adventure/random_tower/icon/icon_wz.png,,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>>,,,,,,
10059,13,Mixed box,attribute bonus is small,city/adventure/random_tower/icon/icon_wz.png,0,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>>,,,,,,
60,13,Mixed box,supply,city/adventure/random_tower/icon/icon_wz.png,,,Combat supplies,戰鬥補給,Combat supplies,404404,전투 보급,,2,,,,,,,,,,<<5;100>>,,,,,,
61,13,Mixed box,Adding attributes,city/adventure/random_tower/icon/icon_wz.png,,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>;<2;20>>,,,,,,
10061,13,Mixed box,Adding attributes,city/adventure/random_tower/icon/icon_wz.png,0,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>;<2;20>>,,,,,,
62,13,Mixed box,Big attribute bonus,city/adventure/random_tower/icon/icon_wz.png,,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>;<2;20>>,,,,,,
63,13,Mixed box,random event bad,city/adventure/random_tower/icon/icon_sj.png,,,Event,事件,Event,404404,사건,,4,Nobody knows what may happen next,誰也不知道會發生什麼,Nobody knows what may happen next,404404,무슨 일이 일어날지 아무도 모릅니다.,,,,,,<<1;100>;<2;10>>,,,,,
64,13,Mixed box,in random events,city/adventure/random_tower/icon/icon_sj.png,0,,Event,事件,Event,404404,사건,,4,"Your choice may bring fortune, or catastrophe",你的選擇也許會帶來幸運，也可能會招致災禍,"Your choice may bring fortune, or catastrophe","Lựa chọn của bạn có thể mang lại hạnh phúc, cũng có thể gây ra thảm hoạ","""당신의 선택은 어쩌면 행운을 가져오거나, 재앙을 초래할지도 모릅니다.""",,,,,,<<2;100>;<3;10>>,,,,,
65,13,Mixed box,small treasure chest,city/adventure/random_tower/icon_bx.png,-1,,Chest,寶箱,Chest,Bảo rương,보물상자,,3,Surprise Chest,不經意間發現的寶箱,Surprise Chest,404404,갑자기 보물상자를 발견했습니다.,,,,,,,1,12000,20,{libs=<504;504;>},
66,13,Mixed box,Simple,city/adventure/random_tower/icon/img_jddr@.png,,,Simple enemy,簡單的敵人,Simple enemy,404404,쉬운 적,1,1,Seems to be an easy opponent to beat,似乎是可以輕鬆擊敗的對手,Seems to be an easy opponent to beat,404404,쉽게 쓰러트릴 수 있는 상대 같습니다.,1,,0.6,,,,,,,,
67,13,Mixed box,ordinary,city/adventure/random_tower/icon/img_ptdr@.png,,,Ordinary Enemy,普通的敵人,Ordinary Enemy,404404,평범한 적,2,1,"An opponent of decent strength, but not to be feared of",小有實力，但是不足為懼的對手,"An opponent of decent strength, but not to be feared of",404404,조금 실력이 있지만 걱정할 필요는 없는 상대입니다.,2,,0.6,,,,,,,,
68,13,Mixed box,difficulty,city/adventure/random_tower/icon/img_kndr@.png,,,Difficult enemy,困難的敵人,Difficult enemy,404404,어려운 적,3,1,Please select your opponent wisely,請謹慎挑選對手,Please select your opponent wisely,404404,신중하게 상대를 선택하세요.,3,,0.6,,,,,,,,
69,14,Rumble,attribute bonus is small,city/adventure/random_tower/icon/icon_wz.png,,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>>,,,,,,
10069,14,Rumble,attribute bonus is small,city/adventure/random_tower/icon/icon_wz.png,0,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>>,,,,,,
70,14,Rumble,supply,city/adventure/random_tower/icon/icon_wz.png,,,Combat supplies,戰鬥補給,Combat supplies,404404,전투 보급,,2,,,,,,,,,,<<5;100>>,,,,,,
71,14,Rumble,Adding attributes,city/adventure/random_tower/icon/icon_wz.png,,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>;<2;20>>,,,,,,
10071,14,Rumble,Adding attributes,city/adventure/random_tower/icon/icon_wz.png,0,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>;<2;20>>,,,,,,
72,14,Rumble,Big attribute bonus,city/adventure/random_tower/icon/icon_wz.png,,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>;<2;20>>,,,,,,
73,14,Rumble,random event bad,city/adventure/random_tower/icon/icon_sj.png,,,Event,事件,Event,404404,사건,,4,Nobody knows what may happen next,誰也不知道會發生什麼,Nobody knows what may happen next,404404,무슨 일이 일어날지 아무도 모릅니다.,,,,,,<<1;100>;<2;10>>,,,,,
74,14,Rumble,in random events,city/adventure/random_tower/icon/icon_sj.png,0,,Event,事件,Event,404404,사건,,4,"Your choice may bring fortune, or catastrophe",你的選擇也許會帶來幸運，也可能會招致災禍,"Your choice may bring fortune, or catastrophe","Lựa chọn của bạn có thể mang lại hạnh phúc, cũng có thể gây ra thảm hoạ","""당신의 선택은 어쩌면 행운을 가져오거나, 재앙을 초래할지도 모릅니다.""",,,,,,<<2;100>;<3;10>>,,,,,
75,14,Rumble,small treasure chest,city/adventure/random_tower/icon_bx.png,,,Chest,寶箱,Chest,Bảo rương,보물상자,,3,Surprise Chest,不經意間發現的寶箱,Surprise Chest,404404,갑자기 보물상자를 발견했습니다.,,,,,,,1,12000,20,{libs=<504;504;>},
76,14,Rumble,Simple,city/adventure/random_tower/icon/img_jddr@.png,,,Simple enemy,簡單的敵人,Simple enemy,404404,쉬운 적,1,1,Seems to be an easy opponent to beat,似乎是可以輕鬆擊敗的對手,Seems to be an easy opponent to beat,404404,쉽게 쓰러트릴 수 있는 상대 같습니다.,1,,0.6,,,,,,,,
77,14,Rumble,ordinary,city/adventure/random_tower/icon/img_ptdr@.png,-1,,Ordinary Enemy,普通的敵人,Ordinary Enemy,404404,평범한 적,2,1,"An opponent of decent strength, but not to be feared of",小有實力，但是不足為懼的對手,"An opponent of decent strength, but not to be feared of",404404,조금 실력이 있지만 걱정할 필요는 없는 상대입니다.,2,,0.6,,,,,,,,
