变量名,needPoint,award,version
默认值,,{},0
ID,需要积分,奖励,奖励版本
1,100,{20301=2;4000=5;12=10;gold=2000},
2,300,{20301=2;4000=5;12=10;gold=3000},
3,600,{20301=2;4000=5;12=10;gold=4000},
4,1000,{20301=2;4000=5;12=10;gold=5000},
5,2000,{20301=2;4000=5;12=10;gold=6000},
6,3000,{20301=2;4000=5;12=10;gold=7000},
7,4000,{20301=2;4000=5;12=10;gold=8000},
8,5000,{20301=2;4000=5;12=10;gold=9000},
9,7000,{20301=2;4000=5;12=10;gold=10000},
10,9000,{20301=2;4000=5;12=10;gold=11000},
11,11000,{20301=2;4000=10;12=10;gold=12000},
12,13000,{20301=2;4000=10;12=10;gold=13000},
13,15000,{20301=2;4000=10;12=10;gold=14000},
14,18000,{20301=2;4000=10;12=10;gold=15000},
15,21000,{20301=2;4000=10;12=10;gold=16000},
16,24000,{20591=1;4000=10;12=10;gold=17000},
17,27000,{20591=1;4000=10;12=10;gold=18000},
18,30000,{20591=1;4000=10;12=10;gold=19000},
19,33000,{20591=1;4000=10;12=10;gold=20000},
20,36000,{20591=1;4000=10;12=10;gold=21000},
21,39000,{20591=1;4000=15;12=10;gold=22000},
22,42000,{20591=1;4000=15;12=10;gold=23000},
23,45000,{20591=1;4000=15;12=10;gold=24000},
24,48000,{20591=1;4000=15;12=10;gold=25000},
25,51000,{20591=1;4000=15;12=10;gold=26000},
26,54000,{20591=1;4000=15;12=10;gold=27000},
27,57000,{20591=1;4000=15;12=10;gold=28000},
28,60000,{20591=1;4000=15;12=10;gold=29000},
29,63000,{20591=1;4000=15;12=10;gold=30000},
30,66000,{20591=1;4000=15;12=10;gold=31000},
31,69000,{20591=1;4000=20;12=10;gold=32000},
32,72000,{20591=1;4000=20;12=10;gold=33000},
33,75000,{20591=1;4000=20;12=10;gold=34000},
34,78000,{20591=1;4000=20;12=10;gold=35000},
35,81000,{20591=1;4000=20;12=10;gold=36000},
36,84000,{20591=1;4000=20;12=10;gold=37000},
37,87000,{20591=1;4000=20;12=10;gold=38000},
38,90000,{20591=1;4000=20;12=10;gold=39000},
39,93000,{20591=1;4000=20;12=10;gold=40000},
40,96000,{20591=1;4000=20;12=10;gold=41000},
41,99000,{20591=1;4000=25;12=10;gold=42000},
42,102000,{20591=1;4000=25;12=10;gold=43000},
43,105000,{20591=1;4000=25;12=10;gold=44000},
44,108000,{20591=1;4000=25;12=10;gold=45000},
45,111000,{20591=1;4000=25;12=10;gold=46000},
46,114000,{20591=1;4000=25;12=10;gold=47000},
47,117000,{20591=1;4000=25;12=10;gold=48000},
48,120000,{20591=1;4000=25;12=10;gold=49000},
49,123000,{20591=1;4000=25;12=10;gold=50000},
50,126000,{20591=1;4000=25;12=10;gold=50000},
51,129000,{20591=1;4000=30;12=10;gold=50000},
52,132000,{20591=1;4000=30;12=10;gold=50000},
53,135000,{20591=1;4000=30;12=10;gold=50000},
54,138000,{20591=1;4000=30;12=10;gold=50000},
55,141000,{20591=1;4000=30;12=10;gold=50000},
56,144000,{20591=1;4000=30;12=10;gold=50000},
57,147000,{20591=1;4000=30;12=10;gold=50000},
58,150000,{20591=1;4000=30;12=10;gold=50000},
59,160000,{20591=1;4000=30;12=10;gold=50000},
60,170000,{20591=1;4000=30;12=10;gold=50000},
61,180000,{20591=1;4000=30;12=10;gold=50000},
62,190000,{20591=1;4000=30;12=10;gold=50000},
63,200000,{20591=1;4000=30;12=10;gold=50000},
64,210000,{20591=1;4000=30;12=10;gold=50000},
65,220000,{20591=1;4000=30;12=10;gold=50000},
66,230000,{20591=1;4000=30;12=10;gold=50000},
67,240000,{20591=1;4000=30;12=10;gold=50000},
68,250000,{20591=1;4000=30;12=10;gold=50000},
69,260000,{20591=1;4000=30;12=10;gold=50000},
70,270000,{20591=1;4000=30;12=10;gold=50000},
71,280000,{20591=1;4000=30;12=10;gold=50000},
72,290000,{20591=1;4000=30;12=10;gold=50000},
73,300000,{20591=1;4000=30;12=10;gold=50000},
74,310000,{20591=1;4000=30;12=10;gold=50000},
75,320000,{20591=1;4000=30;12=10;gold=50000},
76,330000,{20591=1;4000=30;12=10;gold=50000},
77,340000,{20591=1;4000=30;12=10;gold=50000},
78,350000,{20591=1;4000=30;12=10;gold=50000},
79,360000,{20591=1;4000=30;12=10;gold=50000},
80,370000,{20591=1;4000=30;12=10;gold=50000},
81,380000,{20591=1;4000=30;12=10;gold=50000},
82,390000,{20591=1;4000=30;12=10;gold=50000},
83,400000,{20591=1;4000=30;12=10;gold=50000},
84,410000,{20591=1;4000=30;12=10;gold=50000},
85,420000,{20591=1;4000=30;12=10;gold=50000},
86,430000,{20591=1;4000=30;12=10;gold=50000},
87,440000,{20591=1;4000=30;12=10;gold=50000},
88,450000,{20591=1;4000=30;12=10;gold=50000},
89,460000,{20591=1;4000=30;12=10;gold=50000},
90,470000,{20591=1;4000=30;12=10;gold=50000},
91,480000,{20591=1;4000=30;12=10;gold=50000},
92,490000,{20591=1;4000=30;12=10;gold=50000},
93,500000,{20591=1;4000=30;12=10;gold=50000},
94,510000,{20591=1;4000=30;12=10;gold=50000},
95,520000,{20591=1;4000=30;12=10;gold=50000},
96,530000,{20591=1;4000=30;12=10;gold=50000},
97,540000,{20591=1;4000=30;12=10;gold=50000},
98,550000,{20591=1;4000=30;12=10;gold=50000},
