"﻿变量名",group,desc,desc_tw,desc_en,desc_kr,weight,icon,iconBg,buffColor,buffType,attrNatureType1,attrType1,attrNum1,attrType2,attrNum2,attrNatureType3,attrType3,attrNum3,supplyType,supplyTarget,supplyNum,pointType,pointValue,passiveSkill,effectTimes,skillgroup,onlyOne,limit,changeLib,belongLib,condition
默认值,1,"""""","""""","""""","""""",999,"""""","""""","""""",1,0,0,"""""",0,"""""",0,0,"""""",0,0,0,0,0,0,0,<>,FALSE,99,0,0,0
buffID,buff组别,描述,描述,描述,描述_韩,buff权重,图标,图标背景,特效颜色,buff类型（1=属性加成;2=补给;3=积分加成;4=被动技能）,加成自然属性类型（0表示全体）,属性类型,属性加成数值,属性类型,属性加层数值,加成自然属性类型（0表示全体）,属性类型,属性加层数值,补给类型（1-回血；2-回怒；3-复活；4-扣血；5-扣怒）,补给对象（1-选择一只；2-上阵精灵；3-全体符合条件精灵）,回/扣血 回/扣怒百分比（以100为分母）,积分加成类型（1.剩余回合数  2.存活精灵数  3.当前层数）,积分加成系数,特殊被动技能,被动技能可用于几次战斗,被动技能组<group; 数值>， 同group数值大的会覆盖小的<1;1>,今日是否唯一,限制出现的次数,更换随机库,所属随机库,补给 前置条件（1-有精灵残血；2-有精灵没满怒；3-有精灵死亡）
1,1,P. ATK of allied Pokémons +10%,我方精靈物攻+10%,P. ATK of allied Pokémons +10%,아군 포켓몬 물리 공격+10%,100,city/develop/talent/icon_wg.png,city/adventure/random_tower/icon/box_yellow.png,effect,1,,7,10%,,,,,,,,,,,,,,,,,,
2,2,P. ATK of allied Pokémons +15%,我方精靈物攻+15%,P. ATK of allied Pokémons +15%,아군 포켓몬 물리 공격+15%,100,city/develop/talent/icon_wg.png,city/adventure/random_tower/icon/box_yellow.png,effect,1,,7,15%,,,,,,,,,,,,,,,3,,,
3,3,P. ATK of allied Pokémons +20%,我方精靈物攻+20%,P. ATK of allied Pokémons +20%,아군 포켓몬 물리 공격+20%,100,city/develop/talent/icon_wg.png,city/adventure/random_tower/icon/box_yellow.png,effect,1,,7,20%,,,,,,,,,,,,,,TRUE,1,,,
4,1,SP.ATK of allied Pokémons +10%,我方精靈特攻+10%,SP.ATK of allied Pokémons +10%,아군 포켓몬 특수 공격+10%,100,city/develop/talent/icon_tg.png,city/adventure/random_tower/icon/box_blue.png,effect,1,,8,10%,,,,,,,,,,,,,,,,,,
5,2,SP.ATK of allied Pokémons +15%,我方精靈特攻+15%,SP.ATK of allied Pokémons +15%,아군 포켓몬 특수 공격+15%,100,city/develop/talent/icon_tg.png,city/adventure/random_tower/icon/box_blue.png,effect,1,,8,15%,,,,,,,,,,,,,,,3,,,
6,3,SP.ATK of allied Pokémons +20%,我方精靈特攻+20%,SP.ATK of allied Pokémons +20%,아군 포켓몬 특수 공격+20%,100,city/develop/talent/icon_tg.png,city/adventure/random_tower/icon/box_blue.png,effect,1,,8,20%,,,,,,,,,,,,,,TRUE,1,,,
7,1,P. ATK and SP.ATK of allied Pokémons +5%,我方精靈物攻和特攻+5%,P. ATK and SP.ATK of allied Pokémons +5%,아군 포켓몬 물리&특수 공격+5%,150,city/adventure/random_tower/icon/icon_gj.png,city/adventure/random_tower/icon/box_red.png,effect,1,,8,5%,7,5%,,,,,,,,,,,,,,,,
8,2,P. ATK and SP.ATK of allied Pokémons +10%,我方精靈物攻和特攻+10%,P. ATK and SP.ATK of allied Pokémons +10%,아군 포켓몬 물리&특수 공격+10%,150,city/adventure/random_tower/icon/icon_gj.png,city/adventure/random_tower/icon/box_red.png,effect,1,,8,10%,7,10%,,,,,,,,,,,,,3,,,
