变量名,rankMax,award,version
默认值,,{},0
ID,最大排名,排名奖励,奖励版本
1,1,{6017=8;529=200;21971=3;521=2;gold=500000},
2,2,{6017=7;529=180;21971=2;521=2;gold=450000},
3,3,{6017=6;529=160;21971=2;521=1;gold=400000},
4,4,{6017=6;529=160;21971=2;521=1;gold=400000},
5,8,{6017=5;529=145;21971=1;521=1;gold=380000},
6,16,{6017=4;6018=1;529=130;521=1;gold=360000},
7,32,{6017=3;6018=2;529=120;502=1;gold=340000},
8,64,{6017=2;6018=3;529=110;502=1;gold=320000},
9,100,{6017=1;6018=4;529=100;gold=300000},
10,200,{6018=5;529=95;gold=280000},
11,300,{6018=5;529=90;gold=260000},
12,500,{6018=5;529=85;gold=240000},
13,1000,{6018=5;529=80;gold=220000},
14,2000,{6018=5;529=75;gold=200000},
15,99999,{6018=5;529=70;gold=180000},
