变量名,date,hp1,hp2,hp3,hp4,hp5,hp6,hp7,damage1,damage2,damage3,damage4,damage5,damage6,damage7
默认值,0,0.4,0.35,0.3,0.25,0.2,0.15,0.1,0.4,0.35,0.3,0.25,0.2,0.15,0.1
ID,玩法时间,血量1,血量2,血量3,血量4,血量5,血量6,血量7,双攻1,双攻2,双攻3,双攻4,双攻5,双攻6,双攻7
,,,,,,,,,,,,,,,
1,20220911,0.3625,0.32,0.2825,0.25,0.2225,0.2,0.175,0.35,0.305,0.265,0.2275,0.2,0.175,0.15
2,20220912,0.3625,0.32,0.2825,0.25,0.2225,0.2,0.175,0.35,0.305,0.265,0.2275,0.2,0.175,0.15
,,,,,,,,,,,,,,,
3,20220914,0.3475,0.31,0.2775,0.25,0.2285,0.213,0.1945,0.33,0.29,0.255,0.2215,0.2,0.1815,0.163
4,20220915,0.3475,0.31,0.2775,0.25,0.2285,0.213,0.1945,0.33,0.29,0.255,0.2215,0.2,0.1815,0.163
,,,,,,,,,,,,,,,
5,20220918,0.3325,0.3,0.2725,0.25,0.2345,0.226,0.214,0.31,0.275,0.245,0.2155,0.2,0.188,0.176
6,20220919,0.3325,0.3,0.2725,0.25,0.2345,0.226,0.214,0.31,0.275,0.245,0.2155,0.2,0.188,0.176
,,,,,,,,,,,,,,,
7,20220921,0.3175,0.29,0.2675,0.25,0.24,0.238,0.232,0.29,0.26,0.235,0.21,0.2,0.194,0.188
8,20220922,0.3175,0.29,0.2675,0.25,0.24,0.238,0.232,0.29,0.26,0.235,0.21,0.2,0.194,0.188
,,,,,,,,,,,,,,,
9,20220925,0.3025,0.28,0.2625,0.25,0.245,0.25,0.25,0.27,0.245,0.225,0.205,0.2,0.2,0.2
10,20220926,0.3025,0.28,0.2625,0.25,0.245,0.25,0.25,0.27,0.245,0.225,0.205,0.2,0.2,0.2
,,,,,,,,,,,,,,,
11,20220928,0.2875,0.27,0.2575,0.25,0.25,0.25,0.25,0.25,0.23,0.215,0.2,0.2,0.2,0.2
12,20220929,0.2875,0.27,0.2575,0.25,0.25,0.25,0.25,0.25,0.23,0.215,0.2,0.2,0.2,0.2
,,,,,,,,,,,,,,,
13,20221002,0.2725,0.26,0.2525,0.25,0.25,0.25,0.25,0.23,0.215,0.205,0.2,0.2,0.2,0.2
14,20221003,0.2725,0.26,0.2525,0.25,0.25,0.25,0.25,0.23,0.215,0.205,0.2,0.2,0.2,0.2
,,,,,,,,,,,,,,,
15,20221005,0.2575,0.25,0.25,0.25,0.25,0.25,0.25,0.21,0.2,0.2,0.2,0.2,0.2,0.2
16,20221006,0.2575,0.25,0.25,0.25,0.25,0.25,0.25,0.21,0.2,0.2,0.2,0.2,0.2,0.2
,,,,,,,,,,,,,,,
17,20221009,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.2,0.2,0.2,0.2,0.2,0.2,0.2
18,20221010,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.2,0.2,0.2,0.2,0.2,0.2,0.2
,,,,,,,,,,,,,,,
19,20221012,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.2,0.2,0.2,0.2,0.2,0.2,0.2
20,20221013,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.2,0.2,0.2,0.2,0.2,0.2,0.2
,,,,,,,,,,,,,,,
21,20221016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.2,0.2,0.2,0.2,0.2,0.2,0.2
22,20221017,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.2,0.2,0.2,0.2,0.2,0.2,0.2
,,,,,,,,,,,,,,,
23,20221019,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.2,0.2,0.2,0.2,0.2,0.2,0.2
24,20221020,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.2,0.2,0.2,0.2,0.2,0.2,0.2
,,,,,,,,,,,,,,,
25,20221023,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.2,0.2,0.2,0.2,0.2,0.2,0.2
26,20221024,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.2,0.2,0.2,0.2,0.2,0.2,0.2
,,,,,,,,,,,,,,,
27,20221026,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.2,0.2,0.2,0.2,0.2,0.2,0.2
28,20221027,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.2,0.2,0.2,0.2,0.2,0.2,0.2
,,,,,,,,,,,,,,,
29,20221030,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.19,0.19,0.19,0.19,0.19,0.19,0.19
30,20221031,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.19,0.19,0.19,0.19,0.19,0.19,0.19
,,,,,,,,,,,,,,,
31,20221102,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.18,0.18,0.18,0.18,0.18,0.18,0.18
32,20221103,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.18,0.18,0.18,0.18,0.18,0.18,0.18
,,,,,,,,,,,,,,,
33,20221106,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.17,0.17,0.17,0.17,0.17,0.17,0.17
34,20221107,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.17,0.17,0.17,0.17,0.17,0.17,0.17
,,,,,,,,,,,,,,,
35,20221109,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.16,0.16,0.16,0.16,0.16,0.16,0.16
36,20221110,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.16,0.16,0.16,0.16,0.16,0.16,0.16
,,,,,,,,,,,,,,,
37,20221113,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.15,0.15,0.15,0.15,0.15,0.15,0.15
38,20221114,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.15,0.15,0.15,0.15,0.15,0.15,0.15
,,,,,,,,,,,,,,,
39,20221116,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.14,0.14,0.14,0.14,0.14,0.14,0.14
40,20221117,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.14,0.14,0.14,0.14,0.14,0.14,0.14
,,,,,,,,,,,,,,,
41,20221120,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.13,0.13,0.13,0.13,0.13,0.13,0.13
42,20221121,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.13,0.13,0.13,0.13,0.13,0.13,0.13
,,,,,,,,,,,,,,,
43,20221123,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.12,0.12,0.12,0.12,0.12,0.12,0.12
44,20221124,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.12,0.12,0.12,0.12,0.12,0.12,0.12
,,,,,,,,,,,,,,,
45,20221127,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11
46,20221128,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11
,,,,,,,,,,,,,,,
47,20221130,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
48,20221201,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,,,,,,,,,,,,,,,
49,20221204,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
50,20221205,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,,,,,,,,,,,,,,,
