变量名,levelExp1,levelExp2,levelExp3,levelExp4,levelExp5,levelExp6
默认值,,,,,,
等级,升级经验序列1,升级经验序列2,升级经验序列3,升级经验序列4,升级经验序列5,升级经验序列6
1,80,96,120,160,200,260
2,120,144,180,240,300,500
3,160,192,240,320,400,740
4,200,240,300,400,500,980
5,240,288,360,480,600,1220
6,280,336,420,560,700,1460
7,320,384,480,640,800,1700
8,360,432,540,720,900,1940
9,400,480,600,800,1000,2180
10,440,528,660,880,1100,2420
11,500,600,750,1000,1250,2660
12,560,672,840,1120,1400,2900
13,620,744,930,1240,1550,3140
14,680,816,1020,1360,1700,3380
15,740,888,1110,1480,1850,3620
16,800,960,1200,1600,2000,3860
17,860,1032,1290,1720,2150,4100
18,920,1104,1380,1840,2300,4340
19,980,1176,1470,1960,2450,4580
20,1040,1248,1560,2080,2600,4820
21,1120,1344,1680,2240,2800,5060
22,1200,1440,1800,2400,3000,5300
23,1280,1536,1920,2560,3200,5540
24,1360,1632,2040,2720,3400,5780
25,1440,1728,2160,2880,3600,6020
26,1520,1824,2280,3040,3800,6260
27,1600,1920,2400,3200,4000,6500
28,1680,2016,2520,3360,4200,6740
29,1760,2112,2640,3520,4400,6980
30,1840,2208,2760,3680,4600,7220
31,1920,2304,2880,3840,4800,7460
32,2020,2424,3030,4040,5050,7700
33,2120,2544,3180,4240,5300,7940
34,2220,2664,3330,4440,5550,8180
35,2320,2784,3480,4640,5800,8420
36,2420,2904,3630,4840,6050,8660
37,2520,3024,3780,5040,6300,8900
38,2620,3144,3930,5240,6550,9140
39,2720,3264,4080,5440,6800,9380
40,2820,3384,4230,5640,7050,9620
41,2920,3504,4380,5840,7300,9860
42,3040,3648,4560,6080,7600,10100
43,3160,3792,4740,6320,7900,10340
44,3280,3936,4920,6560,8200,10580
45,3400,4080,5100,6800,8500,10820
46,3520,4224,5280,7040,8800,11060
47,3640,4368,5460,7280,9100,11300
48,3760,4512,5640,7520,9400,11540
49,3880,4656,5820,7760,9700,11780
50,4000,4800,6000,8000,10000,12020
51,4150,4980,6225,8300,10375,12260
52,4300,5160,6450,8600,10750,12500
53,4450,5340,6675,8900,11125,12740
54,4600,5520,6900,9200,11500,12980
55,4750,5700,7125,9500,11875,13220
56,4900,5880,7350,9800,12250,13460
57,5050,6060,7575,10100,12625,13700
58,5200,6240,7800,10400,13000,13940
59,5350,6420,8025,10700,13375,14180
60,5500,6600,8250,11000,13750,14420
