变量名,attrNum1,attrNum2,attrNum3,attrNum4,attrNum5,attrNum6
默认值,<>,<>,<>,<>,<>,<>
等级,属性加成值,属性加成值,属性加成值,属性加成值,属性加成值,属性加成值
,,,,,,
1,<540;11;108;43;108;43>,<540;11;108;43;108;43>,<720;14;144;58;144;58>,<1080;22;216;86;216;86>,<1440;29;288;115;288;115>,<1440;29;288;115;288;115>
2,<743;15;149;59;149;59>,<743;15;149;59;149;59>,<990;20;198;79;198;79>,<1485;30;297;119;297;119>,<1980;40;396;158;396;158>,<1980;40;396;158;396;158>
3,<945;19;189;76;189;76>,<945;19;189;76;189;76>,<1260;25;252;101;252;101>,<1890;38;378;151;378;151>,<2520;50;504;202;504;202>,<2520;50;504;202;504;202>
4,<1148;23;230;92;230;92>,<1148;23;230;92;230;92>,<1530;31;306;122;306;122>,<2295;46;459;184;459;184>,<3060;61;612;245;612;245>,<3060;61;612;245;612;245>
5,<1350;27;270;108;270;108>,<1350;27;270;108;270;108>,<1800;36;360;144;360;144>,<2700;54;540;216;540;216>,<3600;72;720;288;720;288>,<3600;72;720;288;720;288>
6,<1553;31;311;124;311;124>,<1553;31;311;124;311;124>,<2070;41;414;166;414;166>,<3105;62;621;248;621;248>,<4140;83;828;331;828;331>,<4140;83;828;331;828;331>
7,<1755;35;351;140;351;140>,<1755;35;351;140;351;140>,<2340;47;468;187;468;187>,<3510;70;702;281;702;281>,<4680;94;936;374;936;374>,<4680;94;936;374;936;374>
8,<1958;39;392;157;392;157>,<1958;39;392;157;392;157>,<2610;52;522;209;522;209>,<3915;78;783;313;783;313>,<5220;104;1044;418;1044;418>,<5220;104;1044;418;1044;418>
9,<2160;43;432;173;432;173>,<2160;43;432;173;432;173>,<2880;58;576;230;576;230>,<4320;86;864;346;864;346>,<5760;115;1152;461;1152;461>,<5760;115;1152;461;1152;461>
10,<2363;47;473;189;473;189>,<2363;47;473;189;473;189>,<3150;63;630;252;630;252>,<4725;95;945;378;945;378>,<6300;126;1260;504;1260;504>,<6300;126;1260;504;1260;504>
11,<2700;54;540;216;540;216>,<2700;54;540;216;540;216>,<3600;72;720;288;720;288>,<5400;108;1080;432;1080;432>,<7200;144;1440;576;1440;576>,<7200;144;1440;576;1440;576>
12,<2916;58;583;233;583;233>,<2916;58;583;233;583;233>,<3888;78;778;311;778;311>,<5832;117;1166;467;1166;467>,<7776;156;1555;622;1555;622>,<7776;156;1555;622;1555;622>
13,<3132;63;626;251;626;251>,<3132;63;626;251;626;251>,<4176;84;835;334;835;334>,<6264;125;1253;501;1253;501>,<8352;167;1670;668;1670;668>,<8352;167;1670;668;1670;668>
14,<3348;67;670;268;670;268>,<3348;67;670;268;670;268>,<4464;89;893;357;893;357>,<6696;134;1339;536;1339;536>,<8928;179;1786;714;1786;714>,<8928;179;1786;714;1786;714>
15,<3564;71;713;285;713;285>,<3564;71;713;285;713;285>,<4752;95;950;380;950;380>,<7128;143;1426;570;1426;570>,<9504;190;1901;760;1901;760>,<9504;190;1901;760;1901;760>
16,<3780;76;756;302;756;302>,<3780;76;756;302;756;302>,<5040;101;1008;403;1008;403>,<7560;151;1512;605;1512;605>,<10080;202;2016;806;2016;806>,<10080;202;2016;806;2016;806>
17,<3996;80;799;320;799;320>,<3996;80;799;320;799;320>,<5328;107;1066;426;1066;426>,<7992;160;1598;639;1598;639>,<10656;213;2131;852;2131;852>,<10656;213;2131;852;2131;852>
18,<4212;84;842;337;842;337>,<4212;84;842;337;842;337>,<5616;112;1123;449;1123;449>,<8424;168;1685;674;1685;674>,<11232;225;2246;899;2246;899>,<11232;225;2246;899;2246;899>
19,<4428;89;886;354;886;354>,<4428;89;886;354;886;354>,<5904;118;1181;472;1181;472>,<8856;177;1771;708;1771;708>,<11808;236;2362;945;2362;945>,<11808;236;2362;945;2362;945>
20,<4644;93;929;372;929;372>,<4644;93;929;372;929;372>,<6192;124;1238;495;1238;495>,<9288;186;1858;743;1858;743>,<12384;248;2477;991;2477;991>,<12384;248;2477;991;2477;991>
21,<5400;108;1080;432;1080;432>,<5400;108;1080;432;1080;432>,<7200;144;1440;576;1440;576>,<10800;216;2160;864;2160;864>,<14400;288;2880;1152;2880;1152>,<14400;288;2880;1152;2880;1152>
22,<5643;113;1129;451;1129;451>,<5643;113;1129;451;1129;451>,<7524;150;1505;602;1505;602>,<11286;226;2257;903;2257;903>,<15048;301;3010;1204;3010;1204>,<15048;301;3010;1204;3010;1204>
23,<5886;118;1177;471;1177;471>,<5886;118;1177;471;1177;471>,<7848;157;1570;628;1570;628>,<11772;235;2354;942;2354;942>,<15696;314;3139;1256;3139;1256>,<15696;314;3139;1256;3139;1256>
24,<6129;123;1226;490;1226;490>,<6129;123;1226;490;1226;490>,<8172;163;1634;654;1634;654>,<12258;245;2452;981;2452;981>,<16344;327;3269;1308;3269;1308>,<16344;327;3269;1308;3269;1308>
25,<6372;127;1274;510;1274;510>,<6372;127;1274;510;1274;510>,<8496;170;1699;680;1699;680>,<12744;255;2549;1020;2549;1020>,<16992;340;3398;1359;3398;1359>,<16992;340;3398;1359;3398;1359>
26,<6615;132;1323;529;1323;529>,<6615;132;1323;529;1323;529>,<8820;176;1764;706;1764;706>,<13230;265;2646;1058;2646;1058>,<17640;353;3528;1411;3528;1411>,<17640;353;3528;1411;3528;1411>
27,<6858;137;1372;549;1372;549>,<6858;137;1372;549;1372;549>,<9144;183;1829;732;1829;732>,<13716;274;2743;1097;2743;1097>,<18288;366;3658;1463;3658;1463>,<18288;366;3658;1463;3658;1463>
28,<7101;142;1420;568;1420;568>,<7101;142;1420;568;1420;568>,<9468;189;1894;757;1894;757>,<14202;284;2840;1136;2840;1136>,<18936;379;3787;1515;3787;1515>,<18936;379;3787;1515;3787;1515>
29,<7344;147;1469;588;1469;588>,<7344;147;1469;588;1469;588>,<9792;196;1958;783;1958;783>,<14688;294;2938;1175;2938;1175>,<19584;392;3917;1567;3917;1567>,<19584;392;3917;1567;3917;1567>
30,<7587;152;1517;607;1517;607>,<7587;152;1517;607;1517;607>,<10116;202;2023;809;2023;809>,<15174;303;3035;1214;3035;1214>,<20232;405;4046;1619;4046;1619>,<20232;405;4046;1619;4046;1619>
31,<8640;173;1728;691;1728;691>,<8640;173;1728;691;1728;691>,<11520;230;2304;922;2304;922>,<17280;346;3456;1382;3456;1382>,<23040;461;4608;1843;4608;1843>,<23040;461;4608;1843;4608;1843>
32,<8910;178;1782;713;1782;713>,<8910;178;1782;713;1782;713>,<11880;238;2376;950;2376;950>,<17820;356;3564;1426;3564;1426>,<23760;475;4752;1901;4752;1901>,<23760;475;4752;1901;4752;1901>
33,<9180;184;1836;734;1836;734>,<9180;184;1836;734;1836;734>,<12240;245;2448;979;2448;979>,<18360;367;3672;1469;3672;1469>,<24480;490;4896;1958;4896;1958>,<24480;490;4896;1958;4896;1958>
34,<9450;189;1890;756;1890;756>,<9450;189;1890;756;1890;756>,<12600;252;2520;1008;2520;1008>,<18900;378;3780;1512;3780;1512>,<25200;504;5040;2016;5040;2016>,<25200;504;5040;2016;5040;2016>
35,<9720;194;1944;778;1944;778>,<9720;194;1944;778;1944;778>,<12960;259;2592;1037;2592;1037>,<19440;389;3888;1555;3888;1555>,<25920;518;5184;2074;5184;2074>,<25920;518;5184;2074;5184;2074>
36,<9990;200;1998;799;1998;799>,<9990;200;1998;799;1998;799>,<13320;266;2664;1066;2664;1066>,<19980;400;3996;1598;3996;1598>,<26640;533;5328;2131;5328;2131>,<26640;533;5328;2131;5328;2131>
37,<10260;205;2052;821;2052;821>,<10260;205;2052;821;2052;821>,<13680;274;2736;1094;2736;1094>,<20520;410;4104;1642;4104;1642>,<27360;547;5472;2189;5472;2189>,<27360;547;5472;2189;5472;2189>
38,<10530;211;2106;842;2106;842>,<10530;211;2106;842;2106;842>,<14040;281;2808;1123;2808;1123>,<21060;421;4212;1685;4212;1685>,<28080;562;5616;2246;5616;2246>,<28080;562;5616;2246;5616;2246>
39,<10800;216;2160;864;2160;864>,<10800;216;2160;864;2160;864>,<14400;288;2880;1152;2880;1152>,<21600;432;4320;1728;4320;1728>,<28800;576;5760;2304;5760;2304>,<28800;576;5760;2304;5760;2304>
40,<11070;221;2214;886;2214;886>,<11070;221;2214;886;2214;886>,<14760;295;2952;1181;2952;1181>,<22140;443;4428;1771;4428;1771>,<29520;590;5904;2362;5904;2362>,<29520;590;5904;2362;5904;2362>
41,<12420;248;2484;994;2484;994>,<12420;248;2484;994;2484;994>,<16560;331;3312;1325;3312;1325>,<24840;497;4968;1987;4968;1987>,<33120;662;6624;2650;6624;2650>,<33120;662;6624;2650;6624;2650>
42,<12717;254;2543;1017;2543;1017>,<12717;254;2543;1017;2543;1017>,<16956;339;3391;1356;3391;1356>,<25434;509;5087;2035;5087;2035>,<33912;678;6782;2713;6782;2713>,<33912;678;6782;2713;6782;2713>
43,<13014;260;2603;1041;2603;1041>,<13014;260;2603;1041;2603;1041>,<17352;347;3470;1388;3470;1388>,<26028;521;5206;2082;5206;2082>,<34704;694;6941;2776;6941;2776>,<34704;694;6941;2776;6941;2776>
44,<13311;266;2662;1065;2662;1065>,<13311;266;2662;1065;2662;1065>,<17748;355;3550;1420;3550;1420>,<26622;532;5324;2130;5324;2130>,<35496;710;7099;2840;7099;2840>,<35496;710;7099;2840;7099;2840>
45,<13608;272;2722;1089;2722;1089>,<13608;272;2722;1089;2722;1089>,<18144;363;3629;1452;3629;1452>,<27216;544;5443;2177;5443;2177>,<36288;726;7258;2903;7258;2903>,<36288;726;7258;2903;7258;2903>
46,<13905;278;2781;1112;2781;1112>,<13905;278;2781;1112;2781;1112>,<18540;371;3708;1483;3708;1483>,<27810;556;5562;2225;5562;2225>,<37080;742;7416;2966;7416;2966>,<37080;742;7416;2966;7416;2966>
47,<14202;284;2840;1136;2840;1136>,<14202;284;2840;1136;2840;1136>,<18936;379;3787;1515;3787;1515>,<28404;568;5681;2272;5681;2272>,<37872;757;7574;3030;7574;3030>,<37872;757;7574;3030;7574;3030>
48,<14499;290;2900;1160;2900;1160>,<14499;290;2900;1160;2900;1160>,<19332;387;3866;1547;3866;1547>,<28998;580;5800;2320;5800;2320>,<38664;773;7733;3093;7733;3093>,<38664;773;7733;3093;7733;3093>
49,<14796;296;2959;1184;2959;1184>,<14796;296;2959;1184;2959;1184>,<19728;395;3946;1578;3946;1578>,<29592;592;5918;2367;5918;2367>,<39456;789;7891;3156;7891;3156>,<39456;789;7891;3156;7891;3156>
50,<15093;302;3019;1207;3019;1207>,<15093;302;3019;1207;3019;1207>,<20124;402;4025;1610;4025;1610>,<30186;604;6037;2415;6037;2415>,<40248;805;8050;3220;8050;3220>,<40248;805;8050;3220;8050;3220>
51,<16740;335;3348;1339;3348;1339>,<16740;335;3348;1339;3348;1339>,<22320;446;4464;1786;4464;1786>,<33480;670;6696;2678;6696;2678>,<44640;893;8928;3571;8928;3571>,<44640;893;8928;3571;8928;3571>
52,<17064;341;3413;1365;3413;1365>,<17064;341;3413;1365;3413;1365>,<22752;455;4550;1820;4550;1820>,<34128;683;6826;2730;6826;2730>,<45504;910;9101;3640;9101;3640>,<45504;910;9101;3640;9101;3640>
53,<17388;348;3478;1391;3478;1391>,<17388;348;3478;1391;3478;1391>,<23184;464;4637;1855;4637;1855>,<34776;696;6955;2782;6955;2782>,<46368;927;9274;3709;9274;3709>,<46368;927;9274;3709;9274;3709>
54,<17712;354;3542;1417;3542;1417>,<17712;354;3542;1417;3542;1417>,<23616;472;4723;1889;4723;1889>,<35424;708;7085;2834;7085;2834>,<47232;945;9446;3779;9446;3779>,<47232;945;9446;3779;9446;3779>
55,<18036;361;3607;1443;3607;1443>,<18036;361;3607;1443;3607;1443>,<24048;481;4810;1924;4810;1924>,<36072;721;7214;2886;7214;2886>,<48096;962;9619;3848;9619;3848>,<48096;962;9619;3848;9619;3848>
56,<18360;367;3672;1469;3672;1469>,<18360;367;3672;1469;3672;1469>,<24480;490;4896;1958;4896;1958>,<36720;734;7344;2938;7344;2938>,<48960;979;9792;3917;9792;3917>,<48960;979;9792;3917;9792;3917>
57,<18684;374;3737;1495;3737;1495>,<18684;374;3737;1495;3737;1495>,<24912;498;4982;1993;4982;1993>,<37368;747;7474;2989;7474;2989>,<49824;996;9965;3986;9965;3986>,<49824;996;9965;3986;9965;3986>
58,<19008;380;3802;1521;3802;1521>,<19008;380;3802;1521;3802;1521>,<25344;507;5069;2028;5069;2028>,<38016;760;7603;3041;7603;3041>,<50688;1014;10138;4055;10138;4055>,<50688;1014;10138;4055;10138;4055>
59,<19332;387;3866;1547;3866;1547>,<19332;387;3866;1547;3866;1547>,<25776;516;5155;2062;5155;2062>,<38664;773;7733;3093;7733;3093>,<51552;1031;10310;4124;10310;4124>,<51552;1031;10310;4124;10310;4124>
60,<19656;393;3931;1572;3931;1572>,<19656;393;3931;1572;3931;1572>,<26208;524;5242;2097;5242;2097>,<39312;786;7862;3145;7862;3145>,<52416;1048;10483;4193;10483;4193>,<52416;1048;10483;4193;10483;4193>
