"﻿变量名",type,exclusiveCards,skillID,skillID_tw,skillID_en,skillID_kr,viceSkillID,attrType1,attrNum1,attrType2,attrNum2,viceAttrRate,desc,desc_tw,desc_en,desc_vn,desc_kr
默认值,1,<>,0,0,0,0,0,,,,,0.5,"""""","""""","""""","""""",""""""
效果ID,效果类型（1-属性;2-技能）,专属卡牌<markID;>,技能ID,繁体技能ID,英文技能ID,韩文技能ID,副携带技能ID,属性类型1,属性数值1,属性类型2,属性数值2,副携带属性比例,效果描述,效果描述,效果描述,效果描述_越南,效果描述_韩
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
1,1,,,,,,,1,<5%;6%;7%;8%;9%;10%;11%;12%>,,,,HP increases by %s while holding it,攜帶後，生命提升%s,HP increases by %s while holding it,"Sau khi mang, HP tăng %s",휴대 시 HP %s 증가
3,1,,,,,,,7,<5%;6%;7%;8%;9%;10%;11%;12%>,,,,P.ATK increases by %s while holding it,攜帶後，物攻提升%s,P.ATK increases by %s while holding it,"Sau khi mang, Vật Công tăng %s",휴대 시 공격 %s 증가
5,1,,,,,,,10,<5%;6%;7%;8%;9%;10%;11%;12%>,,,,SP.DEF increases by %s while holding it,攜帶後，特防提升%s,SP.DEF increases by %s while holding it,"Sau khi mang, Đặc Phòng tăng %s",휴대 시 특수방어 %s 증가
7,1,,,,,,,8,<5%;6%;7%;8%;9%;10%;11%;12%>,,,,SP.ATK increases by %s while holding it,攜帶後，特攻提升%s,SP.ATK increases by %s while holding it,"Sau khi mang, Đặc Công tăng %s",휴대 시 특수공격 %s 증가
9,1,,,,,,,9,<5%;6%;7%;8%;9%;10%;11%;12%>,,,,P.DEF increases by %s while holding it,攜帶後，物防提升%s,P.DEF increases by %s while holding it,"Sau khi mang, Vật Phòng tăng %s",휴대 시 방어 %s 증가
11,1,,,,,,,13,<3%;3.5%;4%;4.5%;5%;6%;7%;8%>,,,,Speed increases by %s while holding it,攜帶後，速度提升%s,Speed increases by %s while holding it,"Sau khi mang, Tốc Độ tăng %s",휴대 시 스피드 %s 증가
15,1,,,,,,,1,<8%;9%;10%;11%;12%;13%;14%;15%>,9,<4%;4.5%;5%;5.5%;6%;6.5%;7%;7.5%>,,HP increases by %s and P.DEF increases by %s while holding it,攜帶後，生命提升%s，物防提升%s,HP increases by %s and P.DEF increases by %s while holding it,"Sau khi mang, HP tăng %s, Vật Phòng tăng %s","휴대 시 HP %s 증가, 방어 %s 증가"
