变量名,costItemMap1,costItemMap2,costItemMap3,costItemMap4,costItemMap5,costItemMap6,costItemMap7,costItemMap8,costItemMap9,costItemMap10,costItemMap11,costItemMap12,costItemMap13,costItemMap14,costItemMap15,costItemMap16,costItemMap17,costItemMap18,costItemMap19,costItemMap20,costItemMap21,costItemMap22,costItemMap23,costItemMap24,costItemMap25,costItemMap26,costItemMap27,costItemMap28,costItemMap29,costItemMap30,costItemMap31,costItemMap32,costItemMap33,costItemMap34,costItemMap35,costItemMap36,costItemMap37,costItemMap38,costItemMap39,costItemMap40,costItemMap41,costItemMap42,costItemMap43,costItemMap44,costItemMap45,costItemMap46,costItemMap47,costItemMap48,costItemMap49,costItemMap50,costItemMap51,costItemMap52,costItemMap53,costItemMap54,costItemMap55,costItemMap56,costItemMap57,costItemMap58,costItemMap59,costItemMap60,costItemMap61,costItemMap62
默认值,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
进阶阶段,突破消耗1,突破消耗2,突破消耗3,突破消耗4,突破消耗5,突破消耗6,突破消耗7,突破消耗8,突破消耗9,突破消耗10,突破消耗11,突破消耗12,突破消耗13,突破消耗14,突破消耗15,突破消耗16,突破消耗17,突破消耗18,突破消耗19,突破消耗20,突破消耗21,突破消耗22,突破消耗23,突破消耗24,突破消耗25,突破消耗26,突破消耗27,突破消耗28,突破消耗29,突破消耗30,突破消耗31,突破消耗32,突破消耗33,突破消耗34,突破消耗35,突破消耗36,突破消耗37,突破消耗38,突破消耗39,突破消耗40,突破消耗41,突破消耗42,突破消耗43,突破消耗44,突破消耗45,突破消耗46,突破消耗47,突破消耗48,突破消耗49,突破消耗50,突破消耗51,突破消耗52,突破消耗53,突破消耗54,突破消耗55,突破消耗56,突破消耗57,突破消耗58,突破消耗59,突破消耗60,突破消耗61,突破消耗62
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,{30101=1;},{30102=1;},{30103=1;},{30104=1;},{30105=1;},{30106=1;},{30201=1;},{30202=1;},{30203=1;},{30204=1;},{30205=1;},{30206=1;},{30207=1;},{30208=1;},{30209=1;},{30301=1;},{30302=1;},{30303=1;},{30304=1;},{30305=1;},{30306=1;},{30307=1;},{30308=1;},{30309=1;},{30310=1;},{30311=1;},{30312=1;},{30313=1;},{30314=1;},{30315=1;},{30316=1;},{30317=1;},{30401=1;},{30402=1;},{30403=1;},{30404=1;},{30405=1;},{30406=1;},{30407=1;},{30408=1;},{30409=1;},{30410=1;},{31201=1;},{31202=1;},{31301=1;},{30318=1;},{30411=1;},{30412=1;},{30413=1;},{30414=1;},{30415=1;},{30416=1;},{30417=1;},{30319=1;},{30418=1;},{30419=1;},{30420=1;},{30421=1;},{30422=1;},{30423=1;},{30424=1;},{30425=1;}
1,{30101=2;},{30102=2;},{30103=2;},{30104=2;},{30105=2;},{30106=2;},{30201=2;},{30202=2;},{30203=2;},{30204=2;},{30205=2;},{30206=2;},{30207=2;},{30208=2;},{30209=2;},{30301=1;},{30302=1;},{30303=1;},{30304=1;},{30305=1;},{30306=1;},{30307=1;},{30308=1;},{30309=1;},{30310=1;},{30311=1;},{30312=1;},{30313=1;},{30314=1;},{30315=1;},{30316=1;},{30317=1;},{30401=1;},{30402=1;},{30403=1;},{30404=1;},{30405=1;},{30406=1;},{30407=1;},{30408=1;},{30409=1;},{30410=1;},{31201=2;},{31202=2;},{31301=1;},{30318=1;},{30411=1;},{30412=1;},{30413=1;},{30414=1;},{30415=1;},{30416=1;},{30417=1;},{30319=1;},{30418=1;},{30419=1;},{30420=1;},{30421=1;},{30422=1;},{30423=1;},{30424=1;},{30425=1;}
2,{30101=3;},{30102=3;},{30103=3;},{30104=3;},{30105=3;},{30106=3;},{30201=2;},{30202=2;},{30203=2;},{30204=2;},{30205=2;},{30206=2;},{30207=2;},{30208=2;},{30209=2;},{30301=2;},{30302=2;},{30303=2;},{30304=2;},{30305=2;},{30306=2;},{30307=2;},{30308=2;},{30309=2;},{30310=2;},{30311=2;},{30312=2;},{30313=2;},{30314=2;},{30315=2;},{30316=2;},{30317=2;},{30401=1;},{30402=1;},{30403=1;},{30404=1;},{30405=1;},{30406=1;},{30407=1;},{30408=1;},{30409=1;},{30410=1;},{31201=2;},{31202=2;},{31301=2;},{30318=2;},{30411=1;},{30412=1;},{30413=1;},{30414=1;},{30415=1;},{30416=1;},{30417=1;},{30319=2;},{30418=1;},{30419=1;},{30420=1;},{30421=1;},{30422=1;},{30423=1;},{30424=1;},{30425=1;}
3,{30101=4;},{30102=4;},{30103=4;},{30104=4;},{30105=4;},{30106=4;},{30201=3;},{30202=3;},{30203=3;},{30204=3;},{30205=3;},{30206=3;},{30207=3;},{30208=3;},{30209=3;},{30301=2;},{30302=2;},{30303=2;},{30304=2;},{30305=2;},{30306=2;},{30307=2;},{30308=2;},{30309=2;},{30310=2;},{30311=2;},{30312=2;},{30313=2;},{30314=2;},{30315=2;},{30316=2;},{30317=2;},{30401=2;},{30402=2;},{30403=2;},{30404=2;},{30405=2;},{30406=2;},{30407=2;},{30408=2;},{30409=2;},{30410=2;},{31201=3;},{31202=3;},{31301=2;},{30318=2;},{30411=2;},{30412=2;},{30413=2;},{30414=2;},{30415=2;},{30416=2;},{30417=2;},{30319=2;},{30418=2;},{30419=2;},{30420=2;},{30421=2;},{30422=2;},{30423=2;},{30424=2;},{30425=2;}
4,{30101=5;},{30102=5;},{30103=5;},{30104=5;},{30105=5;},{30106=5;},{30201=4;},{30202=4;},{30203=4;},{30204=4;},{30205=4;},{30206=4;},{30207=4;},{30208=4;},{30209=4;},{30301=3;},{30302=3;},{30303=3;},{30304=3;},{30305=3;},{30306=3;},{30307=3;},{30308=3;},{30309=3;},{30310=3;},{30311=3;},{30312=3;},{30313=3;},{30314=3;},{30315=3;},{30316=3;},{30317=3;},{30401=2;},{30402=2;},{30403=2;},{30404=2;},{30405=2;},{30406=2;},{30407=2;},{30408=2;},{30409=2;},{30410=2;},{31201=4;},{31202=4;},{31301=3;},{30318=3;},{30411=2;},{30412=2;},{30413=2;},{30414=2;},{30415=2;},{30416=2;},{30417=2;},{30319=3;},{30418=2;},{30419=2;},{30420=2;},{30421=2;},{30422=2;},{30423=2;},{30424=2;},{30425=2;}
5,{30101=6;},{30102=6;},{30103=6;},{30104=6;},{30105=6;},{30106=6;},{30201=4;},{30202=4;},{30203=4;},{30204=4;},{30205=4;},{30206=4;},{30207=4;},{30208=4;},{30209=4;},{30301=3;},{30302=3;},{30303=3;},{30304=3;},{30305=3;},{30306=3;},{30307=3;},{30308=3;},{30309=3;},{30310=3;},{30311=3;},{30312=3;},{30313=3;},{30314=3;},{30315=3;},{30316=3;},{30317=3;},{30401=2;},{30402=2;},{30403=2;},{30404=2;},{30405=2;},{30406=2;},{30407=2;},{30408=2;},{30409=2;},{30410=2;},{31201=4;},{31202=4;},{31301=3;},{30318=3;},{30411=2;},{30412=2;},{30413=2;},{30414=2;},{30415=2;},{30416=2;},{30417=2;},{30319=3;},{30418=2;},{30419=2;},{30420=2;},{30421=2;},{30422=2;},{30423=2;},{30424=2;},{30425=2;}
6,{30101=7;},{30102=7;},{30103=7;},{30104=7;},{30105=7;},{30106=7;},{30201=5;},{30202=5;},{30203=5;},{30204=5;},{30205=5;},{30206=5;},{30207=5;},{30208=5;},{30209=5;},{30301=4;},{30302=4;},{30303=4;},{30304=4;},{30305=4;},{30306=4;},{30307=4;},{30308=4;},{30309=4;},{30310=4;},{30311=4;},{30312=4;},{30313=4;},{30314=4;},{30315=4;},{30316=4;},{30317=4;},{30401=3;},{30402=3;},{30403=3;},{30404=3;},{30405=3;},{30406=3;},{30407=3;},{30408=3;},{30409=3;},{30410=3;},{31201=5;},{31202=5;},{31301=4;},{30318=4;},{30411=3;},{30412=3;},{30413=3;},{30414=3;},{30415=3;},{30416=3;},{30417=3;},{30319=4;},{30418=3;},{30419=3;},{30420=3;},{30421=3;},{30422=3;},{30423=3;},{30424=3;},{30425=3;}
7,{30101=8;},{30102=8;},{30103=8;},{30104=8;},{30105=8;},{30106=8;},{30201=5;},{30202=5;},{30203=5;},{30204=5;},{30205=5;},{30206=5;},{30207=5;},{30208=5;},{30209=5;},{30301=4;},{30302=4;},{30303=4;},{30304=4;},{30305=4;},{30306=4;},{30307=4;},{30308=4;},{30309=4;},{30310=4;},{30311=4;},{30312=4;},{30313=4;},{30314=4;},{30315=4;},{30316=4;},{30317=4;},{30401=3;},{30402=3;},{30403=3;},{30404=3;},{30405=3;},{30406=3;},{30407=3;},{30408=3;},{30409=3;},{30410=3;},{31201=5;},{31202=5;},{31301=4;},{30318=4;},{30411=3;},{30412=3;},{30413=3;},{30414=3;},{30415=3;},{30416=3;},{30417=3;},{30319=4;},{30418=3;},{30419=3;},{30420=3;},{30421=3;},{30422=3;},{30423=3;},{30424=3;},{30425=3;}
8,{30101=9;},{30102=9;},{30103=9;},{30104=9;},{30105=9;},{30106=9;},{30201=5;},{30202=5;},{30203=5;},{30204=5;},{30205=5;},{30206=5;},{30207=5;},{30208=5;},{30209=5;},{30301=5;},{30302=5;},{30303=5;},{30304=5;},{30305=5;},{30306=5;},{30307=5;},{30308=5;},{30309=5;},{30310=5;},{30311=5;},{30312=5;},{30313=5;},{30314=5;},{30315=5;},{30316=5;},{30317=5;},{30401=4;},{30402=4;},{30403=4;},{30404=4;},{30405=4;},{30406=4;},{30407=4;},{30408=4;},{30409=4;},{30410=4;},{31201=5;},{31202=5;},{31301=5;},{30318=5;},{30411=4;},{30412=4;},{30413=4;},{30414=4;},{30415=4;},{30416=4;},{30417=4;},{30319=5;},{30418=4;},{30419=4;},{30420=4;},{30421=4;},{30422=4;},{30423=4;},{30424=4;},{30425=4;}
9,{30101=9;},{30102=9;},{30103=9;},{30104=9;},{30105=9;},{30106=9;},{30201=6;},{30202=6;},{30203=6;},{30204=6;},{30205=6;},{30206=6;},{30207=6;},{30208=6;},{30209=6;},{30301=5;},{30302=5;},{30303=5;},{30304=5;},{30305=5;},{30306=5;},{30307=5;},{30308=5;},{30309=5;},{30310=5;},{30311=5;},{30312=5;},{30313=5;},{30314=5;},{30315=5;},{30316=5;},{30317=5;},{30401=4;},{30402=4;},{30403=4;},{30404=4;},{30405=4;},{30406=4;},{30407=4;},{30408=4;},{30409=4;},{30410=4;},{31201=6;},{31202=6;},{31301=5;},{30318=5;},{30411=4;},{30412=4;},{30413=4;},{30414=4;},{30415=4;},{30416=4;},{30417=4;},{30319=5;},{30418=4;},{30419=4;},{30420=4;},{30421=4;},{30422=4;},{30423=4;},{30424=4;},{30425=4;}
