变量名,levelRange,weights
默认值,<1;100>,{}
序号,等级范围(左闭右闭),品质权值
1,<1;29>,{1=100;2=100;3=100;4=40;5=20;}
2,<30;35>,{1=100;2=100;3=100;4=40;5=20;}
3,<36;41>,{1=100;2=115;3=110;4=48;5=24;}
4,<42;47>,{1=100;2=115;3=110;4=48;5=24;}
5,<48;53>,{1=100;2=130;3=120;4=56;5=28;}
6,<54;59>,{1=100;2=130;3=120;4=56;5=28;}
7,<60;65>,{1=100;2=145;3=130;4=64;5=32;}
8,<66;71>,{1=100;2=145;3=130;4=64;5=32;}
9,<72;77>,{1=100;2=160;3=140;4=72;5=36;}
10,<78;83>,{1=100;2=160;3=140;4=72;5=36;}
11,<84;89>,{1=100;2=175;3=150;4=80;5=40;}
12,<90;95>,{1=100;2=175;3=150;4=80;5=40;}
13,<96;101>,{1=100;2=190;3=160;4=88;5=44;}
14,<102;107>,{1=100;2=190;3=160;4=88;5=44;}
15,<108;113>,{1=100;2=205;3=170;4=96;5=48;}
