变量名,exp,attrType1,attrNum1,attrType2,attrNum2,attrType3,attrNum3,attrType4,attrNum4,attrType5,attrNum5,attrType6,attrNum6
默认值,0,0,"""""",0,"""""",0,"""""",0,"""""",0,"""""",0,""""""
ID,升至行对应等级经验值,属性类型1,属性数值1,属性类型2,属性数值2,属性类型3,属性数值3,属性类型4,属性数值4,属性类型5,属性数值5,属性类型6,属性数值6
1,3200,1,1%,13,1%,7,1%,8,1%,9,1%,10,1%
2,9600,92,100,93,100,,,,,,,,
3,16000,1,1%,13,1%,7,1%,8,1%,9,1%,10,1%
4,28800,92,100,93,100,,,,,,,,
5,41600,1,1%,13,1%,7,1%,8,1%,9,1%,10,1%
6,54400,92,100,93,100,,,,,,,,
7,67200,1,1%,13,1%,7,1%,8,1%,9,1%,10,1%
8,80000,92,100,93,100,,,,,,,,
9,92800,1,1%,13,1%,7,1%,8,1%,9,1%,10,1%
10,112000,92,100,93,100,,,,,,,,
11,131200,1,1%,13,1%,7,1%,8,1%,9,1%,10,1%
12,150400,92,100,93,100,,,,,,,,
13,169600,1,1%,13,1%,7,1%,8,1%,9,1%,10,1%
14,188800,92,100,93,100,,,,,,,,
15,208000,1,1%,13,1%,7,1%,8,1%,9,1%,10,1%
,227200,1,1%,13,1%,7,1%,8,1%,9,1%,10,1%
,246400,1,1%,13,1%,7,1%,8,1%,9,1%,10,1%
,265600,1,1%,13,1%,7,1%,8,1%,9,1%,10,1%
,284800,1,1%,13,1%,7,1%,8,1%,9,1%,10,1%
,304000,1,1%,13,1%,7,1%,8,1%,9,1%,10,1%
,323200,1,2%,13,2%,7,2%,8,2%,9,2%,10,2%
,342400,1,2%,13,2%,7,2%,8,2%,9,2%,10,2%
,361600,1,2%,13,2%,7,2%,8,2%,9,2%,10,2%
,380800,1,2%,13,2%,7,2%,8,2%,9,2%,10,2%
,400000,1,2%,13,2%,7,2%,8,2%,9,2%,10,2%
,419200,1,2%,13,2%,7,2%,8,2%,9,2%,10,2%
,438400,1,2%,13,2%,7,2%,8,2%,9,2%,10,2%
,457600,1,2%,13,2%,7,2%,8,2%,9,2%,10,2%
,476800,1,2%,13,2%,7,2%,8,2%,9,2%,10,2%
,496000,1,2%,13,2%,7,2%,8,2%,9,2%,10,2%
,515200,1,2%,13,2%,7,2%,8,2%,9,2%,10,2%
,534400,1,2%,13,2%,7,2%,8,2%,9,2%,10,2%
,553600,1,2%,13,2%,7,2%,8,2%,9,2%,10,2%
,572800,1,2%,13,2%,7,2%,8,2%,9,2%,10,2%
,592000,1,2%,13,2%,7,2%,8,2%,9,2%,10,2%
,611200,1,2%,13,2%,7,2%,8,2%,9,2%,10,2%
,630400,1,2%,13,2%,7,2%,8,2%,9,2%,10,2%
,649600,1,2%,13,2%,7,2%,8,2%,9,2%,10,2%
,668800,1,2%,13,2%,7,2%,8,2%,9,2%,10,2%
,688000,1,2%,13,2%,7,2%,8,2%,9,2%,10,2%
,707200,1,2%,13,2%,7,2%,8,2%,9,2%,10,2%
,726400,1,2%,13,2%,7,2%,8,2%,9,2%,10,2%
,745600,1,2%,13,2%,7,2%,8,2%,9,2%,10,2%
,764800,1,2%,13,2%,7,2%,8,2%,9,2%,10,2%
,784000,1,2%,13,2%,7,2%,8,2%,9,2%,10,2%
,803200,1,2%,13,2%,7,2%,8,2%,9,2%,10,2%
,822400,1,2%,13,2%,7,2%,8,2%,9,2%,10,2%
,841600,1,2%,13,2%,7,2%,8,2%,9,2%,10,2%
,860800,1,2%,13,2%,7,2%,8,2%,9,2%,10,2%
,880000,1,2%,13,2%,7,2%,8,2%,9,2%,10,2%
