变量名,isOpen,openCondition,openParam,openCost
默认值,FALSE,1,0,{}
ID,是否开启,开启条件(1觉醒等级2待扩展),开启参数(空默认开启),开启消耗
11,TRUE,,,
12,TRUE,,,
13,TRUE,1,3,{rmb=200}
14,TRUE,1,6,{rmb=500}
15,TRUE,1,9,{rmb=800}
16,FALSE,1,12,{rmb=1200}
21,TRUE,,,
22,TRUE,,,
23,TRUE,1,3,{rmb=200}
24,TRUE,1,6,{rmb=500}
25,TRUE,1,9,{rmb=800}
26,FALSE,1,12,{rmb=1200}
31,TRUE,,,
32,TRUE,,,
33,TRUE,1,3,{rmb=200}
34,TRUE,1,6,{rmb=500}
35,TRUE,1,9,{rmb=800}
36,FALSE,1,12,{rmb=1200}
41,TRUE,,,
42,TRUE,,,
43,TRUE,1,3,{rmb=200}
44,TRUE,1,6,{rmb=500}
45,TRUE,1,9,{rmb=800}
46,FALSE,1,12,{rmb=1200}
51,TRUE,,,
52,TRUE,,,
53,TRUE,1,3,{rmb=200}
54,TRUE,1,6,{rmb=500}
55,TRUE,1,9,{rmb=800}
56,FALSE,1,12,{rmb=1200}
61,TRUE,,,
62,TRUE,,,
63,TRUE,1,3,{rmb=200}
64,TRUE,1,6,{rmb=500}
65,TRUE,1,9,{rmb=800}
66,FALSE,1,12,{rmb=1200}
71,TRUE,,,
72,TRUE,,,
73,TRUE,1,3,{rmb=200}
74,TRUE,1,6,{rmb=500}
75,TRUE,1,9,{rmb=800}
76,FALSE,1,12,{rmb=1200}
81,TRUE,,,
82,TRUE,,,
83,TRUE,1,3,{rmb=200}
84,TRUE,1,6,{rmb=500}
85,TRUE,1,9,{rmb=800}
86,FALSE,1,12,{rmb=1200}
