变量名,costItemMap1,costItemMap2,costItemMap3,costItemMap4,costItemMap5,costItemMap6,costItemMap7,costItemMap8,costItemMap9,costItemMap10,costItemMap11,costItemMap12,costItemMap13,costItemMap14,costItemMap15,costItemMap16,costItemMap17,costItemMap18,costItemMap19,costItemMap20,costItemMap21,costItemMap22,costItemMap23,costItemMap24,costItemMap25,costItemMap26,costItemMap27,costItemMap28,costItemMap29,costItemMap30,costItemMap31,costItemMap32,costItemMap33,costItemMap34,costItemMap35,costItemMap36,costItemMap37,costItemMap38,costItemMap39,costItemMap40
默认值,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
ID,升级消耗序列1,升级消耗序列2,升级消耗序列3,升级消耗序列4,升级消耗序列5,升级消耗序列6,升级消耗序列7,升级消耗序列8,升级消耗序列9,升级消耗序列10,升级消耗序列11,升级消耗序列12,升级消耗序列13,升级消耗序列14,升级消耗序列15,升级消耗序列16,升级消耗序列17,升级消耗序列18,升级消耗序列19,升级消耗序列20,升级消耗序列21,升级消耗序列22,升级消耗序列23,升级消耗序列24,升级消耗序列25,升级消耗序列26,升级消耗序列27,升级消耗序列28,升级消耗序列29,升级消耗序列30,升级消耗序列31,升级消耗序列32,升级消耗序列33,升级消耗序列34,升级消耗序列35,升级消耗序列36,升级消耗序列37,升级消耗序列38,升级消耗序列39,升级消耗序列40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,{4011=1;},{4012=1;},{4013=1;},{4021=1;},{4022=1;},{4023=1;},{4031=1;},{4032=1;},{4033=1;},{4034=1;},{4041=1;},{4042=1;},{4043=1;},{4044=1;},{4051=1;},{4052=1;},{4053=1;},{4054=1;},{4061=1;},{4062=1;},{4063=1;},{4064=1;},{4065=1;},{4071=1;},{4072=1;},{4073=1;},{4074=1;},{4075=1;},{4081=1;},{4082=1;},{4083=1;},{4084=1;},{4085=1;},{4086=1;},{4091=1;},{4092=1;},{4093=1;},{4094=1;},{4095=1;},{4096=1;}
2,{4011=1;4000=10},{4012=1;4000=10},{4013=1;4000=10},{4021=1;4000=10},{4022=1;4000=10},{4023=1;4000=10},{4031=1;4000=20},{4032=1;4000=20},{4033=1;4000=20},{4034=1;4000=20},{4041=1;4000=20},{4042=1;4000=20},{4043=1;4000=20},{4044=1;4000=20},{4051=1;4000=20},{4052=1;4000=20},{4053=1;4000=20},{4054=1;4000=20},{4061=1;4000=35},{4062=1;4000=35},{4063=1;4000=35},{4064=1;4000=35},{4065=1;4000=35},{4071=1;4000=35},{4072=1;4000=35},{4073=1;4000=35},{4074=1;4000=35},{4075=1;4000=35},{4081=1;4000=60},{4082=1;4000=60},{4083=1;4000=60},{4084=1;4000=60},{4085=1;4000=60},{4086=1;4000=60},{4091=1;4000=60},{4092=1;4000=60},{4093=1;4000=60},{4094=1;4000=60},{4095=1;4000=60},{4096=1;4000=60}
3,{4011=1;4000=20},{4012=1;4000=20},{4013=1;4000=20},{4021=1;4000=20},{4022=1;4000=20},{4023=1;4000=20},{4031=1;4000=40},{4032=1;4000=40},{4033=1;4000=40},{4034=1;4000=40},{4041=1;4000=40},{4042=1;4000=40},{4043=1;4000=40},{4044=1;4000=40},{4051=1;4000=40},{4052=1;4000=40},{4053=1;4000=40},{4054=1;4000=40},{4061=1;4000=70},{4062=1;4000=70},{4063=1;4000=70},{4064=1;4000=70},{4065=1;4000=70},{4071=1;4000=70},{4072=1;4000=70},{4073=1;4000=70},{4074=1;4000=70},{4075=1;4000=70},{4081=1;4000=120},{4082=1;4000=120},{4083=1;4000=120},{4084=1;4000=120},{4085=1;4000=120},{4086=1;4000=120},{4091=1;4000=120},{4092=1;4000=120},{4093=1;4000=120},{4094=1;4000=120},{4095=1;4000=120},{4096=1;4000=120}
4,{4011=2;4000=30},{4012=2;4000=30},{4013=2;4000=30},{4021=2;4000=30},{4022=2;4000=30},{4023=2;4000=30},{4031=2;4000=60},{4032=2;4000=60},{4033=2;4000=60},{4034=2;4000=60},{4041=2;4000=60},{4042=2;4000=60},{4043=2;4000=60},{4044=2;4000=60},{4051=2;4000=60},{4052=2;4000=60},{4053=2;4000=60},{4054=2;4000=60},{4061=2;4000=105},{4062=2;4000=105},{4063=2;4000=105},{4064=2;4000=105},{4065=2;4000=105},{4071=2;4000=105},{4072=2;4000=105},{4073=2;4000=105},{4074=2;4000=105},{4075=2;4000=105},{4081=2;4000=180},{4082=2;4000=180},{4083=2;4000=180},{4084=2;4000=180},{4085=2;4000=180},{4086=2;4000=180},{4091=2;4000=180},{4092=2;4000=180},{4093=2;4000=180},{4094=2;4000=180},{4095=2;4000=180},{4096=2;4000=180}
5,{4011=2;4000=40},{4012=2;4000=40},{4013=2;4000=40},{4021=2;4000=40},{4022=2;4000=40},{4023=2;4000=40},{4031=2;4000=80},{4032=2;4000=80},{4033=2;4000=80},{4034=2;4000=80},{4041=2;4000=80},{4042=2;4000=80},{4043=2;4000=80},{4044=2;4000=80},{4051=2;4000=80},{4052=2;4000=80},{4053=2;4000=80},{4054=2;4000=80},{4061=2;4000=140},{4062=2;4000=140},{4063=2;4000=140},{4064=2;4000=140},{4065=2;4000=140},{4071=2;4000=140},{4072=2;4000=140},{4073=2;4000=140},{4074=2;4000=140},{4075=2;4000=140},{4081=2;4000=240},{4082=2;4000=240},{4083=2;4000=240},{4084=2;4000=240},{4085=2;4000=240},{4086=2;4000=240},{4091=2;4000=240},{4092=2;4000=240},{4093=2;4000=240},{4094=2;4000=240},{4095=2;4000=240},{4096=2;4000=240}
6,{4011=2;4000=50},{4012=2;4000=50},{4013=2;4000=50},{4021=2;4000=50},{4022=2;4000=50},{4023=2;4000=50},{4031=2;4000=100},{4032=2;4000=100},{4033=2;4000=100},{4034=2;4000=100},{4041=2;4000=100},{4042=2;4000=100},{4043=2;4000=100},{4044=2;4000=100},{4051=2;4000=100},{4052=2;4000=100},{4053=2;4000=100},{4054=2;4000=100},{4061=2;4000=175},{4062=2;4000=175},{4063=2;4000=175},{4064=2;4000=175},{4065=2;4000=175},{4071=2;4000=175},{4072=2;4000=175},{4073=2;4000=175},{4074=2;4000=175},{4075=2;4000=175},{4081=2;4000=300},{4082=2;4000=300},{4083=2;4000=300},{4084=2;4000=300},{4085=2;4000=300},{4086=2;4000=300},{4091=2;4000=300},{4092=2;4000=300},{4093=2;4000=300},{4094=2;4000=300},{4095=2;4000=300},{4096=2;4000=300}
7,{4011=3;4000=70},{4012=3;4000=70},{4013=3;4000=70},{4021=3;4000=70},{4022=3;4000=70},{4023=3;4000=70},{4031=3;4000=140},{4032=3;4000=140},{4033=3;4000=140},{4034=3;4000=140},{4041=3;4000=140},{4042=3;4000=140},{4043=3;4000=140},{4044=3;4000=140},{4051=3;4000=140},{4052=3;4000=140},{4053=3;4000=140},{4054=3;4000=140},{4061=3;4000=245},{4062=3;4000=245},{4063=3;4000=245},{4064=3;4000=245},{4065=3;4000=245},{4071=3;4000=245},{4072=3;4000=245},{4073=3;4000=245},{4074=3;4000=245},{4075=3;4000=245},{4081=2;4000=420},{4082=2;4000=420},{4083=2;4000=420},{4084=2;4000=420},{4085=2;4000=420},{4086=2;4000=420},{4091=2;4000=420},{4092=2;4000=420},{4093=2;4000=420},{4094=2;4000=420},{4095=2;4000=420},{4096=2;4000=420}
8,{4011=3;4000=90},{4012=3;4000=90},{4013=3;4000=90},{4021=3;4000=90},{4022=3;4000=90},{4023=3;4000=90},{4031=3;4000=180},{4032=3;4000=180},{4033=3;4000=180},{4034=3;4000=180},{4041=3;4000=180},{4042=3;4000=180},{4043=3;4000=180},{4044=3;4000=180},{4051=3;4000=180},{4052=3;4000=180},{4053=3;4000=180},{4054=3;4000=180},{4061=3;4000=315},{4062=3;4000=315},{4063=3;4000=315},{4064=3;4000=315},{4065=3;4000=315},{4071=3;4000=315},{4072=3;4000=315},{4073=3;4000=315},{4074=3;4000=315},{4075=3;4000=315},{4081=2;4000=540},{4082=2;4000=540},{4083=2;4000=540},{4084=2;4000=540},{4085=2;4000=540},{4086=2;4000=540},{4091=2;4000=540},{4092=2;4000=540},{4093=2;4000=540},{4094=2;4000=540},{4095=2;4000=540},{4096=2;4000=540}
9,{4011=3;4000=115},{4012=3;4000=115},{4013=3;4000=115},{4021=3;4000=115},{4022=3;4000=115},{4023=3;4000=115},{4031=3;4000=230},{4032=3;4000=230},{4033=3;4000=230},{4034=3;4000=230},{4041=3;4000=230},{4042=3;4000=230},{4043=3;4000=230},{4044=3;4000=230},{4051=3;4000=230},{4052=3;4000=230},{4053=3;4000=230},{4054=3;4000=230},{4061=3;4000=405},{4062=3;4000=405},{4063=3;4000=405},{4064=3;4000=405},{4065=3;4000=405},{4071=3;4000=405},{4072=3;4000=405},{4073=3;4000=405},{4074=3;4000=405},{4075=3;4000=405},{4081=2;4000=690},{4082=2;4000=690},{4083=2;4000=690},{4084=2;4000=690},{4085=2;4000=690},{4086=2;4000=690},{4091=2;4000=690},{4092=2;4000=690},{4093=2;4000=690},{4094=2;4000=690},{4095=2;4000=690},{4096=2;4000=690}
10,{4011=4;4000=145},{4012=4;4000=145},{4013=4;4000=145},{4021=4;4000=145},{4022=4;4000=145},{4023=4;4000=145},{4031=4;4000=290},{4032=4;4000=290},{4033=4;4000=290},{4034=4;4000=290},{4041=4;4000=290},{4042=4;4000=290},{4043=4;4000=290},{4044=4;4000=290},{4051=4;4000=290},{4052=4;4000=290},{4053=4;4000=290},{4054=4;4000=290},{4061=4;4000=510},{4062=4;4000=510},{4063=4;4000=510},{4064=4;4000=510},{4065=4;4000=510},{4071=4;4000=510},{4072=4;4000=510},{4073=4;4000=510},{4074=4;4000=510},{4075=4;4000=510},{4081=3;4000=870},{4082=3;4000=870},{4083=3;4000=870},{4084=3;4000=870},{4085=3;4000=870},{4086=3;4000=870},{4091=3;4000=870},{4092=3;4000=870},{4093=3;4000=870},{4094=3;4000=870},{4095=3;4000=870},{4096=3;4000=870}
11,{4011=4;4000=185},{4012=4;4000=185},{4013=4;4000=185},{4021=4;4000=185},{4022=4;4000=185},{4023=4;4000=185},{4031=4;4000=370},{4032=4;4000=370},{4033=4;4000=370},{4034=4;4000=370},{4041=4;4000=370},{4042=4;4000=370},{4043=4;4000=370},{4044=4;4000=370},{4051=4;4000=370},{4052=4;4000=370},{4053=4;4000=370},{4054=4;4000=370},{4061=4;4000=650},{4062=4;4000=650},{4063=4;4000=650},{4064=4;4000=650},{4065=4;4000=650},{4071=4;4000=650},{4072=4;4000=650},{4073=4;4000=650},{4074=4;4000=650},{4075=4;4000=650},{4081=3;4000=1110},{4082=3;4000=1110},{4083=3;4000=1110},{4084=3;4000=1110},{4085=3;4000=1110},{4086=3;4000=1110},{4091=3;4000=1110},{4092=3;4000=1110},{4093=3;4000=1110},{4094=3;4000=1110},{4095=3;4000=1110},{4096=3;4000=1110}
