变量名,costItemMap1,costItemMap2,costItemMap3,costItemMap4,costItemMap5,costItemMap6
默认值,{},{},{},{},{},{}
ID,进阶消耗序列1,进阶消耗序列2,进阶消耗序列3,进阶消耗序列4,进阶消耗序列5,进阶消耗序列6
,,,,,,
1,{4000=20},{4000=20},{4000=50},{4000=105},{4000=240},{4000=240}
2,{4000=20},{4000=20},{4000=50},{4000=105},{4000=240},{4000=240}
3,{4000=40},{4000=40},{4000=100},{4000=210},{4000=480},{4000=480}
4,{4000=60},{4000=60},{4000=150},{4000=315},{4000=720},{4000=720}
5,{4000=80},{4000=80},{4000=200},{4000=420},{4000=960},{4000=960}
6,{4000=100},{4000=100},{4000=250},{4000=525},{4000=1200},{4000=1200}
7,{4000=140},{4000=140},{4000=350},{4000=735},{4000=1680},{4000=1680}
8,{4000=180},{4000=180},{4000=450},{4000=945},{4000=2160},{4000=2160}
9,{4000=230},{4000=230},{4000=575},{4000=1215},{4000=2760},{4000=2760}
10,{4000=290},{4000=290},{4000=725},{4000=1530},{4000=3480},{4000=3480}
11,{4000=370},{4000=370},{4000=925},{4000=1950},{4000=4440},{4000=4440}
12,{4000=460},{4000=460},{4000=1150},{4000=2415},{4000=5520},{4000=5520}
13,{4000=560},{4000=560},{4000=1400},{4000=2940},{4000=6720},{4000=6720}
14,{4000=670},{4000=670},{4000=1675},{4000=3525},{4000=8040},{4000=8040}
15,{4000=790},{4000=790},{4000=1975},{4000=4155},{4000=9480},{4000=9480}
16,{4000=940},{4000=940},{4000=2325},{4000=4890},{4000=11070},{4000=11070}
17,{4000=1090},{4000=1090},{4000=2675},{4000=5625},{4000=12660},{4000=12660}
18,{4000=1240},{4000=1240},{4000=3025},{4000=6360},{4000=14250},{4000=14250}
19,{4000=1390},{4000=1390},{4000=3375},{4000=7095},{4000=15840},{4000=15840}
20,{4000=1540},{4000=1540},{4000=3725},{4000=7830},{4000=17430},{4000=17430}
