变量名,gateID,extraVersion,_beizhu,itemMap,count,probability,probability_tw,probability_kr,itemCount
默认值,,,,{},1,0,0,0,1
掉落ID,关卡ID,额外配置的版本（yyhuodong用）,掉落物品名称,随机掉落物品ID权值数量,掉落次数,掉落物品概率,tw掉落物品概率,tw掉落物品概率,掉落道具数量
1,10101,2,(Random drop from common levels in mobile games) (Normal 1-01) (Normal levels),{6349=100},1,30,30,30,
2,10102,2,(Random drop from normal levels in mobile games) (Normal 1-02) (Normal levels),{6349=100},1,30,30,30,
3,10103,2,(Normal level of mobile game drops randomly) (Normal 1-03) (Normal level),{6349=100},1,30,30,30,
4,10104,2,(Random drop from common levels in mobile games) (Normal 1-04) (Normal levels),{6349=100},1,30,30,30,
5,10105,2,(Random drop from common levels in mobile games) (Normal 1-05) (Normal levels),{6349=100},1,30,30,30,
6,10201,2,(Random drop from common levels in mobile games) (Normal 2-01) (Normal levels),{6349=100},1,30,30,30,
7,10202,2,(Random drop from ordinary levels in mobile games) (Normal 2-02) (Normal levels),{6349=100},1,30,30,30,
8,10203,2,(Normal level of mobile game drops randomly) (Normal 2-03) (Normal level),{6349=100},1,30,30,30,
9,10204,2,(Normal level of mobile game drops randomly) (Normal 2-04) (Normal level),{6349=100},1,30,30,30,
10,10205,2,(Normal levels of mobile games drop randomly) (Normal 2-05) (Normal levels),{6349=100},1,30,30,30,
11,10206,2,(Random drop from normal levels in mobile games) (Normal 2-06) (Normal levels),{6349=100},1,30,30,30,
12,10301,2,(Random drop from common levels in mobile games) (Normal 3-01) (Normal levels),{6349=100},1,30,30,30,
13,10302,2,(Random drop from normal levels in mobile games) (Normal 3-02) (Normal levels),{6349=100},1,30,30,30,
14,10303,2,(Random drop from normal levels in mobile games) (Normal 3-03) (Normal levels),{6349=100},1,30,30,30,
15,10304,2,(Normal level of mobile game drops randomly) (Normal 3-04) (Normal level),{6349=100},1,30,30,30,
16,10305,2,(Random drop from normal levels in mobile games) (Normal 3-05) (Normal levels),{6349=100},1,30,30,30,
17,10306,2,(Random drop from ordinary levels in mobile games) (Normal 3-06) (Normal levels),{6349=100},1,30,30,30,
18,10307,2,(Random drop from normal levels in mobile games) (Normal 3-07) (Normal levels),{6349=100},1,30,30,30,
19,10308,2,(Random drop from normal levels in mobile games) (Normal 3-08) (Normal levels),{6349=100},1,30,30,30,
20,10401,2,(Random drop from ordinary levels in mobile games) (Normal 4-01) (Normal levels),{6349=100},1,30,30,30,
21,10402,2,(Normal levels of mobile games drop randomly) (Normal 4-02) (Normal levels),{6349=100},1,30,30,30,
22,10403,2,(Normal level of mobile game drops randomly) (Normal 4-03) (Normal level),{6349=100},1,30,30,30,
23,10404,2,(Normal level of mobile game drops randomly) (Normal 4-04) (Normal level),{6349=100},1,30,30,30,
24,10405,2,(Random drop from normal levels in mobile games) (Normal 4-05) (Normal levels),{6349=100},1,30,30,30,
25,10406,2,(Random drop from common levels in mobile games) (Normal 4-06) (Normal levels),{6349=100},1,30,30,30,
26,10407,2,(Random drop from normal levels in mobile games) (Normal 4-07) (Normal levels),{6349=100},1,30,30,30,
27,10408,2,(Normal levels of mobile games drop randomly) (Normal 4-08) (Normal levels),{6349=100},1,30,30,30,
28,10501,2,(Random drop from normal levels in mobile games) (Normal 5-01) (Normal levels),{6349=100},1,30,30,30,
29,10502,2,(Random drop from normal levels in mobile games) (Normal 5-02) (Normal levels),{6349=100},1,30,30,30,
30,10503,2,(Random drop from normal levels in mobile games) (Normal 5-03) (Normal levels),{6349=100},1,30,30,30,
31,10504,2,(Random drop from normal levels in mobile games) (Normal 5-04) (Normal levels),{6349=100},1,30,30,30,
32,10505,2,(Random drop from normal levels in mobile games) (Normal 5-05) (Normal levels),{6349=100},1,30,30,30,
33,10506,2,(Random drop from normal levels in mobile games) (Normal 5-06) (Normal levels),{6349=100},1,30,30,30,
34,10507,2,(Random drop from common levels in mobile games) (Normal 5-07) (Normal levels),{6349=100},1,30,30,30,
35,10508,2,(Random drop from normal levels in mobile games) (Normal 5-08) (Normal levels),{6349=100},1,30,30,30,
36,10509,2,(Random drop from normal levels in mobile games) (Normal 5-09) (Normal levels),{6349=100},1,30,30,30,
37,10510,2,(Random drop from ordinary levels in mobile games) (Normal 5-10) (Normal levels),{6349=100},1,30,30,30,
38,10601,2,(Random drop from normal levels in mobile games) (Normal 6-01) (Normal levels),{6349=100},1,30,30,30,
39,10602,2,(Random drop from normal levels in mobile games) (Normal 6-02) (Normal levels),{6349=100},1,30,30,30,
40,10603,2,(Random drop from normal levels in mobile games) (Normal 6-03) (Normal levels),{6349=100},1,30,30,30,
41,10604,2,(Random drop from normal levels in mobile games) (Normal 6-04) (Normal levels),{6349=100},1,30,30,30,
42,10605,2,(Random drop from normal levels in mobile games) (Normal 6-05) (Normal levels),{6349=100},1,30,30,30,
43,10606,2,(Random drop from common levels in mobile games) (Normal 6-06) (Normal levels),{6349=100},1,30,30,30,
44,10607,2,(Random drop from common levels in mobile games) (Normal 6-07) (Normal levels),{6349=100},1,30,30,30,
45,10608,2,(Random drop from normal levels in mobile games) (Normal 6-08) (Normal levels),{6349=100},1,30,30,30,
46,10609,2,(Random drop from normal levels in mobile games) (Normal 6-09) (Normal levels),{6349=100},1,30,30,30,
47,10610,2,(Random drop from ordinary levels in mobile games) (Normal 6-10) (Normal levels),{6349=100},1,30,30,30,
