"﻿变量名",memberMax,viceChairmanMax,levelUpContrib,taskExpMax,ContribMax,ContribSumMax,openFeature,trainingExp,dailyGift,dailyPacket1,totalCount1,dailyPacket2,totalCount2,dailyPacket3,totalCount3,skillLvMax,notice1,notice1_tw,notice1_en,notice1_kr,notice2,notice2_tw,notice2_en,notice2_kr,notice3,notice4
默认值,99,2,100,100,1000,100,<>,0,{},{},10,{},10,{},10,2,"""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
ID,公会成员上限,公会副会长上限,升级所需公会贡献,每周任务获得的经验上限,每日成员贡献上限次数,每日公会主线贡献总上限,开启功能,训练所基准经验,每日礼包,每日红包1,红包个数,每日红包2,红包个数,每日红包3,红包个数,修炼等级上限,公会升级提醒1,公会升级提醒1,公会升级提醒1,公会升级提醒1_韩,公会升级提醒2,公会升级提醒2,公会升级提醒2,公会升级提醒2_韩,公会升级提醒3,公会升级提醒4
1,30,2,6000,27920,5,15000,<training;redpacket;dailygift;contribute>,1,{gold=20000;coin3=100;13=3;21841=1},{gold=1500000},20,{rmb=300},20,{coin3=1500},20,10,,,,,解锁公会副本,解鎖公會副本,Unlock union dungeon,길드 던전 개방,,
2,31,2,12000,28760,5,15500,<fuben>,1,{gold=25000;coin3=110;13=3;21841=1},{gold=1700000},21,{rmb=320},21,{coin3=1600},21,10,Maximum membership +1 (up to 31),會員人數上限+1（達到31）,Maximum membership +1 (up to 31),회원 인원수 한도 +1(31 달성),解锁捐献中心,解鎖捐獻中心,Unlock Donation Center,기부 센터 개방,,
3,32,2,17000,29600,5,16000,<fragdonate>,1.01,{gold=30000;coin3=120;13=4;21841=1},{gold=1900000},22,{rmb=340},22,{coin3=1700},22,10,Maximum membership +1 (up to 32),會員人數上限+1（達到32）,Maximum membership +1 (up to 32),회원 인원수 한도 +1(32 달성),"解锁修炼中心, 公会战","解鎖修煉中心, 公會戰","Unlock Training Center, union fight","수련 센터 개방, 길드전 개방",,
4,33,2,30000,30440,5,16500,<unionskill;unionFight;crossunionfight>,1.01,{gold=35000;coin3=130;13=4;21841=1},{gold=2100000},23,{rmb=360},23,{coin3=1800},23,10,Maximum membership +1 (up to 33),會員人數上限+1（達到33）,Maximum membership +1 (up to 33),회원 인원수 한도 +1(33 달성),解锁精灵问答,404,404,404,,
5,34,2,48000,31280,5,17000,<unionqa>,1.02,{gold=40000;coin3=140;13=5;21841=1},{gold=2300000},24,{rmb=380},24,{coin3=1900},24,20,Maximum membership +1 (up to 34),會員人數上限+1（達到34）,Maximum membership +1 (up to 34),회원 인원수 한도 +1(34 달성),,,,,,
6,35,2,64000,32120,5,17500,,1.02,{gold=45000;coin3=150;13=5;21841=2},{gold=2500000},25,{rmb=400},25,{coin3=2000},25,20,Maximum membership +1 (up to 35),會員人數上限+1（達到35）,Maximum membership +1 (up to 35),회원 인원수 한도 +1(35 달성),,,,,,
7,36,2,92000,32960,5,18000,,1.03,{gold=50000;coin3=160;13=6;21841=2},{gold=2700000},26,{rmb=420},26,{coin3=2100},26,20,Maximum membership +1 (up to 36),會員人數上限+1（達到36）,Maximum membership +1 (up to 36),회원 인원수 한도 +1(36 달성),,,,,,
8,37,2,147000,33800,5,18500,,1.03,{gold=55000;coin3=170;13=6;21841=2},{gold=2900000},27,{rmb=440},27,{coin3=2200},27,20,Maximum membership +1 (up to 37),會員人數上限+1（達到37）,Maximum membership +1 (up to 37),회원 인원수 한도 +1(37 달성),,,,,,
9,38,2,230000,34640,5,19000,,1.04,{gold=60000;coin3=180;13=7;21841=2},{gold=3100000},28,{rmb=460},28,{coin3=2300},28,30,Maximum membership +1 (up to 38),會員人數上限+1（達到38）,Maximum membership +1 (up to 38),회원 인원수 한도 +1(38 달성),,,,,,
10,39,2,346000,35000,5,19500,,1.04,{gold=65000;coin3=190;13=7;21841=2},{gold=3300000},29,{rmb=480},29,{coin3=2400},29,30,Maximum membership +1 (up to 39),會員人數上限+1（達到39）,Maximum membership +1 (up to 39),회원 인원수 한도 +1(39 달성),可设置副会长人数+1,可設置副會長人數+1,Can set one more Assistant Leader,설정 가능 부회장 수 +1,,
11,40,3,428000,35000,5,20000,,1.05,{gold=70000;coin3=200;13=8;21841=3},{gold=3500000},30,{rmb=500},30,{coin3=2500},30,30,Maximum membership +1 (up to 40),會員人數上限+1（達到40）,Maximum membership +1 (up to 40),회원 인원수 한도 +1(40 달성),,,,,,
12,41,3,524000,35000,5,20500,,1.05,{gold=75000;coin3=210;13=8;21841=3},{gold=3700000},30,{rmb=520},30,{coin3=2600},30,30,Maximum membership +1 (up to 41),會員人數上限+1（達到41）,Maximum membership +1 (up to 41),회원 인원수 한도 +1(41 달성),,,,,,
13,42,3,640000,35000,5,21000,,1.06,{gold=80000;coin3=220;13=9;21841=3},{gold=3900000},31,{rmb=540},31,{coin3=2700},31,40,Maximum membership +1 (up to 42),會員人數上限+1（達到42）,Maximum membership +1 (up to 42),회원 인원수 한도 +1(42 달성),,,,,,
14,43,3,778000,35000,5,21500,,1.06,{gold=85000;coin3=230;13=9;21841=3},{gold=4100000},31,{rmb=560},31,{coin3=2800},31,40,Maximum membership +1 (up to 43),會員人數上限+1（達到43）,Maximum membership +1 (up to 43),회원 인원수 한도 +1(43 달성),,,,,,
15,44,3,924000,35000,5,22000,,1.07,{gold=90000;coin3=240;13=10;21841=3},{gold=4300000},32,{rmb=580},32,{coin3=2900},32,40,Maximum membership +1 (up to 44),會員人數上限+1（達到44）,Maximum membership +1 (up to 44),회원 인원수 한도 +1(44 달성),,,,,,
16,45,3,1128000,35000,5,22500,,1.07,{gold=95000;coin3=250;13=10;21841=3},{gold=4500000},32,{rmb=600},32,{coin3=3000},32,40,Maximum membership +1 (up to 45),會員人數上限+1（達到45）,Maximum membership +1 (up to 45),회원 인원수 한도 +1(45 달성),,,,,,
