"﻿变量名",name,name_tw,name_en,name_kr,gateID,firstAward,repeatAward,challengeAward,killAward,desc,desc_tw,desc_en,desc_kr
默认值,"""""","""""","""""","""""",0,{},{},{},{},"""""","""""","""""",""""""
公会副本ID,副本名称,副本名称,副本名称,副本名称_韩,对应的关卡ID,首次通关奖励,重复通关奖励,挑战参与奖励,击杀奖励,特性介绍,特性介绍,特性介绍,特性介绍_韩
1,Venusaur,妙蛙花,Venusaur,이상해꽃,1000,{19=2;932=20;5000=20},{951=1;932=10;gold=100000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},Venusaur seems to have gotten more powerful,妙蛙花似乎獲得了更強的能力,Venusaur seems to have gotten more powerful,이상해꽃이 더 강한 능력을 획득한 것 같다.
2,Charizard,噴火龍,Charizard,리자몽,1001,{519=1;932=20;5000=20},{951=1;932=10;gold=100000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},Charizard seems to have gotten more powerful,噴火龍似乎獲得了更強的能力,Charizard seems to have gotten more powerful,리자몽이 더 강한 능력을 획득한 것 같다.
3,Blastoise,水箭龜,Blastoise,거북왕,1002,{502=1;932=25;5000=25},{951=1;932=10;gold=100000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},Blastoise seems to have gotten more powerful,水箭龜似乎獲得了更強的能力,Blastoise seems to have gotten more powerful,거북왕이 더 강한 능력을 획득한 것 같다.
4,Alakazam,胡地,Alakazam,후딘,1003,{rmb=100;932=25;5000=25},{951=1;932=10;gold=100000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},Alakazam seems to have gotten more powerful,胡地似乎獲得了更強的能力,Alakazam seems to have gotten more powerful,후딘이 더 강한 능력을 획득한 것 같다.
5,Delphox,妖火紅狐,Delphox,마폭시,1004,{501=1;932=30;5000=30},{951=1;932=10;gold=100000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},Delphox seems to have gotten more powerful,妖火紅狐似乎獲得了更強的能力,Delphox seems to have gotten more powerful,마폭시가 더 강한 능력을 획득한 것 같다.
6,Greninja,甲賀忍蛙,Greninja,개굴닌자,1005,{19=2;932=30;5000=30},{951=1;932=10;gold=110000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},Greninja seems to have gotten more powerful,甲賀忍蛙似乎獲得了更強的能力,Greninja seems to have gotten more powerful,개굴닌자가 더 강한 능력을 획득한 것 같다.
7,Electivire,電擊魔獸,Electivire,에레키블,1006,{519=1;932=35;5000=35},{951=1;932=15;gold=110000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},Electivire seems to have gotten more powerful,電擊魔獸似乎獲得了更強的能力,Electivire seems to have gotten more powerful,에레키블이 더 강한 능력을 획득한 것 같다.
8,Gengar,耿鬼,Gengar,팬텀,1007,{502=1;932=35;5000=35},{951=1;932=15;gold=120000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},Gengar seems to have gotten more powerful,耿鬼似乎獲得了更強的能力,Gengar seems to have gotten more powerful,팬텀이 더 강한 능력을 획득한 것 같다.
9,Gyarados,暴鯉龍,Gyarados,갸라도스,1008,{rmb=100;932=40;5000=40},{951=1;932=15;gold=120000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},Gyarados seems to have gotten more powerful,暴鯉龍似乎獲得了更強的能力,Gyarados seems to have gotten more powerful,갸라도스가 더 강한 능력을 획득한 것 같다.
10,Dragonite,快龍,Dragonite,망나뇽,1009,{501=1;932=40;5000=40},{951=1;932=15;gold=130000},{5000=2;900=3;gold=10000;coin3=50},{gold=100000;rmb=100},Dragonite seems to have gotten more powerful,快龍似乎獲得了更強的能力,Dragonite seems to have gotten more powerful,망나뇽이 더 강한 능력을 획득한 것 같다.
