变量名,icon
默认值,
ID,icon
1,common/icon/union/img_gh1.png
2,common/icon/union/img_gh2.png
3,common/icon/union/img_gh3.png
4,common/icon/union/img_gh4.png
5,common/icon/union/img_gh5.png
6,common/icon/union/img_gh6.png
7,common/icon/union/img_gh7.png
8,common/icon/union/img_gh8.png
9,common/icon/union/img_gh9.png
10,common/icon/union/img_gh10.png
11,common/icon/union/img_gh11.png
12,common/icon/union/img_gh12.png
13,common/icon/union/img_gh13.png
14,common/icon/union/img_gh14.png
15,common/icon/union/img_gh15.png
