变量名,_beizhu,itemWeightMap,itemCount,costMap,vipStart,vipWeight,beginDate,endDate,position,levelRange,limitType,limitTimes,showUnable
默认值,,{},0,{coin3=0},0,1,0,20990101,0,<1;150>,0,0,FALSE
商店ID,备注,商品ID表({ID=权重;}),商品个数,消耗积分,起始VIP等级,刷新几率权重(-1=必定出现),开始贩售时间,结束贩售时间,商店栏位,等级限制,限购周期类型(1-日限购；2-周限购；3-月限购；4-永久限购),限购数量,未解锁时是否可见
1,fragments,{20111=10},5,{coin3=1500},0,0,,,0,<200;200>,,,
2,Cultivate Tokens,{451=10},5,{coin3=500},0,0,,,1,<200;200>,,,
3,fragments,{20021=10},5,{coin3=1500},0,0,,,2,<200;200>,,,
4,Fortified Potion,{5000=10},20,{coin3=400},0,0,,,3,<200;200>,,,
5,fragments,{20171=10},5,{coin3=900},0,0,,,4,<200;200>,,,
,,,,,,,,,,,,,
7,fragments,{20331=10},5,{coin3=900},0,0,,,6,<200;200>,,,
,,,,,,,,,,,,,
9,fragments,{20491=10},5,{coin3=900},0,0,,,8,<200;200>,,,
,,,,,,,,,,,,,
10,5W gold coins,{514=10},5,{coin3=200},0,0,,,10,<200;200>,,,
11,fragments,{20471=10},5,{coin3=2000},0,0,,,13,<200;200>,,,
,,,,,,,,,,,,,
21,fragments,{20741=10},5,{coin3=1500},0,100,,,0,<200;200>,,,
22,fragments,{21241=10},5,{coin3=1500},0,100,,,1,<200;200>,,,
23,fragments,{20271=10},5,{coin3=900},0,100,,,2,<200;200>,,,
24,fragments,{20481=10},5,{coin3=900},0,100,,,3,<200;200>,,,
,,,,,,,,,,,,,
25,Cultivate Tokens,{452=10},10,{coin3=500},0,100,,,12,,,,
26,Fortified Potion,{5000=10},20,{coin3=400},0,100,,,13,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
27,5W gold coins,{514=10},5,{coin3=200},0,100,,,14,,,,
,,,,,,,,,,,,,
31,sticky treasure,{23541=10},5,{coin3=1500},0,100,,,0,,,,
32,geometric snowflake,{23021=10},5,{coin3=1500},0,100,,,1,,,,
33,Super Armored Rhinoceros,{20491=10},5,{coin3=1500},0,100,,,2,,,,
,,,,,,,,,,,,,
41,water jump fish,{21311=10},5,{coin3=1500},0,100,,,3,,,,
42,lightning bird,{20731=10},5,{coin3=1500},0,100,,,4,,,,
43,Huanla,{21081=10},5,{coin3=1500},0,100,,,5,,,,
,,,,,,,,,,,,,
34,wrist strength,{20271=10},5,{coin3=900},0,100,,,6,,,,
35,Turtle,{22011=10},5,{coin3=900},0,100,,,7,,,,
36,big tongue,{20471=10},5,{coin3=900},0,100,,,8,,,,
37,Frog Flower,{20001=10},5,{coin3=900},0,100,,,9,,,,
,,,,,,,,,,,,,
51,Soft Puffs,{23431=10},5,{coin3=900},0,100,,,10,,,,
52,mini ice,{22871=10},5,{coin3=900},0,100,,,11,,,,
,,,,,,,,,,,,,
101,gem 21,{5001=100;5002=100;5003=100},30,{coin3=300},,100,,,15,<1;27>,,,
102,gem 21,{5001=100;5002=100;5003=100},30,{coin3=300},,100,,,15,<1;27>,,,
103,gem 22,{5004=100;5005=100;5006=100},30,{coin3=360},,100,,,15,<1;39>,,,
104,gem 22,{5004=100;5005=100;5006=100},30,{coin3=360},,100,,,15,<1;39>,,,
105,gem 31,{5007=100;5008=100;5009=100},30,{coin3=360},,100,,,15,<1;49>,,,
106,gem 31,{5007=100;5008=100;5009=100},30,{coin3=360},,100,,,15,<1;49>,,,
107,gem 32,{5010=100;5011=100;5012=100},30,{coin3=430},,100,,,15,<28;59>,,,
108,gem 32,{5010=100;5011=100;5012=100},30,{coin3=430},,100,,,15,<28;59>,,,
109,gem 33,{5013=100;5014=100;5015=100},30,{coin3=500},,100,,,15,<40;69>,,,
110,gem 33,{5013=100;5014=100;5015=100},30,{coin3=500},,100,,,15,<40;69>,,,
111,gem 41,{5016=100;5017=100;5018=100},30,{coin3=570},,100,,,15,<50;79>,,,
112,gem 41,{5016=100;5017=100;5018=100},30,{coin3=570},,100,,,15,<50;79>,,,
113,gem 42,{5019=100;5020=100;5021=100},30,{coin3=650},,100,,,15,<60;84>,,,
114,gem 42,{5019=100;5020=100;5021=100},30,{coin3=650},,100,,,15,<60;84>,,,
115,gem 51,{5022=100;5023=100;5024=100},30,{coin3=720},,100,,,15,<70;100>,,,
116,gem 51,{5022=100;5023=100;5024=100},30,{coin3=720},,100,,,15,<70;100>,,,
117,gem 52,{5025=100;5026=100;5027=100},30,{coin3=790},,100,,,16,<80;104>,,,
118,gem 52,{5025=100;5026=100;5027=100},30,{coin3=790},,100,,,16,<80;104>,,,
119,gem 53,{5028=100;5029=100;5030=100},30,{coin3=860},,100,,,16,<85;109>,,,
120,gem 53,{5028=100;5029=100;5030=100},30,{coin3=860},,100,,,16,<85;109>,,,
121,gem 54,{5031=100;5032=100;5033=100},30,{coin3=930},,100,,,16,<95;114>,,,
122,gem 54,{5031=100;5032=100;5033=100},30,{coin3=930},,100,,,16,<95;114>,,,
123,gem 55,{5034=100;5035=100;5036=100},30,{coin3=990},,100,,,16,<100;119>,,,
124,gem 55,{5034=100;5035=100;5036=100},30,{coin3=990},,100,,,16,<100;119>,,,
125,gem 61,{5037=100;5038=100;5039=100},30,{coin3=1020},,100,,,16,<105;124>,,,
126,gem 61,{5037=100;5038=100;5039=100},30,{coin3=1020},,100,,,16,<105;124>,,,
127,gem 62,{5040=100;5041=100;5042=100},30,{coin3=1050},,100,,,16,<110;129>,,,
128,gem 62,{5040=100;5041=100;5042=100},30,{coin3=1050},,100,,,16,<110;129>,,,
129,gem 63,{5043=100;5044=100;5045=100},30,{coin3=1080},,100,,,16,<115;134>,,,
130,gem 63,{5043=100;5044=100;5045=100},30,{coin3=1080},,100,,,16,<115;134>,,,
131,gem 64,{5046=100;5047=100;5048=100},30,{coin3=1140},,100,,,16,<120;139>,,,
132,gem 64,{5046=100;5047=100;5048=100},30,{coin3=1140},,100,,,16,<120;139>,,,
133,gem 65,{5049=100;5050=100;5051=100},30,{coin3=1200},,100,,,16,<125;144>,,,
134,gem 65,{5049=100;5050=100;5051=100},30,{coin3=1200},,100,,,16,<125;144>,,,
135,gem 66,{5052=100;5053=100;5054=100},30,{coin3=1270},,100,,,16,<130;149>,,,
136,gem 66,{5052=100;5053=100;5054=100},30,{coin3=1270},,100,,,16,<130;149>,,,
,,,,,,,,,,,,,
201,gem 21,{5001=100;5002=100;5003=100},30,{coin3=300},,100,,,16,<1;27>,,,
202,gem 21,{5001=100;5002=100;5003=100},30,{coin3=300},,100,,,16,<1;27>,,,
203,gem 22,{5004=100;5005=100;5006=100},30,{coin3=360},,100,,,16,<1;39>,,,
204,gem 22,{5004=100;5005=100;5006=100},30,{coin3=360},,100,,,16,<1;39>,,,
205,gem 31,{5007=100;5008=100;5009=100},30,{coin3=360},,100,,,16,<1;49>,,,
206,gem 31,{5007=100;5008=100;5009=100},30,{coin3=360},,100,,,16,<1;49>,,,
207,gem 32,{5010=100;5011=100;5012=100},30,{coin3=430},,100,,,16,<28;59>,,,
208,gem 32,{5010=100;5011=100;5012=100},30,{coin3=430},,100,,,16,<28;59>,,,
209,gem 33,{5013=100;5014=100;5015=100},30,{coin3=500},,100,,,16,<40;69>,,,
210,gem 33,{5013=100;5014=100;5015=100},30,{coin3=500},,100,,,16,<40;69>,,,
211,gem 41,{5016=100;5017=100;5018=100},30,{coin3=570},,100,,,16,<50;79>,,,
212,gem 41,{5016=100;5017=100;5018=100},30,{coin3=570},,100,,,16,<50;79>,,,
213,gem 42,{5019=100;5020=100;5021=100},30,{coin3=650},,100,,,16,<60;84>,,,
214,gem 42,{5019=100;5020=100;5021=100},30,{coin3=650},,100,,,16,<60;84>,,,
215,gem 51,{5022=100;5023=100;5024=100},30,{coin3=720},,100,,,16,<70;100>,,,
216,gem 51,{5022=100;5023=100;5024=100},30,{coin3=720},,100,,,16,<70;100>,,,
217,gem 52,{5025=100;5026=100;5027=100},30,{coin3=790},,100,,,16,<80;104>,,,
218,gem 52,{5025=100;5026=100;5027=100},30,{coin3=790},,100,,,16,<80;104>,,,
