变量名,hp,mp1,initMp1,hpRecover,mp1Recover,mp2Recover,damage,specialDamage,defence,specialDefence,defenceIgnore,specialDefenceIgnore,speed,strike,strikeDamage,strikeResistance,block,breakBlock,blockPower,hit,dodge,damageHit,damageDodge,damageAdd,damageSub,ultimateAdd,ultimateSub,damageDeepen,damageReduce,suckBlood,rebound,cure,natureRestraint,controlPer,immuneControl
默认值,1,1,1,1,1,1,1,1,1,1,1,1,1,500,15000,500,1,500,3000,1,1,1,1,500,500,500,500,1,1,1,1,1,500,500,1
角色等级,HP,MP1,initMp1,HP回复,MP1回复,预留,物理攻击,特殊攻击,物理防御力,特殊防御力,物理防御忽视,特殊防御忽视,先手值,会心一击,会心一击伤害,会心一击抗性,格挡等级10000,破格挡等级10000,格挡强度10000,命中,闪避,伤害命中,伤害闪避,伤害加成10000,伤害减免10000,必杀加成,必杀抗性,伤害加深,伤害降低,吸血,反弹,治疗效果,属性克制,控制率,免控率
1,340,1000,400,0,0,0,134,134,41,41,0,0,11,,,,,,,,,,,,,,,,,,,,,,
2,456,1000,400,0,0,0,147,147,45,45,0,0,12,,,,,,,,,,,,,,,,,,,,,,
3,572,1000,400,0,0,0,160,160,48,48,0,0,13,,,,,,,,,,,,,,,,,,,,,,
4,688,1000,400,0,0,0,172,172,52,52,0,0,14,,,,,,,,,,,,,,,,,,,,,,
5,804,1000,400,0,0,0,185,185,55,55,0,0,15,,,,,,,,,,,,,,,,,,,,,,
6,920,1000,400,0,0,0,198,198,59,59,0,0,16,,,,,,,,,,,,,,,,,,,,,,
7,1056,1000,400,0,0,0,211,211,63,63,0,0,17,,,,,,,,,,,,,,,,,,,,,,
8,1192,1000,400,0,0,0,224,224,67,67,0,0,18,,,,,,,,,,,,,,,,,,,,,,
9,1328,1000,400,0,0,0,237,237,72,72,0,0,19,,,,,,,,,,,,,,,,,,,,,,
10,1464,1000,400,0,0,0,250,250,76,76,0,0,20,,,,,,,,,,,,,,,,,,,,,,
11,1600,1000,400,0,0,0,263,263,80,80,0,0,21,,,,,,,,,,,,,,,,,,,,,,
12,1758,1000,400,0,0,0,277,277,84,84,0,0,22,,,,,,,,,,,,,,,,,,,,,,
13,1916,1000,400,0,0,0,291,291,88,88,0,0,23,,,,,,,,,,,,,,,,,,,,,,
14,2074,1000,400,0,0,0,304,304,91,91,0,0,24,,,,,,,,,,,,,,,,,,,,,,
15,2232,1000,400,0,0,0,318,318,95,95,0,0,25,,,,,,,,,,,,,,,,,,,,,,
16,2390,1000,400,0,0,0,332,332,99,99,0,0,26,,,,,,,,,,,,,,,,,,,,,,
17,2572,1000,400,0,0,0,346,346,103,103,0,0,27,,,,,,,,,,,,,,,,,,,,,,
18,2754,1000,400,0,0,0,360,360,107,107,0,0,28,,,,,,,,,,,,,,,,,,,,,,
19,2936,1000,400,0,0,0,373,373,112,112,0,0,30,,,,,,,,,,,,,,,,,,,,,,
20,3118,1000,400,0,0,0,387,387,116,116,0,0,31,,,,,,,,,,,,,,,,,,,,,,
21,3300,1000,400,0,0,0,401,401,120,120,0,0,32,,,,,,,,,,,,,,,,,,,,,,
22,3508,1000,400,0,0,0,416,416,125,125,0,0,33,,,,,,,,,,,,,,,,,,,,,,
23,3717,1000,400,0,0,0,430,430,129,129,0,0,34,,,,,,,,,,,,,,,,,,,,,,
24,3925,1000,400,0,0,0,445,445,134,134,0,0,36,,,,,,,,,,,,,,,,,,,,,,
25,4134,1000,400,0,0,0,459,459,138,138,0,0,37,,,,,,,,,,,,,,,,,,,,,,
26,4342,1000,400,0,0,0,474,474,143,143,0,0,38,,,,,,,,,,,,,,,,,,,,,,
27,4579,1000,400,0,0,0,489,489,147,147,0,0,39,,,,,,,,,,,,,,,,,,,,,,
28,4816,1000,400,0,0,0,505,505,152,152,0,0,40,,,,,,,,,,,,,,,,,,,,,,
29,5054,1000,400,0,0,0,520,520,156,156,0,0,42,,,,,,,,,,,,,,,,,,,,,,
30,5291,1000,400,0,0,0,536,536,161,161,0,0,43,,,,,,,,,,,,,,,,,,,,,,
31,5528,1000,400,0,0,0,551,551,165,165,0,0,44,,,,,,,,,,,,,,,,,,,,,,
32,5796,1000,400,0,0,0,567,567,170,170,0,0,45,,,,,,,,,,,,,,,,,,,,,,
33,6064,1000,400,0,0,0,583,583,175,175,0,0,46,,,,,,,,,,,,,,,,,,,,,,
34,6332,1000,400,0,0,0,598,598,179,179,0,0,48,,,,,,,,,,,,,,,,,,,,,,
35,6600,1000,400,0,0,0,614,614,184,184,0,0,49,,,,,,,,,,,,,,,,,,,,,,
36,6868,1000,400,0,0,0,630,630,189,189,0,0,50,,,,,,,,,,,,,,,,,,,,,,
37,7169,1000,400,0,0,0,647,647,194,194,0,0,51,,,,,,,,,,,,,,,,,,,,,,
38,7470,1000,400,0,0,0,664,664,199,199,0,0,53,,,,,,,,,,,,,,,,,,,,,,
39,7770,1000,400,0,0,0,680,680,205,205,0,0,54,,,,,,,,,,,,,,,,,,,,,,
40,8071,1000,400,0,0,0,697,697,210,210,0,0,56,,,,,,,,,,,,,,,,,,,,,,
41,8372,1000,400,0,0,0,714,714,215,215,0,0,57,,,,,,,,,,,,,,,,,,,,,,
42,8708,1000,400,0,0,0,732,732,220,220,0,0,58,,,,,,,,,,,,,,,,,,,,,,
43,9043,1000,400,0,0,0,750,750,225,225,0,0,60,,,,,,,,,,,,,,,,,,,,,,
44,9379,1000,400,0,0,0,767,767,230,230,0,0,61,,,,,,,,,,,,,,,,,,,,,,
45,9714,1000,400,0,0,0,785,785,235,235,0,0,63,,,,,,,,,,,,,,,,,,,,,,
46,10050,1000,400,0,0,0,803,803,240,240,0,0,64,,,,,,,,,,,,,,,,,,,,,,
47,10423,1000,400,0,0,0,822,822,246,246,0,0,66,,,,,,,,,,,,,,,,,,,,,,
48,10796,1000,400,0,0,0,840,840,252,252,0,0,67,,,,,,,,,,,,,,,,,,,,,,
49,11168,1000,400,0,0,0,859,859,257,257,0,0,69,,,,,,,,,,,,,,,,,,,,,,
50,11541,1000,400,0,0,0,877,877,263,263,0,0,70,,,,,,,,,,,,,,,,,,,,,,
51,11914,1000,400,0,0,0,896,896,269,269,0,0,72,,,,,,,,,,,,,,,,,,,,,,
52,12326,1000,400,0,0,0,916,916,275,275,0,0,74,,,,,,,,,,,,,,,,,,,,,,
53,12739,1000,400,0,0,0,936,936,281,281,0,0,75,,,,,,,,,,,,,,,,,,,,,,
54,13151,1000,400,0,0,0,955,955,287,287,0,0,77,,,,,,,,,,,,,,,,,,,,,,
55,13564,1000,400,0,0,0,975,975,293,293,0,0,78,,,,,,,,,,,,,,,,,,,,,,
56,13976,1000,400,0,0,0,995,995,299,299,0,0,80,,,,,,,,,,,,,,,,,,,,,,
57,14430,1000,400,0,0,0,1016,1016,305,305,0,0,82,,,,,,,,,,,,,,,,,,,,,,
