变量名,fightingPointC,type,isBuff,buffType,drops,dropsView,hpC,damageC,specialDamageC,defenceC,specialDefenceC,speedC,backGround,recoverMp
默认值,1,1,0,<>,{gold=15000},{gold=15000},1,1,1,1,1,1,stage/night.csv,50
ID,战斗力修正系数,关卡类型 (1=普通;2=精英;3=深渊) 纯展示,是否触发增益,可触发的增益类型,通关掉落,通关掉落(预览) 纯展示,血量修正,物攻修正,特攻修正,物防修正,特防修正,速度修正,背景配置 ,碾压恢复怒气（固定值）
101001,0.33,,1,<101>,{coin14=100;gold=40000;},{coin14=0;gold=0;},,,,,,,stage/green.csv,
101002,0.39,,,,{coin14=100;gold=40000;},{coin14=0;gold=0;},,,,,,,stage/green.csv,
101011,0.46,2,1,<101;201>,{coin14=200;gold=50000;libs=<22101;22106;22115>},{coin14=0;gold=0;7201=0;122=0;123=0},1.1,1.1,1.1,1.1,1.1,1.05,stage/green.csv,
101003,0.52,,,,{coin14=100;gold=40000;},{coin14=0;gold=0;},,,,,,,stage/green.csv,
11,,,,,,,,,,,,,stage/green.csv,
12,,,,,,,,,,,,,stage/green.csv,
101004,0.55,,,,{coin14=100;gold=40000;},{coin14=0;gold=0;},,,,,,,stage/green.csv,
101012,0.61,2,1,<101;201>,{coin14=200;gold=50000;libs=<22101;22106;22115;22115>},{coin14=0;gold=0;7201=0;122=0;123=0},1.1,1.1,1.1,1.1,1.1,1.05,stage/green.csv,
13,,,,,,,,,,,,,stage/green.csv,
101005,0.66,,,,{coin14=100;gold=40000;},{coin14=0;gold=0;},,,,,,,stage/green.csv,
14,,,,,,,,,,,,,stage/green.csv,
101006,0.68,,1,<201;301>,{coin14=200;gold=50000;libs=<22102;22106;22115;22116>},{coin14=0;gold=0;7201=0;7202=0;122=0;123=0},,,,,,,stage/green.csv,
101013,0.73,2,1,<201;301>,{coin14=200;gold=75000;libs=<22103;22107;22115;22116>},{coin14=0;gold=0;7201=0;7202=0;7203=0;122=0;123=0;124=0},1.05,1.05,1.05,1.05,1.05,,stage/green.csv,
101007,0.77,,,,{coin14=100;gold=40000;libs=<22102>},{coin14=0;gold=0;7201=0;7202=0},,,,,,,stage/green.csv,
101008,0.84,2,1,<301>,{coin14=200;gold=50000;libs=<22102;22107;22115;22116>},{coin14=0;gold=0;7201=0;7202=0;122=0;123=0;124=0},1.07,1.07,1.07,1.07,1.07,,stage/green.csv,
15,,,,,,,,,,,,,stage/green.csv,
