变量名,fightingPoint,deployNum
默认值,<>,1000
ID,战斗力区间,阵容数量
1,<50000;100000>,
2,<100000;130000>,
3,<130000;160000>,
4,<160000;190000>,
5,<190000;220000>,
6,<220000;250000>,
7,<250000;280000>,
8,<280000;310000>,
9,<310000;340000>,
10,<340000;370000>,
11,<370000;400000>,
12,<400000;430000>,
13,<430000;460000>,
14,<460000;490000>,
15,<490000;520000>,
16,<520000;550000>,
17,<550000;580000>,
18,<580000;610000>,
19,<610000;640000>,
20,<640000;670000>,
21,<670000;700000>,
22,<700000;730000>,
23,<730000;760000>,
24,<760000;790000>,
25,<790000;820000>,
26,<820000;850000>,
27,<850000;880000>,
28,<880000;910000>,
29,<910000;940000>,
30,<940000;970000>,
31,<970000;1000000>,
32,<1000000;1030000>,
33,<1030000;1060000>,
34,<1060000;1090000>,
35,<1090000;1120000>,
36,<1120000;1150000>,
37,<1150000;1180000>,
38,<1180000;1210000>,
39,<1210000;1240000>,
40,<1240000;1270000>,
41,<1270000;1300000>,
42,<1300000;1330000>,
43,<1330000;1370000>,
44,<1370000;1410000>,
45,<1410000;1450000>,
46,<1450000;1490000>,
47,<1490000;1530000>,
48,<1530000;1570000>,
49,<1570000;1610000>,
50,<1610000;1650000>,
51,<1650000;1690000>,
52,<1690000;1750000>,
53,<1750000;1810000>,
54,<1810000;1870000>,
55,<1870000;1930000>,
56,<1930000;1990000>,
57,<1990000;2050000>,
58,<2050000;2110000>,
59,<2110000;2170000>,
60,<2170000;2230000>,
61,<2230000;2290000>,
62,<2290000;2390000>,
63,<2390000;2490000>,
64,<2490000;2590000>,
65,<2590000;2740000>,
66,<2740000;2890000>,
67,<2890000;3040000>,
68,<3040000;3190000>,
69,<3190000;3500000>,
70,<3500000;4000000>,
71,<4000000;4500000>,
72,<4500000;5500000>,
73,<5500000;6500000>,
74,<6500000;7500000>,
75,<7500000;8500000>,
76,<8500000;9500000>,
77,<9500000;10500000>,
78,<10500000;11500000>,
79,<11500000;12500000>,
80,<12500000;13500000>,
81,<13500000;14500000>,
82,<14500000;15500000>,
83,<15500000;16500000>,
84,<16500000;17500000>,
85,<17500000;18500000>,
86,<18500000;19500000>,
87,<19500000;20500000>,
88,<20500000;21500000>,
89,<21500000;22500000>,
90,<22500000;23500000>,
91,<23500000;24500000>,
92,<24500000;25500000>,
93,<25500000;26500000>,
94,<26500000;27500000>,
95,<27500000;28500000>,
96,<28500000;29500000>,
97,<29500000;30500000>,
98,<30500000;31500000>,
99,<31500000;32500000>,
100,<32500000;33500000>,
101,<33500000;34500000>,
102,<34500000;35500000>,
103,<35500000;36500000>,
104,<36500000;37500000>,
105,<37500000;38500000>,
106,<38500000;39500000>,
107,<39500000;40500000>,
108,<40500000;41500000>,
109,<41500000;42500000>,
110,<42500000;43500000>,
111,<43500000;44500000>,
112,<44500000;45500000>,
113,<45500000;46500000>,
114,<46500000;47500000>,
115,<47500000;48500000>,
116,<48500000;49500000>,
117,<49500000;50500000>,
118,<50500000;51500000>,
119,<51500000;52500000>,
120,<52500000;53500000>,
121,<53500000;54500000>,
122,<54500000;55500000>,
123,<55500000;56500000>,
124,<56500000;57500000>,
125,<57500000;58500000>,
126,<58500000;59500000>,
127,<59500000;60500000>,
128,<60500000;61500000>,
129,<61500000;62500000>,
130,<62500000;63500000>,
131,<63500000;64500000>,
132,<64500000;65500000>,
133,<65500000;66500000>,
134,<66500000;67500000>,
135,<67500000;68500000>,
