变量名,_beizhu,itemMap,costMap,exchangeLimit,regainHour,beginDate,endDate,vipStart,levelRange,limitType,limitTimes,showUnable,sortValue,languages
默认值,,{},{},-1,0,0,20990101,0,<1;150>,0,0,FALSE,0,<cn>
商店ID,备注,商品ID表(ID=数量),消耗积分,兑换次数(-1表示无限次兑换),次数恢复间隔,开始贩售时间,结束贩售时间,起始VIP等级,等级限制,限购周期类型(1-日限购；2-周限购；3-月限购；4-永久限购),限购数量,未解锁时是否可见,显示排序小的在前,语言区域
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1001,Ash Pikachu Pieces,{27001=3},{coin14=2000},2,24,,,,,,,,,
1002,good and bad star fragments,{23771=3},{coin14=2000},2,24,,,,,,,,,
1003,Scorpio Fragment,{21031=3},{coin14=2000},2,24,,,,<150;150>,,,,,
1004,Sweet Bamboo Fragments,{23841=3},{coin14=2000},2,24,,,,,,,,,
1005,Shard of Darkrai,{22431=1},{coin14=5000},,,,,,,3,20,,,
,,,,,,,,,,,,,,
1101,Fortified Potion,{5000=10},{coin14=2000},2,24,,,,,,,,,
1102,1W gold coin props*10,{514=10},{coin14=1200},3,48,,,,,,,,,
1103,1W experience potion*10,{15=5},{coin14=1500},3,24,,,,,,,,,
1104,Blue Chip Random Chest,{7302=1},{coin14=1000},,,,,,,2,3,,,
1105,Purple Random Chest,{7303=1},{coin14=5000},,,,,,,3,3,,,
1106,Orange Random Chest,{7304=1},{coin14=15000},,,,,,,3,1,,,
1107,Refining the core,{121=1},{coin14=1500},,,,,,,2,5,,,
1108,green chip,{122=1},{coin14=100},10,12,,,,,,,,,
1109,blue chip,{123=1},{coin14=500},5,24,,,,,,,,,
1110,purple chip,{124=1},{coin14=1500},2,48,,,,,,,,,
1111,hand of origin,{538=1},{coin14=5000},1,48,,,,<150;150>,1,1,,,
