"﻿变量名",randomLibID,drawWeight,drawWeightFix,attrsDesc,attrsDesc_tw,attrsDesc_en,attrsDesc_vn,attrsDesc_kr,recastWeight,recastWeightFix,attrType1,attrNum1,attrType2,attrNum2
默认值,0,0,0,"""词条内容待配置""","""词条内容待配置""","""词条内容待配置""","""词条内容待配置""","""词条内容待配置""",<>,<>,0,<>,0,<>
ID,副属性随机库id,获得随机权重,获得重复随到概率修正,展示词条内容,展示词条内容,展示词条内容,展示词条内容,展示词条内容,洗炼随机权重：<<a;b;weight>;0>如果a<=洗炼次数<=b，权重为weight,洗炼重复随到概率修正：<<a;b;fix>;0>如果a<=洗炼次数<=b，修正为fix,属性类型1,属性数值1：<x%;...>的n个值，能最大强化n-1次,属性类型2,属性数值2
,,,,,,,,,,,,,,
1,20001,200,0,Fixed HP,固定生命,Fixed HP,lib404,lib404,<<0;10;200>;<11;20;200>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,1,<400;560;720;880>,,
2,20001,200,0,Percentage of HP,百分比生命,Percentage of HP,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;150>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,1,<1%;1.3%;1.6%;1.9%>,,
3,20001,200,0,Fixed P. & Sp. DEF,固定雙防,Fixed P. & Sp. DEF,lib404,lib404,<<0;10;200>;<11;20;200>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,9,<56;78;101;123>,10,<56;78;101;123>
4,20001,200,0,Percentage P. & Sp. DEF,百分比雙防,Percentage P. & Sp. DEF,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;150>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,9,<1%;1.3%;1.6%;1.9%>,10,<1%;1.3%;1.6%;1.9%>
5,20001,200,0,CRI RES,暴擊抗性,CRI RES,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,16,<30;45;60;75>,,
6,20001,200,0,Heal effect,治療效果,Heal effect,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,28,<30;45;60;75>,,
7,20001,200,0,Block,抵禦,Block,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,17,<30;45;60;75>,,
8,20001,200,0,Control resist rate,免疫控制率,Control resist rate,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,91,<30;45;60;75>,,
9,20001,200,0,DMG reduction,傷害減免,DMG reduction,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,23,<30;45;60;75>,,
10,20001,200,0,Ultimate Skill resistance,必殺抗性,Ultimate Skill resistance,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,25,<30;45;60;75>,,
21,20002,100,0,Fixed speed,固定速度,Fixed speed,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,13,<4;6;7;9>,,
22,20002,200,0,Fixed P. & Sp. ATK,固定雙攻,Fixed P. & Sp. ATK,lib404,lib404,<<0;10;200>;<11;20;200>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,7,<80;112;144;176>,8,<80;112;144;176>
23,20002,200,0,Percentage P. & Sp. ATK,百分比雙攻,Percentage P. & Sp. ATK,lib404,lib404,<<0;10;200>;<11;20;200>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,7,<1%;1.3%;1.6%;1.9%>,8,<1%;1.3%;1.6%;1.9%>
24,20002,200,0,P. & Sp. DEF Ignorance,雙防忽視,P. & Sp. DEF Ignorance,lib404,lib404,<<0;10;100>;<11;20;150>;<21;30;150>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,11,<30;45;60;75>,12,<30;45;60;75>
25,20002,200,0,Crit,暴擊,Crit,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,14,<30;45;60;75>,,
26,20002,200,0,CRI DMG,暴擊傷害,CRI DMG,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,15,<30;45;60;75>,,
27,20002,200,0,Block Break rate,破抵禦,Block Break rate,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,18,<30;45;60;75>,,
28,20002,200,0,Control rate,控制率,Control rate,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,90,<30;45;60;75>,,
