"﻿变量名",suitID,suitName,suitName_tw,suitName_en,suitName_vn,suitName_kr,suitIcon,suitNum,suitQuality,skillID,attrType1,attrNum1,attrType2,attrNum2,attrType3,attrNum3
默认值,0,"""""","""""","""""","""""","""""","""config/chip/suit/img_gj_1_00.png""",0,1,0,0,"""""",0,"""""",0,""""""
ID,套装id,套装名字,套装名字,套装名字,套装名字,套装名字,套装icon,套装散件数量,套装品质,套装效果技能,套装属性类型1,套装属性数值1,套装属性类型2,套装属性数值2,套装属性类型3,套装属性数值3
,,,,,,,,,,,,,,,,
1,1,Fire Dance,火舞,Fire Dance,404,404,config/chip/suit/img_gj_1_00.png,2,2,,7,3%,8,3%,,
2,1,Fire Dance,火舞,Fire Dance,404,404,config/chip/suit/img_gj_1_00.png,4,2,66001,,,,,,
3,1,Fire Dance,火舞,Fire Dance,404,404,config/chip/suit/img_gj_1_00.png,2,3,,7,4%,8,4%,,
4,1,Fire Dance,火舞,Fire Dance,404,404,config/chip/suit/img_gj_1_00.png,4,3,66002,,,,,,
5,1,Fire Dance,火舞,Fire Dance,404,404,config/chip/suit/img_gj_1_00.png,2,4,,7,5%,8,5%,,
6,1,Fire Dance,火舞,Fire Dance,404,404,config/chip/suit/img_gj_1_00.png,4,4,66003,,,,,,
7,1,Fire Dance,火舞,Fire Dance,404,404,config/chip/suit/img_gj_1_00.png,2,5,,7,6%,8,6%,,
8,1,Fire Dance,火舞,Fire Dance,404,404,config/chip/suit/img_gj_1_00.png,4,5,66004,,,,,,
9,1,Fire Dance,火舞,Fire Dance,404,404,config/chip/suit/img_gj_1_00.png,2,6,,7,9%,8,9%,,
10,1,Fire Dance,火舞,Fire Dance,404,404,config/chip/suit/img_gj_1_00.png,4,6,66005,,,,,,
11,2,Frog Thorn,蛙刺 ,Frog Thorn,404,404,config/chip/suit/img_gj_2_00.png,2,2,,7,3%,8,3%,,
12,2,Frog Thorn,蛙刺 ,Frog Thorn,404,404,config/chip/suit/img_gj_2_00.png,4,2,66006,,,,,,
13,2,Frog Thorn,蛙刺 ,Frog Thorn,404,404,config/chip/suit/img_gj_2_00.png,2,3,,7,4%,8,4%,,
14,2,Frog Thorn,蛙刺 ,Frog Thorn,404,404,config/chip/suit/img_gj_2_00.png,4,3,66007,,,,,,
15,2,Frog Thorn,蛙刺 ,Frog Thorn,404,404,config/chip/suit/img_gj_2_00.png,2,4,,7,5%,8,5%,,
16,2,Frog Thorn,蛙刺 ,Frog Thorn,404,404,config/chip/suit/img_gj_2_00.png,4,4,66008,,,,,,
17,2,Frog Thorn,蛙刺 ,Frog Thorn,404,404,config/chip/suit/img_gj_2_00.png,2,5,,7,6%,8,6%,,
18,2,Frog Thorn,蛙刺 ,Frog Thorn,404,404,config/chip/suit/img_gj_2_00.png,4,5,66009,,,,,,
19,2,Frog Thorn,蛙刺 ,Frog Thorn,404,404,config/chip/suit/img_gj_2_00.png,2,6,,7,9%,8,9%,,
20,2,Frog Thorn,蛙刺 ,Frog Thorn,404,404,config/chip/suit/img_gj_2_00.png,4,6,66010,,,,,,
21,3,Lone Wolf,狼行者,Lone Wolf,404,404,config/chip/suit/img_gj_3_00.png,2,2,,7,3%,8,3%,,
22,3,Lone Wolf,狼行者,Lone Wolf,404,404,config/chip/suit/img_gj_3_00.png,4,2,66011,,,,,,
