变量名,levelExp1,levelExp2,levelExp3,levelExp4,levelExp5,levelExp6
默认值,0,0,0,0,0,0
ID,升级经验序列1,升级经验序列2,升级经验序列3,升级经验序列4,升级经验序列5,升级经验序列6
,,,,,,
1,25,25,38,55,85,125
2,25,25,38,55,85,125
3,50,50,75,110,170,250
4,50,50,75,110,170,250
5,75,75,113,165,255,375
6,75,75,113,165,255,375
7,100,100,150,220,340,500
8,100,100,150,220,340,500
9,125,125,188,275,425,625
10,145,145,218,319,493,725
11,170,170,255,374,578,850
12,195,195,293,429,663,975
13,240,240,360,528,816,1200
14,265,265,398,583,901,1325
15,285,285,428,627,969,1425
16,330,330,495,726,1122,1650
17,355,355,533,781,1207,1775
18,375,375,563,825,1275,1875
19,375,375,563,825,1275,1875
20,395,395,593,869,1343,1975
21,415,415,623,913,1411,2075
22,415,415,623,913,1411,2075
23,435,435,653,957,1479,2175
24,435,435,653,957,1479,2175
25,430,430,645,946,1462,2150
26,430,430,645,946,1462,2150
27,450,450,675,990,1530,2250
28,450,450,675,990,1530,2250
29,445,445,668,979,1513,2225
30,445,445,668,979,1513,2225
31,440,440,660,968,1496,2200
32,440,440,660,968,1496,2200
33,440,440,660,968,1496,2200
34,460,460,690,1012,1564,2300
35,455,455,683,1001,1547,2275
36,455,455,683,1001,1547,2275
37,450,450,675,990,1530,2250
38,470,470,705,1034,1598,2350
39,470,470,705,1034,1598,2350
40,465,465,698,1023,1581,2325
41,465,465,698,1023,1581,2325
42,460,460,690,1012,1564,2300
43,480,480,720,1056,1632,2400
44,480,480,720,1056,1632,2400
45,475,475,713,1045,1615,2375
46,495,495,743,1089,1683,2475
47,490,490,735,1078,1666,2450
48,490,490,735,1078,1666,2450
49,485,485,728,1067,1649,2425
50,505,505,758,1111,1717,2525
51,500,500,750,1100,1700,2500
52,500,500,750,1100,1700,2500
53,515,515,773,1133,1751,2575
54,515,515,773,1133,1751,2575
55,510,510,765,1122,1734,2550
56,530,530,795,1166,1802,2650
57,525,525,788,1155,1785,2625
58,545,545,818,1199,1853,2725
59,540,540,810,1188,1836,2700
60,535,535,803,1177,1819,2675
61,555,555,833,1221,1887,2775
62,550,550,825,1210,1870,2750
63,565,565,848,1243,1921,2825
64,565,565,848,1243,1921,2825
65,560,560,840,1232,1904,2800
66,575,575,863,1265,1955,2875
67,575,575,863,1265,1955,2875
68,590,590,885,1298,2006,2950
69,585,585,878,1287,1989,2925
70,600,600,900,1320,2040,3000
71,595,595,893,1309,2023,2975
72,610,610,915,1342,2074,3050
73,625,625,938,1375,2125,3125
74,640,640,960,1408,2176,3200
75,670,670,1005,1474,2278,3350
76,705,705,1058,1551,2397,3525
77,770,770,1155,1694,2618,3850
78,765,765,1148,1683,2601,3825
79,830,830,1245,1826,2822,4150
80,825,825,1238,1815,2805,4125
81,885,885,1328,1947,3009,4425
82,950,950,1425,2090,3230,4750
83,945,945,1418,2079,3213,4725
84,1005,1005,1508,2211,3417,5025
85,1065,1065,1598,2343,3621,5325
86,1125,1125,1688,2475,3825,5625
87,1185,1185,1778,2607,4029,5925
88,1240,1240,1860,2728,4216,6200
89,1300,1300,1950,2860,4420,6500
90,1355,1355,2033,2981,4607,6775
91,1410,1410,2115,3102,4794,7050
92,1465,1465,2198,3223,4981,7325
93,1520,1520,2280,3344,5168,7600
94,1575,1575,2363,3465,5355,7875
95,1685,1685,2528,3707,5729,8425
96,1740,1740,2610,3828,5916,8700
97,1790,1790,2685,3938,6086,8950
98,1900,1900,2850,4180,6460,9500
99,1950,1950,2925,4290,6630,9750
100,1995,1995,2993,4389,6783,9975
