﻿变量名,gateID,sceneCount,cards,cards_tw,cards_en,cards_vn,cards_kr,hpFix,hpFix_tw,hpFix_en,hpFix_vn,hpFix_kr,damageFix,damageFix_tw,damageFix_en,damageFix_vn,damageFix_kr,defenceFix,defenceFix_tw,defenceFix_en,defenceFix_vn,defenceFix_kr,speedFix,speedFix_tw,speedFix_en,speedFix_vn,speedFix_kr,storys
默认值,0,1,<>,<>,<>,<>,<>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<>
ID,关卡ID,波次,怪物,怪物,怪物,怪物,怪物,血量修正,血量修正,血量修正,血量修正,血量修正,双攻修正,双攻修正,双攻修正,双攻修正,双攻修正,双防修正,双防修正,双防修正,双防修正,双防修正,速度修正,速度修正,速度修正,速度修正,速度修正,剧情ID配置<round; storyId; heroId>
101,101,1,<1;2;3;0;0;0>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,
102,101,2,<2;0;2;0;2;0>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,
103,101,3,<1;2;0;3;3;3>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,
111,102,1,<1;2;3;0;0;0>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,
112,102,2,<2;0;2;0;2;0>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,
113,102,3,<1;2;0;3;3;3>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,
121,103,1,<1;2;3;0;0;0>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,
122,103,2,<2;0;2;0;2;0>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,
123,103,3,<1;2;0;3;3;3>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,
131,104,1,<1;2;3;0;0;0>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,
132,104,2,<2;0;2;0;2;0>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,
133,104,3,<1;2;0;3;3;3>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,<1;1;1;1;1;1>,,,,,
