变量名,qualityNum1,qualityNum2,qualityNum3,qualityNum4,qualityNum5,qualityNum6
默认值,100,100,100,100,100,100
ID（等级）,白色品质指数,绿色品质指数,蓝色品质指数,紫色品质指数,橙色品质指数,红色品质指数
1,18,18,27,40,61,90
2,18,18,27,40,62,91
3,19,19,28,41,63,93
4,19,19,28,41,64,94
5,19,19,29,42,65,95
6,19,19,29,43,66,97
7,20,20,29,43,67,98
8,20,20,30,44,68,99
9,20,20,30,44,69,101
10,20,20,31,45,69,102
11,21,21,31,46,71,104
12,21,21,32,47,72,106
13,21,21,32,47,73,107
14,22,22,33,48,74,109
15,22,22,33,48,75,110
16,22,22,33,49,76,112
17,23,23,34,50,77,113
18,23,23,34,50,78,114
19,23,23,35,51,79,116
20,23,23,35,52,80,117
21,24,24,36,53,82,121
22,24,24,37,54,83,122
23,25,25,37,54,84,124
24,25,25,38,55,85,125
25,25,25,38,56,86,127
26,26,26,38,56,87,128
27,26,26,39,57,88,130
28,26,26,39,58,89,131
29,27,27,40,58,90,133
30,27,27,40,59,91,134
31,28,28,42,61,94,139
32,28,28,42,62,95,140
33,28,28,43,62,96,142
34,29,29,43,63,98,143
35,29,29,44,64,99,145
36,29,29,44,65,100,147
37,30,30,45,65,101,148
38,30,30,45,66,102,150
39,30,30,45,67,103,152
40,31,31,46,67,104,153
41,32,32,49,71,110,162
42,33,33,49,72,111,164
43,33,33,50,73,113,166
44,33,33,50,74,114,167
45,34,34,51,74,115,169
46,34,34,51,75,116,171
47,35,35,52,76,118,173
48,35,35,52,77,119,175
49,35,35,53,78,120,176
50,36,36,53,78,121,178
51,38,38,57,83,129,189
52,38,38,57,84,130,191
53,39,39,58,85,131,193
54,39,39,58,86,133,195
55,39,39,59,87,134,197
56,40,40,60,88,135,199
57,40,40,60,88,137,201
58,41,41,61,89,138,203
59,41,41,61,90,139,205
60,41,41,62,91,141,207
61,44,44,66,97,149,220
62,44,44,67,98,151,222
63,45,45,67,99,152,224
64,45,45,68,99,154,226
65,46,46,68,100,155,228
66,46,46,69,101,157,230
67,47,47,70,102,158,233
68,47,47,70,103,160,235
69,47,47,71,104,161,237
70,48,48,72,105,163,239
71,51,51,76,112,173,254
72,51,51,77,113,174,256
73,52,52,78,114,176,258
74,52,52,78,115,177,261
75,53,53,79,116,179,263
76,53,53,80,117,181,266
77,54,54,80,118,182,268
78,54,54,81,119,184,270
79,55,55,82,120,185,273
80,55,55,82,121,187,275
81,58,58,87,128,198,292
82,59,59,88,129,200,294
83,59,59,89,131,202,297
84,60,60,90,132,203,299
85,60,60,91,133,205,302
86,61,61,91,134,207,304
87,61,61,92,135,209,307
88,62,62,93,136,210,309
89,62,62,94,137,212,312
90,63,63,94,138,214,314
91,67,67,100,147,226,333
92,67,67,101,148,228,336
93,68,68,102,149,230,338
94,68,68,102,150,232,341
95,69,69,103,151,234,344
96,69,69,104,152,236,347
97,70,70,105,154,237,349
98,70,70,106,155,239,352
99,71,71,106,156,241,355
100,71,71,107,157,243,357
