变量名,gemQualitySeqID,qualityNum,attrType1,attrNum1,attrType2,attrNum2,attrType3,attrNum3,attrType4,attrNum4,attrType5,attrNum5,attrType6,attrNum6
默认值,1,100,0,,0,,0,,0,,0,,0,
ID,卡牌索引,指数点,属性类型1,属性数值1,属性类型2,属性数值2,属性类型3,属性数值3,属性类型4,属性数值4,属性类型5,属性数值5,属性类型6,属性数值6
1,1,100,1,1%,,,,,,,,,,
2,1,200,7,1%,8,1%,,,,,,,,
3,1,300,1,1%,13,1%,7,1%,9,1%,8,1%,10,1%
4,1,400,1,2%,,,,,,,,,,
5,1,500,7,2%,8,2%,,,,,,,,
6,1,600,1,2%,13,2%,7,2%,9,2%,8,2%,10,2%
7,1,750,1,2%,,,,,,,,,,
8,1,900,7,2%,8,2%,,,,,,,,
9,1,1050,1,2%,13,2%,7,2%,9,2%,8,2%,10,2%
10,1,1200,1,3%,,,,,,,,,,
11,1,1350,7,3%,8,3%,,,,,,,,
12,1,1500,1,3%,13,3%,7,3%,9,3%,8,3%,10,3%
13,1,1650,1,4%,,,,,,,,,,
14,1,1800,7,4%,8,4%,,,,,,,,
15,1,1950,1,4%,13,4%,7,4%,9,4%,8,4%,10,4%
16,1,2200,1,5%,,,,,,,,,,
17,1,2450,7,5%,8,5%,,,,,,,,
18,1,2700,1,5%,13,5%,7,5%,9,5%,8,5%,10,5%
19,1,2950,1,5%,,,,,,,,,,
20,1,3200,7,5%,8,5%,,,,,,,,
21,2,100,1,1%,,,,,,,,,,
22,2,200,7,1%,8,1%,,,,,,,,
23,2,300,1,1%,13,1%,7,1%,9,1%,8,1%,10,1%
24,2,400,1,2%,,,,,,,,,,
25,2,500,7,2%,8,2%,,,,,,,,
26,2,600,1,2%,13,2%,7,2%,9,2%,8,2%,10,2%
27,2,750,1,2%,,,,,,,,,,
28,2,900,7,2%,8,2%,,,,,,,,
29,2,1050,1,2%,13,2%,7,2%,9,2%,8,2%,10,2%
30,2,1200,1,3%,,,,,,,,,,
31,2,1350,7,3%,8,3%,,,,,,,,
32,2,1500,1,3%,13,3%,7,3%,9,3%,8,3%,10,3%
33,2,1650,1,4%,,,,,,,,,,
34,2,1800,7,4%,8,4%,,,,,,,,
35,2,1950,1,4%,13,4%,7,4%,9,4%,8,4%,10,4%
36,2,2200,1,5%,,,,,,,,,,
37,2,2450,7,5%,8,5%,,,,,,,,
38,2,2700,1,5%,13,5%,7,5%,9,5%,8,5%,10,5%
39,2,2950,1,5%,,,,,,,,,,
40,2,3200,7,5%,8,5%,,,,,,,,
41,3,100,1,1%,,,,,,,,,,
42,3,200,7,1%,8,1%,,,,,,,,
43,3,300,1,1%,13,1%,7,1%,9,1%,8,1%,10,1%
44,3,400,1,2%,,,,,,,,,,
45,3,500,7,2%,8,2%,,,,,,,,
46,3,600,1,2%,13,2%,7,2%,9,2%,8,2%,10,2%
47,3,750,1,2%,,,,,,,,,,
48,3,900,7,2%,8,2%,,,,,,,,
49,3,1050,1,2%,13,2%,7,2%,9,2%,8,2%,10,2%
50,3,1200,1,3%,,,,,,,,,,
51,3,1350,7,3%,8,3%,,,,,,,,
52,3,1500,1,3%,13,3%,7,3%,9,3%,8,3%,10,3%
53,3,1650,1,4%,,,,,,,,,,
54,3,1800,7,4%,8,4%,,,,,,,,
55,3,1950,1,4%,13,4%,7,4%,9,4%,8,4%,10,4%
56,3,2200,1,5%,,,,,,,,,,
57,3,2450,7,5%,8,5%,,,,,,,,
58,3,2700,1,5%,13,5%,7,5%,9,5%,8,5%,10,5%
59,3,2950,1,5%,,,,,,,,,,
60,3,3200,7,5%,8,5%,,,,,,,,
61,4,100,1,1%,,,,,,,,,,
62,4,200,7,1%,8,1%,,,,,,,,
