变量名,gemPosSeqID,gemPosNo,openCondition
默认值,1,1,<>
ID,宝石槽索引类型,宝石槽序号,开启条件参数 (1战队等级 2精灵品质)
,,,
1,1,1,<1;10>
2,1,2,<1;10>
3,1,3,<1;68>
4,1,4,<1;72>
5,1,5,<1;75>
6,1,6,<1;70>
7,1,7,<1;67>
8,1,8,<1;10>
9,1,9,<1;10>
10,2,1,<1;10>
11,2,2,<1;10>
12,2,3,<1;68>
13,2,4,<1;72>
14,2,5,<1;75>
15,2,6,<1;70>
16,2,7,<1;67>
17,2,8,<1;10>
18,2,9,<1;10>
19,3,1,<1;10>
20,3,2,<1;10>
21,3,3,<1;68>
22,3,4,<1;72>
23,3,5,<1;75>
24,3,6,<1;70>
25,3,7,<1;67>
26,3,8,<1;10>
27,3,9,<1;10>
28,4,1,<1;10>
29,4,2,<1;10>
30,4,3,<1;68>
31,4,4,<1;72>
32,4,5,<1;75>
33,4,6,<1;70>
34,4,7,<1;67>
35,4,8,<1;10>
36,4,9,<1;10>
37,5,1,<1;10>
38,5,2,<1;10>
39,5,3,<1;68>
40,5,4,<1;72>
41,5,5,<1;75>
42,5,6,<1;70>
43,5,7,<1;67>
44,5,8,<1;10>
45,5,9,<1;10>
