变量名,hp,mp1,initMp1,hpRecover,mp1Recover,mp2Recover,damage,specialDamage,defence,specialDefence,defenceIgnore,specialDefenceIgnore,speed,strike,strikeDamage,strikeResistance,block,breakBlock,blockPower,hit,dodge,damageHit,damageDodge,damageAdd,damageSub,ultimateAdd,ultimateSub,damageDeepen,damageReduce,suckBlood,rebound,cure,natureRestraint,controlPer,immuneControl
默认值,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15000,1,1,1,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
角色等级,HP,MP1,initMp1,HP回复,MP1回复,预留,物理攻击,特殊攻击,物理防御力,特殊防御力,物理防御忽视,特殊防御忽视,先手值,会心一击,会心一击伤害,会心一击抗性,格挡等级10000,破格挡等级10000,格挡强度10000,命中,闪避,伤害命中,伤害闪避,伤害加成10000,伤害减免10000,必杀加成,必杀抗性,伤害加深,伤害降低,吸血,反弹,治疗效果,属性克制,控制率,免控率
1,340,1000,0,0,0,0,134,134,41,41,0,0,11,,,,,,,,,,,,,,,,,,,,,,
2,456,1000,0,0,0,0,147,147,45,45,0,0,12,,,,,,,,,,,,,,,,,,,,,,
3,572,1000,0,0,0,0,160,160,48,48,0,0,13,,,,,,,,,,,,,,,,,,,,,,
4,688,1000,0,0,0,0,172,172,52,52,0,0,14,,,,,,,,,,,,,,,,,,,,,,
5,804,1000,0,0,0,0,185,185,55,55,0,0,15,,,,,,,,,,,,,,,,,,,,,,
6,920,1000,0,0,0,0,198,198,59,59,0,0,16,,,,,,,,,,,,,,,,,,,,,,
7,1056,1000,0,0,0,0,211,211,63,63,0,0,17,,,,,,,,,,,,,,,,,,,,,,
8,1192,1000,0,0,0,0,224,224,67,67,0,0,18,,,,,,,,,,,,,,,,,,,,,,
9,1328,1000,0,0,0,0,237,237,72,72,0,0,19,,,,,,,,,,,,,,,,,,,,,,
10,1464,1000,0,0,0,0,250,250,76,76,0,0,20,,,,,,,,,,,,,,,,,,,,,,
11,1600,1000,0,0,0,0,263,263,80,80,0,0,21,,,,,,,,,,,,,,,,,,,,,,
12,1758,1000,0,0,0,0,277,277,84,84,0,0,22,,,,,,,,,,,,,,,,,,,,,,
13,1916,1000,0,0,0,0,291,291,88,88,0,0,23,,,,,,,,,,,,,,,,,,,,,,
14,2074,1000,0,0,0,0,304,304,91,91,0,0,24,,,,,,,,,,,,,,,,,,,,,,
15,2232,1000,0,0,0,0,318,318,95,95,0,0,25,,,,,,,,,,,,,,,,,,,,,,
16,2390,1000,0,0,0,0,332,332,99,99,0,0,26,,,,,,,,,,,,,,,,,,,,,,
17,2572,1000,0,0,0,0,346,346,103,103,0,0,27,,,,,,,,,,,,,,,,,,,,,,
18,2754,1000,0,0,0,0,360,360,107,107,0,0,28,,,,,,,,,,,,,,,,,,,,,,
19,2936,1000,0,0,0,0,373,373,112,112,0,0,30,,,,,,,,,,,,,,,,,,,,,,
20,3118,1000,0,0,0,0,387,387,116,116,0,0,31,,,,,,,,,,,,,,,,,,,,,,
