﻿"﻿变量名",roleId,level,_beizhu,skills,fight_soul,roleForce,star,activeSkill,classify,hp,mp1,mp2,hpRecover,mp1Recover,mp2Recover,damage,specialDamage,defence,specialDefence,defenceIgnore,specialDefenceIgnore,speed,strike,strikeDamage,strikeResistance,block,breakBlock,blockPower,dodge,hit,damageAdd,damageSub,ultimateAdd,ultimateSub,damageDeepen,damageReduce,suckBlood,rebound,cure,natureRestraint
默认值,,1,,{},{},,5,0,0,1,1000,1,1,1,1,1,1,1,1,1,1,1,1,15000,1,1,1,1,1,10000,1,1,0,0,1,1,0,0,1,1
ID,角色id,等级,备注信息,技能(技能id=等级;技能id=等级...),斗魂,势力,星级,主动技能激活,标识,HP,MP1,MP2,HP回复,MP1回复,MP2回复,物理攻击,特殊攻击,物理防御力,特殊防御力,物理防御忽视,特殊防御忽视,先手值,会心一击,会心一击伤害,会心一击抗性,格挡等级10000,破格挡等级10000,格挡强度10000,闪避,命中,伤害加成10000,伤害减免10000,必杀加成,必杀抗性,伤害加深,伤害降低,吸血,反弹,治疗效果,属性克制
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10001,25,Frog Seeds,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
2,10002,25,Froggrass,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
3,10003,25,Frog Flower,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
4,10011,25,Charmander,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
5,10012,25,fire dinosaur,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
6,10013,25,Charizard,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
7,10014,25,Super Charizard X,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,
