﻿变量名,spineName,action,res,delay
默认值,,,,0
ID,spine资源路径,动作名,音效资源,延迟
,,,,
1,effect/shuzisaoguang.skel,effect,circle.mp3,
2,koudai_gonghuixunlian/gonghuixunlian.skel,fangguang2,circle.mp3,
3,effect/nuizhifankui.skel,effect,circle.mp3,
4,koudai_gonghuixunlian/gonghuixunlian.skel,fangguang2,circle.mp3,
5,haogan/haogan.skel,effect,square.mp3,
6,level/jiesuanshengli.skel,jiesuan_shenglitu,new_advance_suc.mp3,
7,diaoyuchenggong/diaoyuchenggong.skel,effect,item_gain.mp3,
8,level/jiesuanshengli.skel,xjiesuan_juexingzi,new_advance_suc.mp3,
9,level/jiesuanshengli.skel,xjiesuan_jihuozi,new_advance_suc.mp3,
10,level/jiesuanshengli.skel,xjiesuan_shengjizi,new_advance_suc.mp3,
11,level/zhandoujiangli.skel,zhandoujiangli,pvp_win.mp3,
12,level/zhandoujiangli.skel,zhandoujiangli2,battle_false.mp3,
13,random_tower/kaishishilian.skel,effect,yitaidingceng.mp3,
14,effect/chongsheng.skel,effect,xiedaichongsheng.mp3,
15,tanxianchoujiang/jixiegongchang.skel,choujiang,tanxianqixb.mp3,
16,level/saodangchenggong.skel,tiaozhanchenggong,new_advance_suc.mp3,
17,level/saodangchenggong.skel,saodangchenggong,new_advance_suc.mp3,
18,effect/peiyanghuhuan.skel,effect,jinglingjc.mp3,
19,fushichouqu/fuwenfenjie.skel,effect,fushifj.mp3,
20,daoguanhuizhang/dghz.skel,huo_effect,huizhangdh.mp3,
21,daoguanhuizhang/dghz.skel,long_effect,huizhangdh.mp3,
22,daoguanhuizhang/dghz.skel,shui_effect,huizhangdh.mp3,
23,daoguanhuizhang/dghz.skel,yan_effect,huizhangdh.mp3,
24,daoguanhuizhang/dghz.skel,cao_effect,huizhangdh.mp3,
25,daoguanhuizhang/dghz.skel,e_effect,huizhangdh.mp3,
26,daoguanhuizhang/dghz.skel,yao_effect,huizhangdh.mp3,
27,daoguanhuizhang/dghz.skel,du_effect,huizhangdh.mp3,
28,effect/xiedaidaoju.skel,effect,shipinck.mp3,
29,diaoyu/diaoyu.skel,effect_paoxian,diaoyushaigan.mp3,
30,battlearena/shishipipei.skel,kaimen_effect,shishippqiehuan.mp3,
31,battlearena/shishipipei.skel,guanmen_effect,shishippqiehuan.mp3,
32,fushichouqu/ryl.skel,effect_jinbi10,fushicqsc.mp3,
33,fushichouqu/ryl.skel,effect_jinbi1,fushicqdc.mp3,
34,fushichouqu/ryl.skel,effect_zuan10,fushicqsc.mp3,
35,fushichouqu/ryl.skel,effect_zuan1,fushicqdc.mp3,
36,effect/xianshichouka.skel,effect_danchou,hunxiackdc.mp3,
37,effect/xianshichouka.skel,effect_shilianchou,hunxiacksc.mp3,
38,diaoyu/diaoyu.skel,shougan2_loop,diaoyuhuigan.mp3,
