"﻿变量名",type,background,icon,rTitle,zrTitleBg,zrTitle,ruleJson,huodongType,name,name_tw,name_en,name_vn,name_kr,desc,desc_tw,desc_en,desc_vn,desc_kr,openTimeDesc,openTimeDesc_tw,openTimeDesc_en,openTimeDesc_vn,openTimeDesc_kr,paramMap,gateSeq,gateSeq2,gateSeq_tw,gateSeq2_tw,gateSeq_en,gateSeq2_en,gateSeq_kr,gateSeq2_kr,gateLimitSeq,times,openLevel,openType,beginDate,beginTime,beginTime_kr,beginTime_en,endDate,endTime,endTime_kr,endTime_en,openWeekDay,openDuration,awardDesc,intervalCD,sortValue,rankShow,languages
默认值,"""""",YXKPT/wuseer.png,ICON/SL-exp.png,ICON/SL-exp.png,"""""",ICON/SL-exp.png,ICON/SL-exp.png,0,,,,,,,,,,,,,,,,{},<>,<>,<>,<>,<>,<>,<>,<>,<>,1,1,1,20160101,0,0,0,20300101,0,0,0,<1;2;3;4;5;6;7>,1,<>,0,,,<cn;tw;en;vn;th;kr>
ID,唯一标识,活动图标,活动图标2,活动title,活动title,活动title,活动规则对应json,活动关卡类型1:金币2:经验3:幻象4:攻防技,名称,名稱,名称,名称_越南,名称_韩,活动简介,活動簡介,活动简介,活动简介_越南,活动简介_韩,活动开放日期简介,活動開放日期簡介,活动开放日期简介,活动开放日期简介_越南,活动开放日期简介_韩,活动参数,活动关卡序列1,活动关卡序列2,活动关卡序列1,活动关卡序列2,活动关卡序列1,活动关卡序列2,活动关卡序列1,活动关卡序列2,极限模式,周期内可挑战次数,开放等级,开放周期,开始日期,开始时间,开始时间,开始时间,截止日期,结束时间,结束时间,结束时间,周期开启序列(周期活动填),持续小时,活动奖励序列,冷却时间,显示等级,战斗评价节点,语言区域
1,gold,city/adventure/selectgate/img_bg1.png,city/adventure/selectgate/img_jbfb@.png,00ShuMa/TZFB_res/tz_word_titlejb.png,00ShuMa/TZFB_res/tz_bg_btk.png,00ShuMa/TZFB_res/tz_word_titlejb.png,TZFB_GZ_JB_ui.json,1,Coin dungeon,金幣活動本,Coin dungeon,Kim tệ phó bản,골드 코인 던전,Plenty of coin item can be obtained,可獲取大量金幣道具,Plenty of coin item can be obtained,Có thể lấy được lấy đại lượng kim tệ đạo cụ,대량의 골드 코인 아이템 획득 가능,open every day,全天開放,Daily open,Mỗi ngày mở ra,매일 개방,,<60001;60002;60003;60004;60005;60006;60007>,,<60001;60002;60003;60004;60005;60006>,,<60001;60002;60003;60004;60005;60006>,,<60001;60002;60003;60004;60005;60006>,,<60010;60011;60012;60013;60014;60015;60016;60017;60018;60019;60020;60021;60022;60023;60024;60025;60026;60027;60028;60029;60030;60031;60032;60033;60034;60035;60036;60037;60038;60039;60040;60041;60042;60043;60044;60045;60046;60047;60048;60049;60050;60051;60052;60053;60054;60055;60056;60057;60058;60059>,2,18,2,,500,0,0,,500,0,0,<1;2;3;4;5;6;7>,24,<510;511;512;513;514>,600,2,<35;70;85;100>,
2,exp,city/adventure/selectgate/img_bg2.png,city/adventure/selectgate/img_ds@.png,00ShuMa/TZFB_res/tz_word_titlejy.png,00ShuMa/TZFB_res/tz_bg_btk.png,00ShuMa/TZFB_res/tz_word_titlejy.png,TZFB_GZ_JY_ui.json,2,EXP Dungeon,經驗活動本,EXP Dungeon,Kinh nghiệm phó bản,경험치 던전,You can gain massive EXP Potions,可獲取大量經驗藥水,You can gain massive EXP Potions,Có thể lấy được lấy đại lượng kinh nghiệm dược thủy,대량의 경험치 물약 획득 가능,open every day,全天開放,Daily open,Mỗi ngày mở ra,매일 개방,,<60101;60102;60103;60104;60105;60106;60107>,,<60101;60102;60103;60104;60105;60106>,,<60101;60102;60103;60104;60105;60106>,,<60101;60102;60103;60104;60105;60106>,,<60110;60111;60112;60113;60114;60115;60116;60117;60118;60119;60120;60121;60122;60123;60124;60125;60126;60127;60128;60129;60130;60131;60132;60133;60134;60135;60136;60137;60138;60139;60140;60141;60142;60143;60144;60145;60146;60147;60148;60149;60150;60151;60152;60153;60154;60155;60156;60157;60158;60159>,2,26,2,,500,0,0,,500,0,0,<1;2;3;4;5;6;7>,24,<11;12;13;14>,600,3,<7;14;17;20>,
3,gift,city/adventure/selectgate/img_bg3.png,city/adventure/selectgate/img_lwfb@.png,00ShuMa/TZFB_res/huanxiang.png,,00ShuMa/TZFB_res/hx_title.png,TZFB_GZ_HX_ui.json,3,Gift Dungeon,禮物副本,Gift Dungeon,Lễ vật phó bản,선물 던전,Obtain Friendship Gift,礼物副本,Obtain Friendship Gift,404404,호감도 선물 획득 가능,open every day,全天開放,Daily open,Mỗi ngày mở ra,매일 개방,,<60201;60202;60203;60204;60205;60206;60207>,<60251;60252;60253;60254;60255;60256;60257>,<60201;60202;60203;60204;60205;60206>,<60251;60252;60253;60254;60255;60256>,<60201;60202;60203;60204;60205;60206>,<60251;60252;60253;60254;60255;60256>,<60201;60202;60203;60204;60205;60206>,<60251;60252;60253;60254;60255;60256>,,2,30,2,,500,0,0,,500,0,0,<1;2;3;4;5;6;7>,24,<11;12;13;14>,600,4,,
4,frag,city/adventure/selectgate/img_bg4.png,city/adventure/selectgate/img_spfb@.png,00ShuMa/TZFB_res/gongfang.png,00ShuMa/TZFB_res/tz_bg_btk.png,00ShuMa/TZFB_res/gongfang.png,TZFB_GZ_GFJ_ui.json,4,Shard Dungeon,碎片副本,Shard Dungeon,Mảnh vỡ phó bản,조각 던전,To get Gifts and Shards,碎片副本,To get Gifts and Shards,404404,선물과 조각 획득 가능,open every day,全天開放,Daily open,Mỗi ngày mở ra,매일 개방,,,,,,,,,,,2,36,2,,500,0,0,,500,0,0,<1;2;3;4;5;6;7>,24,<11;12;13;14>,600,5,,
5,event,city/adventure/selectgate/img_bg5.png,city/adventure/selectgate/img_wyfb.png,,,,,5,Snorkelling challenge,卡比獸挑戰,,404404,잠만보 도전,Snorlax fragments can be obtained,可獲取卡比獸碎片,,404404,잠만보 조각 획득 가능,Open during the May Day event,五一活動期間開放,,404404,근로자의 날 이벤트 기간 개방,,<60601;60602;60603;60604;60605;60606>,,<60601;60602;60603;60604;60605;60606>,,<60601;60602;60603;60604;60605;60606>,,<60601;60602;60603;60604;60605;60606>,,,3,24,0,20220501,500,0,0,20220508,500,0,0,<1;2;3;4;5;6;7>,168,<510;511;512;513;514>,600,1,,<cn>
6,event,city/adventure/selectgate/img_bg6.png,city/adventure/selectgate/img_sdjfb.png,,,,,6,Christmas challenge,404404,404404,404404,404404,christmas challenge,404404,404404,404404,404404,Open during Christmas event,404404,404404,404404,404404,{mxRes=city/main/icon_mxsdm@.png;tipsRes=city/main/tips_mxsdj@.png;fbwkRes=city/adventure/activityselect/img_rcfb_sdwk@.png},<60701;60702;60703;60704;60705;60706>,,<60701;60702;60703;60704;60705;60706>,,<60701;60702;60703;60704;60705;60706>,,<60701;60702;60703;60704;60705;60706>,,,3,24,0,20221223,500,0,0,20230104,500,0,0,<1;2;3;4;5;6;7>,288,<510;511;512;513;514>,600,1,,<cn>
7,event,city/adventure/selectgate/img_bg7.png,city/adventure/selectgate/img_ldjfb.png,,,,,5,labor day challenge,,,,,Fossil Pterosaur fragments can be obtained,可獲取化石翼龍碎片,,404404,잠만보 조각 획득 가능,Open during the May Day event,五一活動期間開放,,404404,,,<60801;60802;60803;60804;60805;60806>,,<60801;60802;60803;60804;60805;60806>,,<60801;60802;60803;60804;60805;60806>,,<60801;60802;60803;60804;60805;60806>,,,3,24,0,20220430,500,0,0,20230510,500,0,0,<1;2;3;4;5;6;7>,240,<510;511;512;513;514>,600,1,,<cn>
8,event,city/adventure/selectgate/img_bg8.png,city/adventure/selectgate/img_gqhdfb.png,,,,,5,scorching flame monkey,,,,,Small flame monkey fragments can be obtained,可獲取小火焰猴碎片,,404404,404404,Open during the eleventh event,十一活動期間開放,,404404,,{tipsRes=city/main/tips_yslyh.png;fbwkRes=city/adventure/activityselect/img_rcfb_gqwk@.png},<60901;60902;60903;60904;60905;60906>,,<60901;60902;60903;60904;60905;60906>,,<60901;60902;60903;60904;60905;60906>,,<60901;60902;60903;60904;60905;60906>,,,3,24,0,20220930,500,0,0,20231011,500,0,0,<1;2;3;4;5;6;7>,264,<510;511;512;513;514>,600,1,,<cn>
