变量名,_beizhu,fragID,cardID,languages
默认值,,,,<cn;tw;en;vn;th;kr>
ID,备注,碎片id,卡牌id,语言区域
,,,,
1,Frog Seeds,20001,1,
2,Froggrass,20001,2,
3,Frog Flower,20001,3,
11,Charmander,20011,11,
12,fire dinosaur,20011,12,
13,Charizard,20011,13,
21,Squirrel,20021,21,
22,Cammy Turtle,20021,22,
23,Blastoise,20021,23,
31,green caterpillar,20031,31,
33,Butterfly,20031,33,
41,Big Needle Bee,20041,41,
51,Bobo,20051,51,
52,bibi bird,20051,52,
53,Big bird,20051,53,
61,Little Lada,20061,61,
62,Rada,20061,62,
71,sparrow,20071,71,
72,Toucan,20071,72,
81,Arbor snake,20081,81,
82,Arbor,20081,82,
91,Pichu,20091,91,
92,pikachu,20091,92,
93,Raichu,20091,93,
101,Mountain rat,20101,101,
102,Chuanshanwang,20101,102,
111,Nidolan,20111,111,
112,Nidorna,20111,112,
113,Queen Nido,20111,113,
121,Nidolan,20121,121,
122,Nitorino,20121,122,
123,King Nido,20121,123,
131,skin baby,20131,131,
132,Pippi,20131,132,
133,Pixie,20131,133,
151,Baby Ding,20151,151,
152,Fat Ding,20151,152,
153,Fat Keding,20151,153,
171,walking grass,20171,171,
172,stinky flower,20171,172,
173,Rafflesia,20171,173,
191,Hairball,20191,191,
192,moru moth,20191,192,
221,up to duck,20221,221,
222,Gotha Duck,20221,222,
231,monkey monster,20231,231,
232,Fire Monkey,20231,232,
241,katti dog,20241,241,
242,wind speed dog,20241,242,
261,casey,20261,261,
262,Yongkila,20261,262,
263,Hu Di,20261,263,
271,wrist strength,20271,271,
272,Hao Li,20271,272,
273,Strange power,20271,273,
281,trumpet buds,20281,281,
282,Mouth flower,20281,282,
283,big food flower,20281,283,
301,Small fist stone,20301,301,
302,Rumble stone,20301,302,
303,Rumble Rock,20301,303,
331,Magneto,20331,331,
332,Three in One Magneto,20331,332,
333,Magneto,20331,333,
341,Scallion Duck,20341,341,
351,doodle,20351,351,
352,Duduli,20351,352,
371,smelly mud,20371,371,
372,smelly mud,20371,372,
391,Ghost,20391,391,
392,ghost stone,20391,392,
393,Gengar,20391,393,
401,rock snake,20401,401,
402,steel snake,20401,402,
451,Caracalla,20451,451,
452,Gala Gala,20451,452,
461,dauntless boy,20461,461,
462,flying legs,20461,462,
463,Kuaiquan Lang,20461,463,
464,War dancer,20461,464,
471,big tongue,20471,471,
472,Big tongue licking,20471,472,
481,gas bomb,20481,481,
482,double bomb gas,20481,482,
491,one horned rhino,20491,491,
492,Rhinoceros,20491,492,
493,Super Armored Rhinoceros,20491,493,
541,horned goldfish,20541,541,
542,goldfish king,20541,542,
551,starfish,20551,551,
552,jewel starfish,20551,552,
571,flying mantis,20571,571,
572,Giant Pincer Mantis,20571,572,
591,Zap monster,20591,591,
592,Electrocute,20591,592,
593,Electric Shock Monster,20591,593,
601,Duckbill baby,20601,601,
602,Platypus,20601,602,
603,Platypus,20601,603,
631,Gyarados,20631,631,
691,fossil helmet,20691,691,
692,sickle helmet,20691,692,
711,Snorkelling,20711,711,
