变量名,type,_yyId,card,helditem,item,desc
默认值,1,,,,,<>
ID,标签类型(1金币2钻石3寻宝4携带道具池5限时神兽6限时抽卡9符石金币10符石钻石11符石限定抽取12芯片金币13芯片钻石）,活动ID,卡牌id,携带道具id,物品id,概率描述language字段加百分比前数字的格式
1,1,,,,<100;11;12;13;14;15;20001;20011;20021;20031;20041;20051;20061;20071;20081;20091;20101;20111;20121;20131;20151;20161;20171;20191;20221;20231;20241;20261;20271;20281;20301;20331;20341;20351;20371;20391;20401;20451;20461;20471;20481;20491;20541;20551;20571;20591;20601;20631;20691;20721;20731;20741;20781;20791;20801;20881;20891;21071;21081;21171;21221;21231;21241;21251;21291;21311;21351;21391;21421;21441;21501;21611;21801;21811;21841;21851;21861;21911;21921;21931;22011;22031;22071;22271;22301;22471;22481;22591;22611;22631;22681;22721;22841;22871;22891;22921;22922;22961;22991;23001;23011;23021;23141;23151;23281;23291;23341;23351;23411;23431;23471;23501;23511;23541;23561;23591;23661;5000;607;608;609;610;611;612;613;614;615;616;617;618;619;620;621;622;623;gold>,<<rarityFrag2;40>;<normalItem;60>>
2,2,,<101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,,<<rarityCard2;11>;<rarityCard1;36>;<rarityCard0;53>>
3,3,,,,<4000;4011;4012;4013;4021;4022;4023;4031;4032;4033;4041;4042;4043;4051;4052;4053;4061;4062;4063;4064;4071;4072;4073;4074;4081;4082;4083;4084;4085;4092;4093;4094;4095;4096>,<<rarityTanxian4;5>;<rarityTanxian3;15>;<rarityTanxian2;18>;<rarityTanxian1;30>;<tanxianItem;32>>
4,4,,,<30101;30102;30103;30104;30105;30106;30201;30202;30203;30204;30205;30206;30207;30208;30209;31201;31202;30301;30302;30303;30304;30305;30306;30307;30308;30309;30310;30311;30312;30313;30314;30315;30316;30317>,<501;200;201;202;203;204;205;210;211;212;213;214;215;220;221;222;223;224;225;230;231;232;233;234;235;2101;2102;2103;451;452;19;850;851;gold>,<<starItem;10>;<rarityHeldItem2;0.5>;<rarityHeldItem1;4>;<rarityHeldItem0;8>;<juexingItem;0.8>;<normalItem;76.7>>
5,5,100032,<1071;11;1171;1221;1231;1241;1251;1291;131;1391;1421;1441;1501;1611;1801;1811;1841;1861;2011;2071;21;2271;2301;2481;2631;271;281;2871;2921;2922;301;3011;3021;3141;3281;3291;331;3341;3351;341;3411;3431;3471;3501;3541;371;391;461;471;481;51;551;571;591;601;631;721;731;741;781;791;801;881;91;1;261>,,<502;521;21971;21891>,
6,6,100012,<1071;11;1171;1221;1231;1241;1251;1291;131;1391;1421;1441;1501;1611;1801;1811;1841;1861;2011;2071;21;2271;2301;2481;2631;271;281;2871;2921;2922;301;3011;3021;3141;3281;3291;331;3341;3351;341;3411;3431;3471;3501;3541;371;391;461;471;481;51;551;571;591;601;631;721;731;741;781;791;801;881;91;1;261>,,<502;521;21971;21891>,
7,6,100022,<1;11;21;3631;2233>,,<11;12;13;14;100;606;607;608;609;610;611;612;613;614;615;616;617;618;619;620;621;622;623;800;801>,
8,7,100037,<1;21;11;571;591;601;631;691;721;731;741;753;791;891;1171;1221;1231;1241;1251;1291;1351;1421;1611;2011;2271;2481;3281;3291;3301;3471;3541>,,,<<rarityCard2;11>;<rarityCard1;36>;<rarityCard0;53>>
