变量名,_beizhu,itemWeightMap,itemCount,costMap,vipStart,vipWeight,beginDate,endDate,position,levelRange,discountDesc,discountDesc_tw,discountDesc_en,discountDesc_kr,limitType,limitTimes,showUnable
默认值,,{},0,{rmb=0},0,1,0,20990101,0,<1;150>,"""""","""""","""""","""""",0,0,FALSE
商店ID,备注,商品ID表({ID=权重;}),商品个数,消耗积分,起始VIP等级,刷新几率权重(-1=必定出现),开始贩售时间,结束贩售时间,商店栏位,等级限制,折扣描述,折扣描述,折扣描述,折扣描述,限购周期类型(1-日限购；2-周限购；3-月限购；4-永久限购),限购数量,未解锁时是否可见
1,abandoned,{20001=10},1,{gold=50000},0,0,,,0,,8折,8折,20%off,20%off,,,
2,abandoned,{20001=10},1,{gold=100000},0,0,,,0,,8折,8折,20%off,20%off,,,
3,abandoned,{20001=10},1,{rmb=50},0,0,,,0,,8折,8折,20%off,20%off,,,
4,abandoned,{20001=10},1,{rmb=100},0,0,,,0,,8折,8折,20%off,20%off,,,
,,,,,,,,,,,8折,8折,20%off,20%off,,,
11,abandoned,{20001=10},1,{gold=120000},0,0,,,1,,8折,8折,20%off,20%off,,,
12,abandoned,{20001=10},1,{gold=60000},0,0,,,1,,8折,8折,20%off,20%off,,,
,,,,,,,,,,,8折,8折,20%off,20%off,,,
21,abandoned,{20001=10},1,{gold=50},0,0,,,2,,8折,8折,20%off,20%off,,,
,,,,,,,,,,,8折,8折,20%off,20%off,,,
31,abandoned,{20001=10},1,{rmb=120},0,0,,,3,,8折,8折,20%off,20%off,,,
,,,,,,,,,,,,,,,,,
41,abandoned,{20001=10},1,{gold=20000},0,0,,,4,,,,,,,,
,,,,,,,,,,,,,,,,,
51,abandoned,{20001=10},1,{gold=20},0,0,,,5,,,,,,,,
,,,,,,,,,,,,,,,,,
101,abandoned,{20001=10},1,{gold=50000},0,0,,,6,,,,,,,,
,,,,,,,,,,,,,,,,,
201,abandoned,{20001=10},1,{gold=75000},,0,,,7,,,,,,,,
,,,,,,,,,,,,,,,,,
301,abandoned,{20001=10},1,{gold=75000},,0,,,8,,,,,,,,
,,,,,,,,,,,,,,,,,
401,abandoned,{20001=10},1,{gold=75000},,0,,,9,,,,,,,,
,,,,,,,,,,,,,,,,,
1001,20% Off Coins Gems 21,{5001=100;5002=100;5003=100},10,{gold=60000},,330,,,0,<1;27>,8折,8折,20%off,20%off,,,
1002,20% Off Coins Gems 22,{5004=100;5005=100;5006=100},10,{gold=60000},,330,,,0,<1;39>,8折,8折,20%off,20%off,,,
1003,20% Off Coins Gems 31,{5007=100;5008=100;5009=100},10,{gold=60000},,330,,,0,<1;49>,8折,8折,20%off,20%off,,,
1004,20% Off Coins Gems 32,{5010=100;5011=100;5012=100},10,{gold=72000},,330,,,0,<28;59>,8折,8折,20%off,20%off,,,
1005,20% Off Coins Gems 33,{5013=100;5014=100;5015=100},10,{gold=84000},,330,,,0,<40;69>,8折,8折,20%off,20%off,,,
1006,20% Off Coins Gems 41,{5016=100;5017=100;5018=100},10,{gold=96000},,330,,,0,<50;79>,8折,8折,20%off,20%off,,,
1007,20% off coins and gems 42,{5019=100;5020=100;5021=100},30,{gold=324000},,330,,,0,<60;84>,8折,8折,20%off,20%off,,,
1008,20% off coins and gems 51,{5022=100;5023=100;5024=100},40,{gold=480000},,330,,,0,<70;99>,8折,8折,20%off,20%off,,,
1009,20% off coins and gems 52,{5025=100;5026=100;5027=100},50,{gold=660000},,330,,,0,<80;104>,8折,8折,20%off,20%off,,,
1010,20% off coins and gems 53,{5028=100;5029=100;5030=100},60,{gold=960000},,330,,,0,<85;109>,8折,8折,20%off,20%off,,,
1011,20% off coins and gems 54,{5031=100;5032=100;5033=100},70,{gold=1316000},,330,,,0,<95;114>,8折,8折,20%off,20%off,,,
1012,20% off coins and gems 55,{5034=100;5035=100;5036=100},60,{gold=1104000},,330,,,0,<100;119>,8折,8折,20%off,20%off,,,
1013,20% off coins and gems 61,{5037=100;5038=100;5039=100},60,{gold=1120000},,330,,,0,<105;124>,8折,8折,20%off,20%off,,,
1014,20% off coins and gems 62,{5040=100;5041=100;5042=100},60,{gold=1152000},,330,,,0,<110;129>,8折,8折,20%off,20%off,,,
1015,20% off coins and gems 63,{5043=100;5044=100;5045=100},60,{gold=1200000},,330,,,0,<115;134>,8折,8折,20%off,20%off,,,
1016,20% off coins and gems 64,{5046=100;5047=100;5048=100},60,{gold=1264000},,330,,,0,<120;139>,8折,8折,20%off,20%off,,,
,,,,,,,,,,,,,,,,,
1101,Blue Food - Gold Coins,{607=100;610=100;613=100;616=100;619=100;622=100},8,{gold=120000},0,1000,,,1,,,,,,,,
1102,Blue food - 20% off gold coins,{607=100;610=100;613=100;616=100;619=100;622=100},8,{gold=96000},0,500,,,1,,8折,8折,20%off,20%off,,,
1103,Blue food - 20% off gold coins,{607=100;610=100;613=100;616=100;619=100;622=100},8,{gold=24000},0,300,,,1,,2折,2折,80%off,80%off,,,
1104,master ball,{525=100},1,{rmb=150},0,200,,,1,,,,,,,,
,,,,,,,,,,,,,,,,,
1201,13 Qualification - Shard Diamond 1,{20261=100;20331=100;20391=100;20491=100;20571=100;20591=100;20601=100;20631=100;20721=40;20731=40;20741=40;20881=100;21071=100;21081=40;21171=100;21221=40;21231=40;21241=40;21251=40;21291=100;21311=40;21391=100;21421=100;21501=100;21811=100;21841=100;22721=100;23021=100;23141=100;23351=100;23411=100;23541=100;20241=100;20401=100;22991=100},1,{rmb=50},0,100,,,3,,,,,,,,
1202,13 Qualification - Shard Diamond 1,{20261=100;20331=100;20391=100;20491=100;20571=100;20591=100;20601=100;20631=100;20721=40;20731=40;20741=40;20881=100;21071=100;21081=40;21171=100;21221=40;21231=40;21241=40;21251=40;21291=100;21311=40;21391=100;21421=100;21501=100;21811=100;21841=100;22721=100;23021=100;23141=100;23351=100;23411=100;23541=100;20241=100;20401=100;22991=100},2,{rmb=100},0,100,,,3,,,,,,,,
1203,13 Qualification - Shard Diamond 1,{20261=100;20331=100;20391=100;20491=100;20571=100;20591=100;20601=100;20631=100;20721=40;20731=40;20741=40;20881=100;21071=100;21081=40;21171=100;21221=40;21231=40;21241=40;21251=40;21291=100;21311=40;21391=100;21421=100;21501=100;21811=100;21841=100;22721=100;23021=100;23141=100;23351=100;23411=100;23541=100;20241=100;20401=100;22991=100},5,{rmb=250},0,100,,,3,,,,,,,,
,,,,,,,,,,,,,,,,,
1211,13 Qualification - Fragment Diamond 1-20% off,{20261=100;20331=100;20391=100;20491=100;20571=100;20591=100;20601=100;20631=100;20721=40;20731=40;20741=40;20881=100;21071=100;21081=40;21171=100;21221=40;21231=40;21241=40;21251=40;21291=100;21311=40;21391=100;21421=100;21501=100;21811=100;21841=100;22721=100;23021=100;23141=100;23351=100;23411=100;23541=100;20241=100;20401=100;22991=100},1,{rmb=40},0,50,,,3,,8折,8折,20%off,20%off,,,
1212,13 Qualification - Fragment Diamond 1-20% off,{20261=100;20331=100;20391=100;20491=100;20571=100;20591=100;20601=100;20631=100;20721=40;20731=40;20741=40;20881=100;21071=100;21081=40;21171=100;21221=40;21231=40;21241=40;21251=40;21291=100;21311=40;21391=100;21421=100;21501=100;21811=100;21841=100;22721=100;23021=100;23141=100;23351=100;23411=100;23541=100;20241=100;20401=100;22991=100},2,{rmb=80},0,50,,,3,,8折,8折,20%off,20%off,,,
1213,13 Qualification - Fragment Diamond 1-20% off,{20261=100;20331=100;20391=100;20491=100;20571=100;20591=100;20601=100;20631=100;20721=40;20731=40;20741=40;20881=100;21071=100;21081=40;21171=100;21221=40;21231=40;21241=40;21251=40;21291=100;21311=40;21391=100;21421=100;21501=100;21811=100;21841=100;22721=100;23021=100;23141=100;23351=100;23411=100;23541=100;20241=100;20401=100;22991=100},5,{rmb=200},0,50,,,3,,8折,8折,20%off,20%off,,,
,,,,,,,,,,,,,,,,,
1301,Strengthen Potion - Diamond,{5000=100},60,{rmb=300},0,100,,,2,,,,,,,,
1302,Strengthen Potion - Diamond,{5000=100},120,{rmb=600},0,100,,,2,,,,,,,,
,,,,,,,,,,,,,,,,,
1311,Strengthen Potion - Diamond - 20% off,{5000=100},60,{rmb=240},0,50,,,2,,8折,8折,20%off,20%off,,,
1312,Strengthen Potion - Diamond - 20% off,{5000=100},120,{rmb=480},0,50,,,2,,8折,8折,20%off,20%off,,,
,,,,,,,,,,,,,,,,,
1401,13 Qualification - Shard Diamond 1,{20261=100;20331=100;20391=100;20491=0;20571=100;20591=100;20601=100;20631=100;20721=40;20731=40;20741=40;20881=100;21071=100;21171=100;21221=40;21231=40;21241=40;21251=40;21291=100;21391=100;21421=100;21501=100;21811=100;21841=100;23021=100;23141=100;23301=40;23351=100;23411=100;23541=100},1,{rmb=50},0,100,,,4,,,,,,,,
1402,13 Qualification - Shard Diamond 1,{20261=100;20331=100;20391=100;20491=0;20571=100;20591=100;20601=100;20631=100;20721=40;20731=40;20741=40;20881=100;21071=100;21171=100;21221=40;21231=40;21241=40;21251=40;21291=100;21391=100;21421=100;21501=100;21811=100;21841=100;23021=100;23141=100;23301=40;23351=100;23411=100;23541=100},2,{rmb=100},0,100,,,4,,,,,,,,
1403,13 Qualification - Shard Diamond 1,{20261=100;20331=100;20391=100;20491=0;20571=100;20591=100;20601=100;20631=100;20721=40;20731=40;20741=40;20881=100;21071=100;21171=100;21221=40;21231=40;21241=40;21251=40;21291=100;21391=100;21421=100;21501=100;21811=100;21841=100;23021=100;23141=100;23301=40;23351=100;23411=100;23541=100},5,{rmb=250},0,100,,,4,,,,,,,,
,,,,,,,,,,,,,,,,,
1411,13 Qualification - Fragment Diamond 1-20% off,{20261=100;20331=100;20391=100;20491=0;20571=100;20591=100;20601=100;20631=100;20721=40;20731=40;20741=40;20881=100;21071=100;21171=100;21221=40;21231=40;21241=40;21251=40;21291=100;21391=100;21421=100;21501=100;21811=100;21841=100;23021=100;23141=100;23301=40;23351=100;23411=100;23541=100},1,{rmb=40},0,50,,,4,,8折,8折,20%off,20%off,,,
1412,13 Qualification - Fragment Diamond 1-20% off,{20261=100;20331=100;20391=100;20491=0;20571=100;20591=100;20601=100;20631=100;20721=40;20731=40;20741=40;20881=100;21071=100;21171=100;21221=40;21231=40;21241=40;21251=40;21291=100;21391=100;21421=100;21501=100;21811=100;21841=100;23021=100;23141=100;23301=40;23351=100;23411=100;23541=100},2,{rmb=80},0,50,,,4,,8折,8折,20%off,20%off,,,
1413,13 Qualification - Fragment Diamond 1-20% off,{20261=100;20331=100;20391=100;20491=0;20571=100;20591=100;20601=100;20631=100;20721=40;20731=40;20741=40;20881=100;21071=100;21171=100;21221=40;21231=40;21241=40;21251=40;21291=100;21391=100;21421=100;21501=100;21811=100;21841=100;23021=100;23141=100;23301=40;23351=100;23411=100;23541=100},5,{rmb=200},0,50,,,4,,8折,8折,20%off,20%off,,,
,,,,,,,,,,,,,,,,,
1502,gem 21,{5001=100;5002=100;5003=100},30,{rmb=150},,150,,,6,<1;27>,,,,,,,
1503,gem 22,{5004=100;5005=100;5006=100},30,{rmb=150},,150,,,6,<1;39>,,,,,,,
1504,gem 22,{5004=100;5005=100;5006=100},30,{rmb=150},,150,,,6,<1;39>,,,,,,,
1505,gem 31,{5007=100;5008=100;5009=100},30,{rmb=150},,150,,,6,<1;49>,,,,,,,
1506,gem 31,{5007=100;5008=100;5009=100},30,{rmb=150},,150,,,6,<1;49>,,,,,,,
1507,gem 32,{5010=100;5011=100;5012=100},30,{rmb=180},,150,,,6,<28;59>,,,,,,,
1508,gem 32,{5010=100;5011=100;5012=100},30,{rmb=180},,150,,,6,<28;59>,,,,,,,
1509,gem 33,{5013=100;5014=100;5015=100},30,{rmb=210},,150,,,6,<40;69>,,,,,,,
1510,gem 33,{5013=100;5014=100;5015=100},60,{rmb=420},,150,,,6,<40;69>,,,,,,,
1511,gem 41,{5016=100;5017=100;5018=100},30,{rmb=240},,150,,,6,<50;79>,,,,,,,
1512,gem 41,{5016=100;5017=100;5018=100},60,{rmb=480},,150,,,6,<50;79>,,,,,,,
1513,gem 42,{5019=100;5020=100;5021=100},30,{rmb=270},,100,,,6,<60;84>,,,,,,,
1514,gem 42,{5019=100;5020=100;5021=100},60,{rmb=540},,100,,,6,<60;84>,,,,,,,
1515,gem 42,{5019=100;5020=100;5021=100},100,{rmb=900},,100,,,6,<60;84>,,,,,,,
1516,gem 51,{5022=100;5023=100;5024=100},30,{rmb=300},,100,,,6,<70;99>,,,,,,,
1517,gem 51,{5022=100;5023=100;5024=100},60,{rmb=600},,100,,,6,<70;99>,,,,,,,
1518,gem 51,{5022=100;5023=100;5024=100},100,{rmb=1000},,100,,,6,<70;99>,,,,,,,
1519,gem 52,{5025=100;5026=100;5027=100},30,{rmb=330},,100,,,6,<80;99>,,,,,,,
1520,gem 52,{5025=100;5026=100;5027=100},60,{rmb=660},,100,,,6,<80;99>,,,,,,,
1521,gem 52,{5025=100;5026=100;5027=100},100,{rmb=1100},,100,,,6,<80;99>,,,,,,,
1522,gem 53,{5028=100;5029=100;5030=100},30,{rmb=360},,100,,,6,<85;104>,,,,,,,
1523,gem 53,{5028=100;5029=100;5030=100},60,{rmb=720},,100,,,6,<85;104>,,,,,,,
1524,gem 53,{5028=100;5029=100;5030=100},100,{rmb=1200},,100,,,6,<85;104>,,,,,,,
1525,gem 54,{5031=100;5032=100;5033=100},30,{rmb=390},,100,,,6,<90;109>,,,,,,,
1526,gem 54,{5031=100;5032=100;5033=100},60,{rmb=780},,100,,,6,<90;109>,,,,,,,
1527,gem 54,{5031=100;5032=100;5033=100},100,{rmb=1300},,100,,,6,<90;109>,,,,,,,
1528,gem 55,{5034=100;5035=100;5036=100},30,{rmb=420},,100,,,6,<95;114>,,,,,,,
1529,gem 55,{5034=100;5035=100;5036=100},60,{rmb=840},,100,,,6,<95;114>,,,,,,,
1530,gem 55,{5034=100;5035=100;5036=100},100,{rmb=1400},,100,,,6,<95;114>,,,,,,,
1533,gem 61,{5037=100;5038=100;5039=100},30,{rmb=450},,100,,,6,<100;119>,,,,,,,
1531,gem 61,{5037=100;5038=100;5039=100},60,{rmb=900},,100,,,6,<100;119>,,,,,,,
1532,gem 61,{5037=100;5038=100;5039=100},100,{rmb=1500},,100,,,6,<100;119>,,,,,,,
1536,gem 62,{5040=100;5041=100;5042=100},30,{rmb=480},,100,,,6,<105;124>,,,,,,,
1534,gem 62,{5040=100;5041=100;5042=100},60,{rmb=960},,100,,,6,<105;124>,,,,,,,
1535,gem 62,{5040=100;5041=100;5042=100},100,{rmb=1600},,100,,,6,<105;124>,,,,,,,
1539,gem 63,{5043=100;5044=100;5045=100},30,{rmb=510},,100,,,6,<110;129>,,,,,,,
1537,gem 63,{5043=100;5044=100;5045=100},60,{rmb=1020},,100,,,6,<110;129>,,,,,,,
1538,gem 63,{5043=100;5044=100;5045=100},100,{rmb=1700},,100,,,6,<110;129>,,,,,,,
1542,gem 64,{5046=100;5047=100;5048=100},30,{rmb=540},,100,,,6,<115;134>,,,,,,,
1540,gem 64,{5046=100;5047=100;5048=100},60,{rmb=1080},,100,,,6,<115;134>,,,,,,,
1541,gem 64,{5046=100;5047=100;5048=100},100,{rmb=1800},,100,,,6,<115;134>,,,,,,,
1545,gem 65,{5049=100;5050=100;5051=100},30,{rmb=570},,100,,,6,<120;139>,,,,,,,
1543,gem 65,{5049=100;5050=100;5051=100},60,{rmb=1140},,100,,,6,<120;139>,,,,,,,
1544,gem 65,{5049=100;5050=100;5051=100},100,{rmb=1900},,100,,,6,<120;139>,,,,,,,
,,,,,,,,,,,,,,,,,
1601,13 Qualification - Shard Diamond 1,{20261=100;20331=100;20391=100;20491=0;20571=100;20591=100;20601=100;20631=100;20721=40;20731=40;20741=40;20881=100;21071=100;21171=100;21221=40;21231=40;21241=40;21251=40;21291=100;21391=100;21421=100;21501=100;21811=100;21841=100;23021=100;23141=100;23301=40;23351=100;23411=100;23541=100},1,{rmb=50},0,100,,,5,,,,,,,,
1602,13 Qualification - Shard Diamond 1,{20261=100;20331=100;20391=100;20491=0;20571=100;20591=100;20601=100;20631=100;20721=40;20731=40;20741=40;20881=100;21071=100;21171=100;21221=40;21231=40;21241=40;21251=40;21291=100;21391=100;21421=100;21501=100;21811=100;21841=100;23021=100;23141=100;23301=40;23351=100;23411=100;23541=100},2,{rmb=100},0,100,,,5,,,,,,,,
1603,13 Qualification - Shard Diamond 1,{20261=100;20331=100;20391=100;20491=0;20571=100;20591=100;20601=100;20631=100;20721=40;20731=40;20741=40;20881=100;21071=100;21171=100;21221=40;21231=40;21241=40;21251=40;21291=100;21391=100;21421=100;21501=100;21811=100;21841=100;23021=100;23141=100;23301=40;23351=100;23411=100;23541=100},5,{rmb=250},0,100,,,5,,,,,,,,
,,,,,,,,,,,,,,,,,
1611,13 Qualification - Fragment Diamond 1-20% off,{20261=100;20331=100;20391=100;20491=0;20571=100;20591=100;20601=100;20631=100;20721=40;20731=40;20741=40;20881=100;21071=100;21171=100;21221=40;21231=40;21241=40;21251=40;21291=100;21391=100;21421=100;21501=100;21811=100;21841=100;23021=100;23141=100;23301=40;23351=100;23411=100;23541=100},1,{rmb=40},0,50,,,5,,8折,8折,20%off,20%off,,,
1612,13 Qualification - Fragment Diamond 1-20% off,{20261=100;20331=100;20391=100;20491=0;20571=100;20591=100;20601=100;20631=100;20721=40;20731=40;20741=40;20881=100;21071=100;21171=100;21221=40;21231=40;21241=40;21251=40;21291=100;21391=100;21421=100;21501=100;21811=100;21841=100;23021=100;23141=100;23301=40;23351=100;23411=100;23541=100},2,{rmb=80},0,50,,,5,,8折,8折,20%off,20%off,,,
