变量名,perDrop,node,nodeDrop,saodangAwawrd,stableDrop,perIcon
默认值,,,,,,
ID,每百分比掉落,血量节点百分比（打掉多少血）/击杀数量,节点掉落,扫荡奖励,固定掉落,每个icon对应的掉落量
60001,{gold=750},<15;35;75;100>,<{510=12;511=3;gold=50000};{510=12;511=3;gold=25000};{510=12;511=3};{510=12;511=3}>,{gold=150000;510=48;511=15},,1000
60002,{gold=1500},<15;50;75;100>,<{510=15;511=8;gold=112500};{510=15;511=8;gold=37500};{510=15;511=8};{510=15;511=8}>,{gold=300000;510=60;511=30},,1500
60003,{gold=2500},<25;50;75;100>,<{513=5;511=5;gold=187500};{513=5;511=5;gold=85000};{513=5;511=5};{513=5;511=5}>,{gold=525000;513=20;511=20},,2000
60004,{gold=3250},<25;50;75;100>,<{513=5;512=5;511=5;510=10;gold=225000};{513=5;512=5;511=5;510=10;gold=112500};{513=5;512=5;511=5;510=10};{513=5;512=5;511=5;510=10}>,{gold=662500;513=20;512=20;511=20;510=40},,2500
60005,{gold=4000},<25;50;75;100>,<{514=2;513=4;512=5;511=5;510=5;gold=300000};{514=1;513=4;512=5;511=5;510=5;gold=150000};{514=2;513=4;512=5;511=5;510=5};{514=1;513=4;512=5;511=5;510=5}>,{gold=850000;514=6;513=16;512=20;511=20;510=20},,3000
60006,{gold=5250},<25;50;75;100>,<{514=3;513=4;512=5;511=5;510=5;gold=375000};{514=2;513=4;512=5;511=5;510=5;gold=250000};{514=3;513=4;512=5;511=5;510=5};{514=2;513=4;512=5;511=5;510=5}>,{gold=1125000;514=10;513=16;512=20;511=20;510=20},,3500
60007,{gold=5600},<25;50;75;100>,<{514=3;513=5;512=6;511=8;510=8;gold=420000};{514=3;513=5;512=6;511=8;510=8;gold=300000};{514=3;513=5;512=6;511=8;510=8};{514=3;513=5;512=6;511=8;510=8}>,{gold=1280000;514=12;513=20;512=24;511=32;510=32},,4000
60010,{gold=6440},<0.75;0.5;0.25;0>,<{514=3;513=6;512=7;511=9;510=9;gold=483000};{514=3;513=6;512=7;511=9;510=9;gold=345000};{514=3;513=6;512=7;511=9;510=9};{514=3;513=6;512=7;511=9;510=9}>,{gold=1472000;514=12;513=24;512=28;511=36;510=36},,4500
60011,{gold=6550},<0.75;0.5;0.25;0>,<{514=3;513=6;512=7;511=9;510=9;gold=491400};{514=3;513=6;512=7;511=9;510=9;gold=351000};{514=3;513=6;512=7;511=9;510=9};{514=3;513=6;512=7;511=9;510=9}>,{gold=1497400;514=12;513=24;512=28;511=36;510=36},,4500
60012,{gold=6660},<0.75;0.5;0.25;0>,<{514=3;513=6;512=7;511=9;510=9;gold=499800};{514=3;513=6;512=7;511=9;510=9;gold=357000};{514=3;513=6;512=7;511=9;510=9};{514=3;513=6;512=7;511=9;510=9}>,{gold=1522800;514=12;513=24;512=28;511=36;510=36},,4500
60013,{gold=6780},<0.75;0.5;0.25;0>,<{514=3;513=6;512=7;511=9;510=9;gold=508200};{514=3;513=6;512=7;511=9;510=9;gold=363000};{514=3;513=6;512=7;511=9;510=9};{514=3;513=6;512=7;511=9;510=9}>,{gold=1549200;514=12;513=24;512=28;511=36;510=36},,4500
60014,{gold=6890},<0.75;0.5;0.25;0>,<{514=3;513=6;512=7;511=9;510=9;gold=516600};{514=3;513=6;512=7;511=9;510=9;gold=369000};{514=3;513=6;512=7;511=9;510=9};{514=3;513=6;512=7;511=9;510=9}>,{gold=1574600;514=12;513=24;512=28;511=36;510=36},,4500
