变量名,key,text,text_tw,text_en,text_vn,text_kr
默认值,"""404404""","""language404404""","""language404404""","""language404404""","""language404404""","""language404404"""
序号,key（5000之前是服务器使用）,英文（保留空格要加双引号）,中文繁体,英文（保留空格要加双引号）,中文简体_越南,中文简体_韩
1,sessionError,Please login again!,請重新登入！,Please login again!,Mời một lần nữa đăng nhập!,다시 로그인하세요!
2,todayChanllengeToMuch,You've reached the maximum number of battles today and cannot battle anymore!,今日挑戰已達上限，不能再挑戰啦！,You've reached the maximum number of battles today and cannot battle anymore!,,오늘의 도전이 이미 한도에 도달했습니다!
3,advanceGoldNotEnough,"Insufficient coins, unable to breakthrough!",金幣不足，無法突破！,"Insufficient coins, unable to breakthrough!",,코인이 부족해 돌파할 수 없습니다!
4,advanceItemsNotEnough,"Insufficient items, unable to breakthrough!",道具不足，無法突破！,"Insufficient items, unable to breakthrough!",,아이템이 부족해 돌파할 수 없습니다!
5,advanceLevelNotEnough,"Insufficient level, unable to breakthrough!",等級不足，無法突破！,"Insufficient level, unable to breakthrough!",,레벨이 부족해 돌파할 수 없습니다!
6,advanceFragsNotEnough,"""Insufficient shards, unable to upgrade!""",碎片不足，無法進階！,"""Insufficient shards, unable to upgrade!""",,조각이 부족해 진화할 수 없습니다!
7,advanceMaxErr,"""You've upgraded to the maximum level, so stay tuned for new updates!""",已突破到頂級，敬請期待新版本更新！,"""You've upgraded to the maximum level, so stay tuned for new updates!""","Đã đột phá cấp cao nhất, vui lòng chờ cập nhật phiên bản mới!",이미 한도까지 돌파했습니다. 신규 업데이트를 기대해 주세요!
8,skillLevelGoldNotEnough,"""Gold is not enough, skill can't  upgrade.""",金幣不足，技能無法升級！,"""Gold is not enough, skill can't  upgrade.""",,코인이 부족해 기술을 레벨업할 수 없습니다!
9,skillLevelItemsNotEnough,"""Insufficient item, unable to upgrade moves!""",道具不足，技能無法升級！,"""Insufficient item, unable to upgrade moves!""",,아이템이 부족해 기술을 레벨업할 수 없습니다!
10,skillLevelLevelNotEnough,Insufficient Pokémon level to upgrade the move!,精靈等級不足，技能無法升級！,Insufficient Pokémon level to upgrade the move!,,포켓몬 레벨이 부족해 기술을 레벨업할 수 없습니다!
11,strategyUnlockLevelNotEnough,"""Insufficient level, unable to unlock strategic moves!""",等級不足，策略技能無法解鎖！,"""Insufficient level, unable to unlock strategic moves!""",,레벨이 부족해 전략 기술을 개방할 수 없습니다!
12,strategyUnlockItemNotEnough,"""Insufficient items, unable to unlock strategic moves!""",道具不足，策略技能無法解鎖！,"""Insufficient items, unable to unlock strategic moves!""",,아이템이 부족해 전략 기술을 개방할 수 없습니다!
13,buyShopTimesLimit,You've used up all the shop purchases chances!,商店限購次數已用完！,You've used up all the shop purchases chances!,Cửa hàng hạn mua số lần đã sử dụng hết!,상점 구매 횟수를 모두 사용했습니다!
14,zhulianItemsNotEnough,"""Insufficient items, unable to smelt!""",道具不足，無法鑄煉！,"""Insufficient items, unable to smelt!""",,아이템이 부족해 재련할 수 없습니다!
15,strategyUpdateMax,"""Level  is not enough,can't  upgrade.""",策略技能已經到頂級，無法升級！,"""Level  is not enough,can't  upgrade.""",,전략 기술이 이미 최고 레벨입니다!
16,taskUnFinished,Quest not completed!,任務未完成！,Quest not completed!,Nhiệm vụ chưa hoàn thành!,퀘스트가 완료되지 않았습니다!
17,taskClosed,Quest reward has been claimed!,任務獎勵已領取！,Quest reward has been claimed!,Nhiệm vụ ban thưởng đã nhận lấy!,퀘스트 보상을 이미 수령했습니다!
18,fragCombCardExisted,Pokémon already exists and the shards cannot be combined!,精靈已經存在，無法進行碎片合成！,Pokémon already exists and the shards cannot be combined!,"Pokémon đã tồn tại, không thể hợp thành Mảnh!",포켓몬이 이미 존재해 조각 합성을 진행할 수 없습니다!
19,levelLessNoOpened,"""Insufficient trainer level, unable to unlock!""",主角等級不足，無法開啟！,"""Insufficient trainer level, unable to unlock!""","Nhân vật chính cấp bậc chưa đủ, không cách nào mở ra!",주인공 레벨이 부족해 개방할 수 없습니다!
20,rankChanged,"""Main character ranking has changed, please choose another opponent!""",主角排名發生變動，請重新選擇對手！,"""Main character ranking has changed, please choose another opponent!""","Nhân vật chính xếp hạng phát sinh biến động, mời lựa chọn lần nữa đối thủ!",주인공 순위에 변화가 발생했습니다. 도전 대상을 다시 선택하세요!
21,rankBigger,I can't challenge opponents who are weaker than you!,你無法挑戰比你弱的對手！,I can't challenge opponents who are weaker than you!,Ngươi không cách nào khiêu chiến so ngươi yếu đối thủ!,더 약한 상대에게 도전할 수 없습니다!
22,rankTimerNoCD,Time for next challenge is not up yet!,下次挑戰時間未到！,Time for next challenge is not up yet!,Lần sau khiêu chiến thời gian chưa tới!,다음 도전 시간이 되지 않았습니다!
23,rankEnemyChanged,"""Opponent ranking change, please re-select!""",對手排名發生變動，請重新選擇對手！,"""Opponent ranking change, please re-select!""","Đối thủ xếp hạng phát sinh biến động, mời lựa chọn lần nữa đối thủ!",상대의 순위에 변화가 발생했습니다. 도전 대상을 다시 선택하세요!
24,rankEnemyBattling,"""Opponent is in battle, please select another opponent!""",對手正在戰鬥，請重新選擇對手！,"""Opponent is in battle, please select another opponent!""","Đối thủ ngay tại chiến đấu, mời lựa chọn lần nữa đối thủ!",상대가 전투 중입니다. 도전 대상을 다시 선택하세요!
