变量名,drawType,"
  _comment
  ",drawTriggerType,drawTriggerTimes,weightStart,weightEnd,effectLimit,startCount,probInit,probStep,probLimit,probMiniTimes,probEffectInterval,lotteryType1,lotteryWeight1,lotteryType2,lotteryWeight2,lotteryType3,lotteryWeight3,lotteryType4,lotteryWeight4,lotteryType5,lotteryWeight5,lotteryType6,lotteryWeight6,lotteryType7,lotteryWeight7,lotteryType8,lotteryWeight8,lotteryType9,lotteryWeight9,lotteryType10,lotteryWeight10
默认值,,,2,0,0,0,0,0,0,0.01,0.2,30,50,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0
ID,抽取类型,类型注释,抽取触发类型(0从X次开始;1权值累加;2概率触发;3每X次;4第X次),抽取次数条件,权值上限,权值下限,生效次数上限,开始次数,概率初值,概率递增,概率上限,概率保底次数,概率生效间隔,产出类型1,产出类型1权重,产出类型2,产出类型2权重,产出类型3,产出类型3权重,产出类型4,产出类型4权重,产出类型5,产出类型5权重,产出类型6,产出类型6权重,产出类型7,产出类型7权重,产出类型8,产出类型8权重,产出类型9,产出类型9权重,产出类型10,产出类型10权重
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,gold1,"
  Gold coin single
  draw
  ",0,1,,,,,,,,,,{220=1},45,{221=1},25,{222=1},30,,0,,0,,0,,0,,0,,0,,0
2,gold10,"
  10 consecutive gold coins
  ",0,1,,,,,,,,,,{220=4;221=3;222=3},100,{220=3;221=3;222=4},80,{220=5;221=3;222=2},120,{220=5;221=2;222=3},120,{220=4;221=2;222=4},100,{220=5;221=2;222=3},120,,0,,0,,0,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,rmb1,"
  System boot
  first draw
  ",4,1,,,,,,,,,,{203=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
12,rmb1,"
  Diamond Single
  Draw - Get S Qualification Card for the 5th time
  ",4,5,,,,,,,,,,{207=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
13,rmb1,"
  S
  -level card every 20 consecutive times (probability )
  ",2,6,,,,10,0.05,0.02,0.3,15,20,{201=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
14,rmb1,"
  Diamond Paid
  Single Draw
  ",0,2,,,,,,,,,,{205=1},50,{206=1},50,,0,,0,,0,,0,,0,,0,,0,,0
15,rmb1,"
  Diamond paid
  single draw - A -level card must be issued
  ",4,2,,,,,,,,,,{204=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
16,rmb1,"
  After every 80 consecutive
  consecutive rounds, you will get an additional S -level card
  (probability )
  ",2,6,,,,30,0.02,0.006,0.5,30,80,{201=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,rmb10,"
  The first ten consecutive - single S
  ",4,1,,,,,,,,,,{207=1;205=3;206=6},100,{207=1;205=4;206=5},100,,0,,0,,0,,0,,0,,0,,0,,0
22,rmb10,"
  10 consecutive
  draws - the 4th and 5th times, 2 S cards
  ",2,2,,,1,4,0.5,0.5,1,2,999999,{201=1;205=3;206=6},0,{201=1;205=4;206=5},0,{201=1;205=5;206=4},0,{201=2;205=3;206=5},20,{201=2;205=4;206=4},20,{201=2;205=5;206=3},20,{201=3;205=2;206=5},0,{201=3;205=3;206=4},0,{201=3;205=4;206=3},0,,0
23,rmb10,"
  10 consecutive
  draws - low probability 3 S ()
  ",2,2,,,1,10,0.01,0.005,0.5,40,50,{201=1;205=3;206=6},0,{201=1;205=4;206=5},0,{201=1;205=5;206=4},0,{201=2;205=3;206=5},0,{201=2;205=4;206=4},0,{201=2;205=5;206=3},0,{201=3;205=2;206=5},20,{201=3;205=3;206=4},20,{201=3;205=4;206=3},20,,0
24,rmb10,"
  10 consecutive
  draws - regular output (up to 2 )
  ",0,2,,,,,,,,,,{201=1;205=3;206=6},150,{201=1;205=4;206=5},100,{201=1;205=5;206=4},50,{201=2;205=3;206=5},30,{201=2;205=4;206=4},20,{201=2;205=5;206=3},10,{201=3;205=2;206=5},0,{201=3;205=3;206=4},0,{201=3;205=4;206=3},0,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,limit_up_rmb1_81,"
  Diamond Paid
  Single Draw - Fire
  ",0,2,,,,,,,,,,{205=1},50,{206=1},50,,0,,0,,0,,0,,0,,0,,0,,0
52,limit_up_rmb1_81,"
  Diamond paid
  single draw - A -level card must be issued - Fire
  ",4,1,,,,,,,,,,{204=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
53,limit_up_rmb1_81,"
  Diamond single
  draw - the 5th to 10th time to get S qualification card UP - fire system
  ",2,5,,,1,5,0.17,0.06,0.5,6,999999,{1204=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
54,limit_up_rmb1_81,"
  15 subsequent consecutive
  rounds, you will get an additional S -level card
  (probability) UP - fire
  ",2,6,,,10,10,0.05,0.015,0.5,15,15,{1204=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
55,limit_up_rmb1_81,"
  ( After 10 times, it will be a pan-card
  pool) Every 15 consecutive times, you will get an additional S -level card
  (probability) UP - Fire
  ",2,160,,,,160,0.05,0.015,0.5,15,15,{1204=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,limit_up_rmb10_81,"
  The first ten consecutive - single S - fire
  ",4,1,,,,,,,,,,{1204=1;205=3;206=6},100,{1204=1;205=4;206=5},100,,0,,0,,0,,0,,0,,0,,0,,0
