变量名,drawType,_comment,drawTriggerType,drawTriggerTimes,weightStart,weightEnd,effectLimit,startCount,probInit,probStep,probLimit,probMiniTimes,probEffectInterval,lotteryType1,lotteryWeight1,lotteryType2,lotteryWeight2,lotteryType3,lotteryWeight3,lotteryType4,lotteryWeight4,lotteryType5,lotteryWeight5,lotteryType6,lotteryWeight6,lotteryType7,lotteryWeight7,lotteryType8,lotteryWeight8,lotteryType9,lotteryWeight9,lotteryType10,lotteryWeight10
默认值,,,2,0,0,0,0,0,0,0.01,0.2,30,50,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0
ID,抽取类型,类型注释,抽取触发类型(0从X次开始;1权值累加;2概率触发;3每X次;4第X次),抽取次数条件,权值上限,权值下限,生效次数上限,开始次数,概率初值,概率递增,概率上限,概率保底次数,概率生效间隔,产出类型1,产出类型1权重,产出类型2,产出类型2权重,产出类型3,产出类型3权重,产出类型4,产出类型4权重,产出类型5,产出类型5权重,产出类型6,产出类型6权重,产出类型7,产出类型7权重,产出类型8,产出类型8权重,产出类型9,产出类型9权重,产出类型10,产出类型10权重
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,coin4_1,The first single draw - must be blue,0,1,0,0,1,0,,,,,,{171=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
12,coin4_1,First Green Explorer Collection 1,4,2,0,0,1,0,,,,,,{180=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
13,coin4_1,First Green Explorer Collection 2,4,3,0,0,1,0,,,,,,{181=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
14,coin4_1,The first material,4,4,0,0,1,0,,,,,,{175=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
15,coin4_1,First Green Explorer Collect 3,4,6,0,0,1,0,,,,,,{182=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
16,coin4_1,5 single draws - must be purple,4,5,0,0,1,0,,,,,,{172=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,coin4_1,Regular 20 consecutive orange count 20,2,20,0,0,0,20,1,1,1,1,20,{173=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
22,coin4_1,Regular five consecutive purple counts 15,2,5,0,0,0,15,1,1,1,1,20,{172=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
23,coin4_1,Regular five consecutive purple counts 10,2,5,0,0,0,10,1,1,1,1,20,{172=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
24,coin4_1,Regular five consecutive purple count 5,2,5,0,0,0,5,1,1,1,1,20,{172=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
25,coin4_1,Regular Single Draw - Green/Blue/Material,0,2,0,0,0,0,,,,,,{170=1},100,{171=1},50,{175=1},100,,0,,0,,0,,0,,0,,0,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,lucky_egg_rmb1_180012,Gacha single draw,0,1,,,,,,,,,,{20010=1},0,{205=1},250,{1101=1},200,{1103=1},400,{1111=1},100,{1112=1},100,,0,,0,,0,,0
32,lucky_egg_rmb10_180012,Gacha Ten,0,1,,,,,,,,,,{20010=1;205=2;1101=2;1103=3;1111=1;1112=1},150,{201=1;205=2;1101=2;1103=3;1111=1;1112=1},100,{201=1;205=2;1101=2;1103=3;1111=1;1112=1},50,{201=2;205=1;1101=2;1103=3;1111=1;1112=1},30,{201=2;205=1;1101=2;1103=3;1111=1;1112=1},20,{201=2;205=1;1101=2;1103=3;1111=1;1112=1},10,,0,,0,,0,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,lucky_egg_rmb1_101090,Gacha single draw,0,1,,,,,,,,,,{9004=1},50,{9002=1},230,{9003=1},150,{9001=1},570,,0,,0,,0,,0,,0,,0
122,lucky_egg_rmb10_101090,Gacha Ten,0,1,,,,,,,,,,{9004=1;9002=2;9003=1;9001=6},250,{9004=1;9002=2;9003=2;9001=5},350,{9004=1;9002=3;9003=1;9001=5},200,{9004=1;9002=3;9003=2;9001=4},100,{9004=1;9002=4;9003=1;9001=4},100,,0,,0,,0,,0,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,lucky_egg_rmb1_3336,Gacha single draw,0,1,,,,,,,,,,{9004=1},50,{9002=1},330,{9003=1},150,{9001=1},470,,0,,0,,,,,,,,
132,lucky_egg_rmb10_3336,Gacha Ten,0,1,,,,,,,,,,{9004=1;9002=3;9003=1;9001=5},250,{9004=1;9002=3;9003=2;9001=4},350,{9004=1;9002=4;9003=1;9001=4},200,{9004=1;9002=4;9003=2;9001=3},100,{9004=1;9002=5;9003=1;9001=3},100,,0,,,,,,,,
