变量名,type,getStar,baseFragNum,hasStar1,hasStar2,hasStar3,hasStar4,hasStar5,hasStar6,hasStar7
默认值,,,,,,,,,,
ID,类型,获得星级,星级基础碎片,已有1星,已有2星,已有3星,已有4星,已有5星,已有6星,已有7星
1,1,1,20,20,20,20,20,20,20,20
2,1,2,20,20,20,20,20,20,20,20
3,1,3,20,20,20,20,20,20,20,20
4,1,4,20,20,20,20,20,20,20,20
5,1,5,20,20,20,20,20,20,20,20
6,1,6,20,20,20,20,20,20,20,20
7,1,7,20,20,20,20,20,20,20,20
8,1,8,20,20,20,20,20,20,20,20
9,1,9,20,20,20,20,20,20,20,20
10,1,10,20,20,20,20,20,20,20,20
11,1,11,20,20,20,20,20,20,20,20
12,1,12,20,20,20,20,20,20,20,20
,,,,,,,,,,
101,2,1,30,30,30,30,30,30,30,30
102,2,2,30,30,30,30,30,30,30,30
103,2,3,30,30,30,30,30,30,30,30
104,2,4,30,30,30,30,30,30,30,30
105,2,5,30,30,30,30,30,30,30,30
106,2,6,30,30,30,30,30,30,30,30
107,2,7,30,30,30,30,30,30,30,30
108,2,8,30,30,30,30,30,30,30,30
109,2,9,30,30,30,30,30,30,30,30
110,2,10,30,30,30,30,30,30,30,30
111,2,11,30,30,30,30,30,30,30,30
112,2,12,30,30,30,30,30,30,30,30
,,,,,,,,,,
201,3,1,50,50,50,50,50,50,50,50
202,3,2,50,50,50,50,50,50,50,50
203,3,3,50,50,50,50,50,50,50,50
204,3,4,50,50,50,50,50,50,50,50
205,3,5,50,50,50,50,50,50,50,50
206,3,6,50,50,50,50,50,50,50,50
207,3,7,50,50,50,50,50,50,50,50
208,3,8,50,50,50,50,50,50,50,50
209,3,9,50,50,50,50,50,50,50,50
210,3,10,50,50,50,50,50,50,50,50
211,3,11,50,50,50,50,50,50,50,50
212,3,12,50,50,50,50,50,50,50,50
,,,,,,,,,,
301,4,1,80,80,80,80,80,80,80,80
302,4,2,80,80,80,80,80,80,80,80
303,4,3,80,80,80,80,80,80,80,80
304,4,4,80,80,80,80,80,80,80,80
305,4,5,80,80,80,80,80,80,80,80
306,4,6,80,80,80,80,80,80,80,80
307,4,7,80,80,80,80,80,80,80,80
308,4,8,80,80,80,80,80,80,80,80
309,4,9,80,80,80,80,80,80,80,80
310,4,10,80,80,80,80,80,80,80,80
311,4,11,80,80,80,80,80,80,80,80
312,4,12,80,80,80,80,80,80,80,80
,,,,,,,,,,
401,5,1,100,100,100,100,100,100,100,100
402,5,2,100,100,100,100,100,100,100,100
403,5,3,100,100,100,100,100,100,100,100
404,5,4,100,100,100,100,100,100,100,100
405,5,5,100,100,100,100,100,100,100,100
406,5,6,100,100,100,100,100,100,100,100
407,5,7,100,100,100,100,100,100,100,100
408,5,8,100,100,100,100,100,100,100,100
409,5,9,100,100,100,100,100,100,100,100
410,5,10,100,100,100,100,100,100,100,100
411,5,11,100,100,100,100,100,100,100,100
412,5,12,100,100,100,100,100,100,100,100
