变量名,name,name_tw,name_en,name_kr,desc,desc_tw,desc_en,desc_vn,desc_th,cards,equipID,skinID,attrMap
默认值,"""""","""""","""""",,,"""""","""""","""""","""""",<>,,,{}
签到id,名称,名稱,名称,名称_韩,描述,描述,描述,描述,描述,关联卡牌id修正(这里程序用的是卡牌id，如果初始形态被删除，需要修改这里的id，需要程序优化),关联装备,关联皮肤,属性提升修正
,,,,,,,,,,,,,
11,Grass Pledge,草之誓約,Grass Pledge,풀의 맹세,,,,,,<281;2301;371;>,,,{7=10%;8=10%}
12,Forest Will,森林意志,Forest Will,숲의 의지,,,,,,<781;1291;2011;>,,,{1=10%}
13,Adventure Partner,冒險同伴,Adventure Partner,모험 동반자,,,,,,<11;21>,,,{7=10%;8=10%}
111,Flame Control,火焰掌控,Flame Control,화염 제어,,,,,,<1231;2481;1611;>,,,{7=10%;8=10%}
112,Power of Fire,炎焰之力,Power of Fire,화염의 힘,,,,,,<791;3291;3341;>,,,{1=10%}
113,Sun will,太陽意志,Sun will,태양의 의지,,,,,,<1;21>,,,{7=10%;8=10%}
211,Force of Current,水流力量,Force of Current,현재 힘,,,,,,<3471;91;3281;>,,,{7=10%;8=10%}
212,Water Pulse,水之波動,Water Pulse,물의파동,,,,,,<801;551;631;>,,,{1=10%}
213,Overturn,覆舟之勢,Overturn,전복,,,,,,<1;11>,,,{7=10%;8=10%}
311,Bug Rising,蟲蟲崛起,Bug Rising,버그의 상승,,,,,,<351;71;81;>,,,{7=8%;8=8%}
312,Forest Power,森林力量,Forest Power,숲의 힘,,,,,,<41;191;2681;>,,,{1=10%}
313,Team Friendship,群體情誼,Team Friendship,그룹 우정,,,,,,<2891;551>,,,{7=8%;8=8%}
411,Bug Rising,蟲蟲崛起,Bug Rising,버그의 상승,,,," ",,<31;111;51;>,,,{7=8%;8=8%}
412,Forest Power,森林力量,Forest Power,숲의 힘,,,,,,<71;121;351;>,,,{1=10%}
413,Team Friendship,群體情誼,Team Friendship,그룹 우정,,,,,,<2891;2681>,,,{7=8%;8=8%}
511,Original Formation,原始組合,Original Formation,원래 조합,,,,,,<281;91;271;>,,,{7=10%;8=10%}
512,Protect the relationship,守護情誼,Protect the relationship,후견,,,,,,<471;1441;191;>,,,{1=10%}
513,Awakening power,覺醒力量,Awakening power,각성 력,,,,,,<131;301;891;>,,,{7=10%;8=10%}
611,Original Formation,原始組合,Original Formation,원래 조합,,,,,,<231;461;691;>,,,{7=8%;8=8%}
612,Protect the relationship,守護情誼,Protect the relationship,후견,,,,,,<351;1441;271;>,,,{1=10%}
613,Awakening power,覺醒力量,Awakening power,각성 력,,,,,,<371;2891>,,,{7=8%;8=8%}
711,Original Formation,原始組合,Original Formation,원래 조합,,,,,,<41;31;2011;>,,,{7=8%;8=8%}
712,Protect the relationship,守護情誼,Protect the relationship,후견,,,,,,<351;451;3511;>,,,{1=10%}
713,Awakening power,覺醒力量,Awakening power,각성 력,,,,,,<2271;271>,,,{7=8%;8=8%}
811,Poison-type companions,毒系同伴,Poison-type companions,독의 동반자,,,,,,<101;371;451;>,,,{7=8%;8=8%}
812,Poisonous Body,毒之身軀,Poisonous Body,유독 한 몸,,,,,,<121;111;2271;>,,,{1=10%}
813,Mysterious power,神秘力量,Mysterious power,신비한 힘,,,,,,<781;51>,,,{7=8%;8=8%}
911,Electric family,雷電家族,Electric family,라이덴 가족,,,,,,<51;551;731;>,,,{7=10%;8=10%}
912,Power of Nature,自然之力,Power of Nature,자연의 힘,,,,,,<471;2071;591;>,,,{1=10%}
913,Electric awareness,電光意識,Electric awareness,전기 광학 인식,,,,,,<1;11;21;>,,,{7=10%;8=10%}
1011,Forest companions,森林同伴,Forest companions,숲의 동반자,,,,,,<351;691;301;>,,,{7=8%;8=8%}
1012,Geomancy,大地掌控,Geomancy,지구 통제,,,,,,<451;61;2611;>,,,{1=10%}
1013,Awakening detection,覺醒感應,Awakening detection,각성 유도,,,,,,<2071;481>,,,{7=8%;8=8%}
1111,Poison-type companions,毒系同伴,Poison-type companions,독의 동반자,,,,,,<171;281;371;>,,,{7=8%;8=8%}
1112,Poisonous Body,毒之身軀,Poisonous Body,유독 한 몸,,,,,,<121;81;481;>,,,{1=10%}
1113,Mysterious power,神秘力量,Mysterious power,신비한 힘,,,,,,<1441;481>,,,{7=8%;8=8%}
1211,Poison-type companions,毒系同伴,Poison-type companions,독의 동반자,,,,,,<1;481;2681;>,,,{7=8%;8=8%}
1212,Poisonous Body,毒之身軀,Poisonous Body,유독 한 몸,,,,,,<111;2271;81;>,,,{1=10%}
1213,Mysterious power,神秘力量,Mysterious power,신비한 힘,,,,,,<2922;2071>,,,{7=8%;8=8%}
1311,Dragon Buster,龍族剋星,Dragon Buster,드래곤 네메시스,,,,,,<1441;1841;1081;>,,,{7=10%;8=10%}
1312,Wide Companion,廣域夥伴,Wide Companion,광역 파트너,,,,,,<3431;891;451;>,,,{1=10%}
1313,Moonblast,月亮之力,Moonblast,달의 힘,,,,,,<3281;1861;2921;>,,,{7=10%;8=10%}
