变量名,markID,_beizhu1,_beizhu2,_beizhu3,_beizhu4,star,attrType1,attrValue1,attrType2,attrValue2
默认值,0,,,,,0,0,"""""",0,""""""
ID,卡牌markID,精灵名字,第一属性,资质,初始星级,星级,加成属性类型1,加成属性值1,加成属性类型2,加成属性值2
1,1,Frog Seeds,4,2,2,1,1,0%,,
2,1,Frog Seeds,4,2,2,2,1,0.06%,,
3,1,Frog Seeds,4,2,2,3,1,0.11%,,
4,1,Frog Seeds,4,2,2,4,1,0.17%,,
5,1,Frog Seeds,4,2,2,5,1,0.28%,,
6,1,Frog Seeds,4,2,2,6,1,0.39%,,
7,1,Frog Seeds,4,2,2,7,1,0.56%,,
8,1,Frog Seeds,4,2,2,8,1,0.73%,,
9,1,Frog Seeds,4,2,2,9,1,0.95%,,
10,1,Frog Seeds,4,2,2,10,1,1.18%,,
11,1,Frog Seeds,4,2,2,11,1,1.40%,,
12,1,Frog Seeds,4,2,2,12,1,1.68%,,
13,11,Charmander,2,2,2,1,8,0%,,
14,11,Charmander,2,2,2,2,8,0.08%,,
15,11,Charmander,2,2,2,3,8,0.16%,,
16,11,Charmander,2,2,2,4,8,0.24%,,
17,11,Charmander,2,2,2,5,8,0.40%,,
18,11,Charmander,2,2,2,6,8,0.56%,,
19,11,Charmander,2,2,2,7,8,0.80%,,
20,11,Charmander,2,2,2,8,8,1.04%,,
21,11,Charmander,2,2,2,9,8,1.36%,,
22,11,Charmander,2,2,2,10,8,1.68%,,
23,11,Charmander,2,2,2,11,8,2%,,
24,11,Charmander,2,2,2,12,8,2.40%,,
25,21,Squirrel,3,2,2,1,10,0%,,
26,21,Squirrel,3,2,2,2,10,0.08%,,
27,21,Squirrel,3,2,2,3,10,0.16%,,
28,21,Squirrel,3,2,2,4,10,0.24%,,
29,21,Squirrel,3,2,2,5,10,0.40%,,
30,21,Squirrel,3,2,2,6,10,0.56%,,
31,21,Squirrel,3,2,2,7,10,0.80%,,
32,21,Squirrel,3,2,2,8,10,1.04%,,
33,21,Squirrel,3,2,2,9,10,1.36%,,
34,21,Squirrel,3,2,2,10,10,1.68%,,
35,21,Squirrel,3,2,2,11,10,2%,,
36,21,Squirrel,3,2,2,12,10,2.40%,,
37,31,Green Caterpillar,12,1,2,1,1,0%,,
38,31,Green Caterpillar,12,1,2,2,1,0.03%,,
39,31,Green Caterpillar,12,1,2,3,1,0.04%,,
40,31,Green Caterpillar,12,1,2,4,1,0.06%,,
41,31,Green Caterpillar,12,1,2,5,1,0.08%,,
42,31,Green Caterpillar,12,1,2,6,1,0.13%,,
43,31,Green Caterpillar,12,1,2,7,1,0.17%,,
44,31,Green Caterpillar,12,1,2,8,1,0.22%,,
45,31,Green Caterpillar,12,1,2,9,1,0.28%,,
46,31,Green Caterpillar,12,1,2,10,1,0.35%,,
47,31,Green Caterpillar,12,1,2,11,1,0.42%,,
48,31,Green Caterpillar,12,1,2,12,1,0.50%,,
49,41,Unicorn,12,1,2,1,7,0%,,
50,41,Unicorn,12,1,2,2,7,0.04%,,
51,41,Unicorn,12,1,2,3,7,0.06%,,
52,41,Unicorn,12,1,2,4,7,0.08%,,
53,41,Unicorn,12,1,2,5,7,0.12%,,
54,41,Unicorn,12,1,2,6,7,0.18%,,
55,41,Unicorn,12,1,2,7,7,0.24%,,
56,41,Unicorn,12,1,2,8,7,0.32%,,
57,41,Unicorn,12,1,2,9,7,0.40%,,
58,41,Unicorn,12,1,2,10,7,0.50%,,
59,41,Unicorn,12,1,2,11,7,0.60%,,
60,41,Unicorn,12,1,2,12,7,0.72%,,
61,51,Bobo,1,2,2,1,7,0%,,
62,51,Bobo,1,2,2,2,7,0.08%,,
63,51,Bobo,1,2,2,3,7,0.16%,,
64,51,Bobo,1,2,2,4,7,0.24%,,
65,51,Bobo,1,2,2,5,7,0.40%,,
66,51,Bobo,1,2,2,6,7,0.56%,,
67,51,Bobo,1,2,2,7,7,0.80%,,
68,51,Bobo,1,2,2,8,7,1.04%,,
69,51,Bobo,1,2,2,9,7,1.36%,,
70,51,Bobo,1,2,2,10,7,1.68%,,
71,51,Bobo,1,2,2,11,7,2%,,
72,51,Bobo,1,2,2,12,7,2.40%,,
73,61,Little Lada,1,1,2,1,7,0%,,
74,61,Little Lada,1,1,2,2,7,0.04%,,
75,61,Little Lada,1,1,2,3,7,0.06%,,
76,61,Little Lada,1,1,2,4,7,0.08%,,
77,61,Little Lada,1,1,2,5,7,0.12%,,
78,61,Little Lada,1,1,2,6,7,0.18%,,
79,61,Little Lada,1,1,2,7,7,0.24%,,
80,61,Little Lada,1,1,2,8,7,0.32%,,
81,61,Little Lada,1,1,2,9,7,0.40%,,
82,61,Little Lada,1,1,2,10,7,0.50%,,
83,61,Little Lada,1,1,2,11,7,0.60%,,
84,61,Little Lada,1,1,2,12,7,0.72%,,
85,71,Sparrows,1,1,2,1,10,0%,,
86,71,Sparrows,1,1,2,2,10,0.04%,,
87,71,Sparrows,1,1,2,3,10,0.06%,,
88,71,Sparrows,1,1,2,4,10,0.08%,,
89,71,Sparrows,1,1,2,5,10,0.12%,,
90,71,Sparrows,1,1,2,6,10,0.18%,,
91,71,Sparrows,1,1,2,7,10,0.24%,,
92,71,Sparrows,1,1,2,8,10,0.32%,,
93,71,Sparrows,1,1,2,9,10,0.40%,,
94,71,Sparrows,1,1,2,10,10,0.50%,,
95,71,Sparrows,1,1,2,11,10,0.60%,,
96,71,Sparrows,1,1,2,12,10,0.72%,,
97,81,Arbor snake,8,1,2,1,9,0%,,
98,81,Arbor snake,8,1,2,2,9,0.04%,,
99,81,Arbor snake,8,1,2,3,9,0.06%,,
100,81,Arbor snake,8,1,2,4,9,0.08%,,
101,81,Arbor snake,8,1,2,5,9,0.12%,,
102,81,Arbor snake,8,1,2,6,9,0.18%,,
103,81,Arbor snake,8,1,2,7,9,0.24%,,
104,81,Arbor snake,8,1,2,8,9,0.32%,,
105,81,Arbor snake,8,1,2,9,9,0.40%,,
106,81,Arbor snake,8,1,2,10,9,0.50%,,
107,81,Arbor snake,8,1,2,11,9,0.60%,,
108,81,Arbor snake,8,1,2,12,9,0.72%,,
109,91,Pichu,5,2,2,1,13,0%,,
110,91,Pichu,5,2,2,2,13,0.08%,,
111,91,Pichu,5,2,2,3,13,0.16%,,
112,91,Pichu,5,2,2,4,13,0.24%,,
113,91,Pichu,5,2,2,5,13,0.40%,,
114,91,Pichu,5,2,2,6,13,0.56%,,
115,91,Pichu,5,2,2,7,13,0.80%,,
116,91,Pichu,5,2,2,8,13,1.04%,,
117,91,Pichu,5,2,2,9,13,1.36%,,
118,91,Pichu,5,2,2,10,13,1.68%,,
119,91,Pichu,5,2,2,11,13,2%,,
120,91,Pichu,5,2,2,12,13,2.40%,,
121,101,Mountain rat,9,1,2,1,10,0%,,
122,101,Mountain rat,9,1,2,2,10,0.04%,,
123,101,Mountain rat,9,1,2,3,10,0.06%,,
124,101,Mountain rat,9,1,2,4,10,0.08%,,
125,101,Mountain rat,9,1,2,5,10,0.12%,,
126,101,Mountain rat,9,1,2,6,10,0.18%,,
127,101,Mountain rat,9,1,2,7,10,0.24%,,
128,101,Mountain rat,9,1,2,8,10,0.32%,,
129,101,Mountain rat,9,1,2,9,10,0.40%,,
130,101,Mountain rat,9,1,2,10,10,0.50%,,
131,101,Mountain rat,9,1,2,11,10,0.60%,,
132,101,Mountain rat,9,1,2,12,10,0.72%,,
133,111,Nidolan,8,1,2,1,8,0%,,
134,111,Nidolan,8,1,2,2,8,0.04%,,
135,111,Nidolan,8,1,2,3,8,0.06%,,
136,111,Nidolan,8,1,2,4,8,0.08%,,
137,111,Nidolan,8,1,2,5,8,0.12%,,
138,111,Nidolan,8,1,2,6,8,0.18%,,
139,111,Nidolan,8,1,2,7,8,0.24%,,
140,111,Nidolan,8,1,2,8,8,0.32%,,
141,111,Nidolan,8,1,2,9,8,0.40%,,
142,111,Nidolan,8,1,2,10,8,0.50%,,
143,111,Nidolan,8,1,2,11,8,0.60%,,
144,111,Nidolan,8,1,2,12,8,0.72%,,
145,121,Nidolan,8,1,2,1,9,0%,,
146,121,Nidolan,8,1,2,2,9,0.04%,,
147,121,Nidolan,8,1,2,3,9,0.06%,,
148,121,Nidolan,8,1,2,4,9,0.08%,,
149,121,Nidolan,8,1,2,5,9,0.12%,,
150,121,Nidolan,8,1,2,6,9,0.18%,,
151,121,Nidolan,8,1,2,7,9,0.24%,,
152,121,Nidolan,8,1,2,8,9,0.32%,,
153,121,Nidolan,8,1,2,9,9,0.40%,,
154,121,Nidolan,8,1,2,10,9,0.50%,,
155,121,Nidolan,8,1,2,11,9,0.60%,,
156,121,Nidolan,8,1,2,12,9,0.72%,,
157,131,skin baby,18,2,2,1,8,0%,,
158,131,skin baby,18,2,2,2,8,0.08%,,
159,131,skin baby,18,2,2,3,8,0.16%,,
160,131,skin baby,18,2,2,4,8,0.24%,,
161,131,skin baby,18,2,2,5,8,0.40%,,
162,131,skin baby,18,2,2,6,8,0.56%,,
163,131,skin baby,18,2,2,7,8,0.80%,,
164,131,skin baby,18,2,2,8,8,1.04%,,
165,131,skin baby,18,2,2,9,8,1.36%,,
166,131,skin baby,18,2,2,10,8,1.68%,,
167,131,skin baby,18,2,2,11,8,2%,,
168,131,skin baby,18,2,2,12,8,2.40%,,
169,141,six tails,2,2,2,1,,0%,,
170,141,six tails,2,2,2,2,,0%,,
171,141,six tails,2,2,2,3,,0%,,
172,141,six tails,2,2,2,4,,0%,,
173,141,six tails,2,2,2,5,,0%,,
174,141,six tails,2,2,2,6,,0%,,
175,141,six tails,2,2,2,7,,0%,,
176,141,six tails,2,2,2,8,,0%,,
177,141,six tails,2,2,2,9,,0%,,
178,141,six tails,2,2,2,10,,0%,,
179,141,six tails,2,2,2,11,,0%,,
180,141,six tails,2,2,2,12,,0%,,
181,151,Baby Ding,1,2,2,1,13,0%,,
182,151,Baby Ding,1,2,2,2,13,0.08%,,
183,151,Baby Ding,1,2,2,3,13,0.16%,,
184,151,Baby Ding,1,2,2,4,13,0.24%,,
185,151,Baby Ding,1,2,2,5,13,0.40%,,
186,151,Baby Ding,1,2,2,6,13,0.56%,,
187,151,Baby Ding,1,2,2,7,13,0.80%,,
188,151,Baby Ding,1,2,2,8,13,1.04%,,
189,151,Baby Ding,1,2,2,9,13,1.36%,,
190,151,Baby Ding,1,2,2,10,13,1.68%,,
191,151,Baby Ding,1,2,2,11,13,2%,,
192,151,Baby Ding,1,2,2,12,13,2.40%,,
193,161,supersonic bat,8,3,3,1,7,0%,,
194,161,supersonic bat,8,3,3,2,7,0%,,
195,161,supersonic bat,8,3,3,3,7,0.10%,,
196,161,supersonic bat,8,3,3,4,7,0.25%,,
197,161,supersonic bat,8,3,3,5,7,0.40%,,
198,161,supersonic bat,8,3,3,6,7,0.70%,,
199,161,supersonic bat,8,3,3,7,7,1%,,
200,161,supersonic bat,8,3,3,8,7,1.30%,,
201,161,supersonic bat,8,3,3,9,7,1.75%,,
202,161,supersonic bat,8,3,3,10,7,2.20%,,
203,161,supersonic bat,8,3,3,11,7,2.65%,,
204,161,supersonic bat,8,3,3,12,7,3.25%,,
205,171,walking grass,4,1,2,1,8,0%,,
206,171,walking grass,4,1,2,2,8,0.04%,,
207,171,walking grass,4,1,2,3,8,0.06%,,
208,171,walking grass,4,1,2,4,8,0.08%,,
209,171,walking grass,4,1,2,5,8,0.12%,,
210,171,walking grass,4,1,2,6,8,0.18%,,
211,171,walking grass,4,1,2,7,8,0.24%,,
212,171,walking grass,4,1,2,8,8,0.32%,,
213,171,walking grass,4,1,2,9,8,0.40%,,
214,171,walking grass,4,1,2,10,8,0.50%,,
215,171,walking grass,4,1,2,11,8,0.60%,,
216,171,walking grass,4,1,2,12,8,0.72%,,
217,181,Paras,12,1,2,1,,0%,,
218,181,Paras,12,1,2,2,,0%,,
219,181,Paras,12,1,2,3,,0%,,
220,181,Paras,12,1,2,4,,0%,,
221,181,Paras,12,1,2,5,,0%,,
222,181,Paras,12,1,2,6,,0%,,
223,181,Paras,12,1,2,7,,0%,,
224,181,Paras,12,1,2,8,,0%,,
225,181,Paras,12,1,2,9,,0%,,
226,181,Paras,12,1,2,10,,0%,,
227,181,Paras,12,1,2,11,,0%,,
228,181,Paras,12,1,2,12,,0%,,
229,191,Hairball,12,1,2,1,13,0%,,
230,191,Hairball,12,1,2,2,13,0.04%,,
231,191,Hairball,12,1,2,3,13,0.06%,,
232,191,Hairball,12,1,2,4,13,0.08%,,
233,191,Hairball,12,1,2,5,13,0.12%,,
234,191,Hairball,12,1,2,6,13,0.18%,,
235,191,Hairball,12,1,2,7,13,0.24%,,
236,191,Hairball,12,1,2,8,13,0.32%,,
237,191,Hairball,12,1,2,9,13,0.40%,,
238,191,Hairball,12,1,2,10,13,0.50%,,
239,191,Hairball,12,1,2,11,13,0.60%,,
240,191,Hairball,12,1,2,12,13,0.72%,,
241,201,Gophers,9,1,2,1,,0%,,
242,201,Gophers,9,1,2,2,,0%,,
243,201,Gophers,9,1,2,3,,0%,,
244,201,Gophers,9,1,2,4,,0%,,
245,201,Gophers,9,1,2,5,,0%,,
246,201,Gophers,9,1,2,6,,0%,,
247,201,Gophers,9,1,2,7,,0%,,
248,201,Gophers,9,1,2,8,,0%,,
249,201,Gophers,9,1,2,9,,0%,,
250,201,Gophers,9,1,2,10,,0%,,
251,201,Gophers,9,1,2,11,,0%,,
252,201,Gophers,9,1,2,12,,0%,,
253,211,Meow meow,1,1,2,1,,0%,,
254,211,Meow meow,1,1,2,2,,0%,,
255,211,Meow meow,1,1,2,3,,0%,,
256,211,Meow meow,1,1,2,4,,0%,,
257,211,Meow meow,1,1,2,5,,0%,,
258,211,Meow meow,1,1,2,6,,0%,,
259,211,Meow meow,1,1,2,7,,0%,,
260,211,Meow meow,1,1,2,8,,0%,,
261,211,Meow meow,1,1,2,9,,0%,,
262,211,Meow meow,1,1,2,10,,0%,,
263,211,Meow meow,1,1,2,11,,0%,,
264,211,Meow meow,1,1,2,12,,0%,,
265,221,up to duck,3,2,2,1,8,0%,,
266,221,up to duck,3,2,2,2,8,0.08%,,
267,221,up to duck,3,2,2,3,8,0.16%,,
268,221,up to duck,3,2,2,4,8,0.24%,,
269,221,up to duck,3,2,2,5,8,0.40%,,
270,221,up to duck,3,2,2,6,8,0.56%,,
271,221,up to duck,3,2,2,7,8,0.80%,,
272,221,up to duck,3,2,2,8,8,1.04%,,
273,221,up to duck,3,2,2,9,8,1.36%,,
274,221,up to duck,3,2,2,10,8,1.68%,,
275,221,up to duck,3,2,2,11,8,2%,,
276,221,up to duck,3,2,2,12,8,2.40%,,
277,231,monkey monster,7,1,2,1,9,0%,,
278,231,monkey monster,7,1,2,2,9,0.04%,,
279,231,monkey monster,7,1,2,3,9,0.06%,,
280,231,monkey monster,7,1,2,4,9,0.08%,,
281,231,monkey monster,7,1,2,5,9,0.12%,,
282,231,monkey monster,7,1,2,6,9,0.18%,,
283,231,monkey monster,7,1,2,7,9,0.24%,,
284,231,monkey monster,7,1,2,8,9,0.32%,,
285,231,monkey monster,7,1,2,9,9,0.40%,,
286,231,monkey monster,7,1,2,10,9,0.50%,,
