变量名,typeID,star,attrTarget,attrNatureType,attrNum,effectDesc,effectDesc_tw,effectDesc_en,effectDesc_vn,effectDesc_kr
默认值,,1,0,0,{},"""""","""""","""""","""""",""""""
ID,索引类型ID,星级,属性加成目标 0-本体 1-指定属性精灵,属性加成类型,属性加成值,效果描述（attrNatureType字段描述手动配置加，属性部分描述通过%s索引）,效果描述（attrNatureType字段描述手动配置加，属性部分描述通过%s索引）,效果描述（attrNatureType字段描述手动配置加，属性部分描述通过%s索引）,效果描述（attrNatureType字段描述手动配置加，属性部分描述通过%s索引）_越南,效果描述（attrNatureType字段描述手动配置加，属性部分描述通过%s索引）_韩
2,1,2,0,0,{7=80;8=80},,,,,
3,1,3,0,0,{25=200},,,,,
4,1,4,0,0,{7=5%;8=5%},,,,,
5,1,5,0,0,{1=5%},,,,,
6,1,6,0,0,{9=5%;10=5%},,,,,
7,1,7,0,0,{28=300},\n Unlock PVP attack reduction passive skill,\n解鎖PVP傷害減免被動技能,\n Unlock PVP attack reduction passive skill,\nMở khoá kỹ năng bị động giảm thương PVP,\n PVP 피해 감소 패시브 스킬 잠금 해제
8,1,8,0,0,{1=10%},,,,,
9,1,9,0,0,{7=10%;8=10%},,,,,
10,1,10,0,0,{28=600},\n Unlock PVP attack bonus passive skill,\n解鎖PVP傷害加成被動技能,\n Unlock PVP attack bonus passive skill,\nMở khoá kỹ năng bị động tăng thương PVP,\n PVP 피해 보너스 패시브 스킬 잠금 해제
11,1,11,0,0,{22=1000},,,,,
12,1,12,0,0,{23=1000},,,,,
1002,11,2,0,0,{7=80;8=80},,,,,
1003,11,3,0,0,{24=200},,,,,
1004,11,4,0,0,{7=5%;8=5%},,,,,
1005,11,5,0,0,{1=5%},,,,,
1006,11,6,0,0,{7=5%;8=5%},,,,,
1007,11,7,0,0,{14=300},\n Unlock PVP attack bonus passive skill,\n解鎖PVP傷害加成被動技能,\n Unlock PVP attack bonus passive skill,\nMở khoá kỹ năng bị động tăng thương PVP,\n PVP 피해 보너스 패시브 스킬 잠금 해제
1008,11,8,0,0,{1=10%},,,,,
1009,11,9,0,0,{7=10%;8=10%},,,,,
1010,11,10,0,0,{14=600},\n Unlock PVP attack reduction passive skill,\n解鎖PVP傷害減免被動技能,\n Unlock PVP attack reduction passive skill,\nMở khoá kỹ năng bị động giảm thương PVP,\n PVP 피해 감소 패시브 스킬 잠금 해제
1011,11,11,0,0,{22=1000},,,,,
1012,11,12,0,0,{23=1000},,,,,
2002,21,2,0,0,{9=80;10=80},,,,,
2003,21,3,0,0,{25=200},,,,,
2004,21,4,0,0,{9=5%;10=5%},,,,,
2005,21,5,0,0,{1=5%},,,,,
2006,21,6,0,0,{9=5%;10=5%},,,,,
2007,21,7,0,0,{17=300},\n Unlock PVP attack reduction passive skill,\n解鎖PVP傷害減免被動技能,\n Unlock PVP attack reduction passive skill,\nMở khoá kỹ năng bị động giảm thương PVP,\n PVP 피해 감소 패시브 스킬 잠금 해제
2008,21,8,0,0,{1=10%},,,,,
2009,21,9,0,0,{9=10%;10=10%},,,,,
2010,21,10,0,0,{17=600},\n Unlock PVP attack bonus passive skill,\n解鎖PVP傷害加成被動技能,\n Unlock PVP attack bonus passive skill,\nMở khoá kỹ năng bị động tăng thương PVP,\n PVP 피해 보너스 패시브 스킬 잠금 해제
2011,21,11,0,0,{22=1000},,,,,
2012,21,12,0,0,{23=1000},,,,,
3002,31,2,0,0,{7=80;8=80},,,,,
3003,31,3,0,0,{24=200},,,,,
3004,31,4,0,0,{7=5%;8=5%},,,,,
3005,31,5,0,0,{1=5%},,,,,
3006,31,6,0,0,{9=5%;10=5%},,,,,
3007,31,7,0,0,{90=300},\n Unlock PVP attack bonus passive skill,\n解鎖PVP傷害加成被動技能,\n Unlock PVP attack bonus passive skill,\nMở khoá kỹ năng bị động tăng thương PVP,\n PVP 피해 보너스 패시브 스킬 잠금 해제
3008,31,8,0,0,{1=10%},,,,,
3009,31,9,0,0,{7=10%;8=10%},,,,,
3010,31,10,0,0,{90=600},\n Unlock PVP attack reduction passive skill,\n解鎖PVP傷害減免被動技能,\n Unlock PVP attack reduction passive skill,\nMở khoá kỹ năng bị động giảm thương PVP,\n PVP 피해 감소 패시브 스킬 잠금 해제
3011,31,11,0,0,{22=1000},,,,,
3012,31,12,0,0,{23=1000},,,,,
4002,41,2,0,0,{7=80;8=80},,,,,
4003,41,3,0,0,{24=200},,,,,
4004,41,4,0,0,{7=5%;8=5%},,,,,
4005,41,5,0,0,{1=5%},,,,,
4006,41,6,0,0,{7=5%;8=5%},,,,,
4007,41,7,0,0,{24=300},\n Unlock PVP attack bonus passive skill,\n解鎖PVP傷害加成被動技能,\n Unlock PVP attack bonus passive skill,\nMở khoá kỹ năng bị động tăng thương PVP,\n PVP 피해 보너스 패시브 스킬 잠금 해제
4008,41,8,0,0,{1=10%},,,,,
4009,41,9,0,0,{7=10%;8=10%},,,,,
4010,41,10,0,0,{24=600},\n Unlock PVP attack reduction passive skill,\n解鎖PVP傷害減免被動技能,\n Unlock PVP attack reduction passive skill,\nMở khoá kỹ năng bị động giảm thương PVP,\n PVP 피해 감소 패시브 스킬 잠금 해제
4011,41,11,0,0,{22=1000},,,,,
4012,41,12,0,0,{23=1000},,,,,
5002,51,2,0,0,{7=80;8=80},,,,,
5003,51,3,0,0,{24=200},,,,,
5004,51,4,0,0,{7=5%;8=5%},,,,,
5005,51,5,0,0,{1=5%},,,,,
5006,51,6,0,0,{7=5%;8=5%},,,,,
5007,51,7,0,0,{24=300},\n Unlock PVP attack bonus passive skill,\n解鎖PVP傷害加成被動技能,\n Unlock PVP attack bonus passive skill,\nMở khoá kỹ năng bị động tăng thương PVP,\n PVP 피해 보너스 패시브 스킬 잠금 해제
5008,51,8,0,0,{1=10%},,,,,
5009,51,9,0,0,{7=10%;8=10%},,,,,
5010,51,10,0,0,{24=600},\n Unlock PVP attack reduction passive skill,\n解鎖PVP傷害減免被動技能,\n Unlock PVP attack reduction passive skill,\nMở khoá kỹ năng bị động giảm thương PVP,\n PVP 피해 감소 패시브 스킬 잠금 해제
5011,51,11,0,0,{22=1000},,,,,
5012,51,12,0,0,{23=1000},,,,,
6002,61,2,0,0,{7=80;8=80},,,,,
6003,61,3,0,0,{24=200},,,,,
6004,61,4,0,0,{7=5%;8=5%},,,,,
6005,61,5,0,0,{1=5%},,,,,
6006,61,6,0,0,{7=5%;8=5%},,,,,
6007,61,7,0,0,{15=450},\n Unlock PVP attack bonus passive skill,\n解鎖PVP傷害加成被動技能,\n Unlock PVP attack bonus passive skill,\nMở khoá kỹ năng bị động tăng thương PVP,\n PVP 피해 보너스 패시브 스킬 잠금 해제
6008,61,8,0,0,{1=10%},,,,,
6009,61,9,0,0,{7=10%;8=10%},,,,,
6010,61,10,0,0,{15=900},\n Unlock PVP attack reduction passive skill,\n解鎖PVP傷害減免被動技能,\n Unlock PVP attack reduction passive skill,\nMở khoá kỹ năng bị động giảm thương PVP,\n PVP 피해 감소 패시브 스킬 잠금 해제
6011,61,11,0,0,{22=1000},,,,,
6012,61,12,0,0,{23=1000},,,,,
7002,71,2,0,0,{7=80;8=80},,,,,
7003,71,3,0,0,{24=200},,,,,
7004,71,4,0,0,{7=5%;8=5%},,,,,
7005,71,5,0,0,{1=5%},,,,,
7006,71,6,0,0,{7=5%;8=5%},,,,,
