变量名,_beizhu,itemWeightMap,itemCount,costMap,vipStart,vipWeight,vipWeight_kr,vipWeight_en,vipWeight_tw,beginDate,endDate,position,levelRange,limitType,limitTimes,showUnable
默认值,,{},0,{coin5=0},0,1,1,1,1,0,20990101,0,<1;150>,0,0,FALSE
商店ID,备注,商品ID表({ID=权重;}),商品个数,消耗,起始VIP等级,刷新几率权重(-1=必定出现),刷新几率权重(-1=必定出现),刷新几率权重(-1=必定出现),刷新几率权重(-1=必定出现),开始贩售时间,结束贩售时间,商店栏位,等级限制,限购周期类型(1-日限购；2-周限购；3-月限购；4-永久限购),限购数量,未解锁时是否可见
,,,,,,,,,,,,,,,,
1,Mewtwo Fragments,{20761=5},5,{coin5=200},,0,0,0,0,,,0,<200;200>,,,
2,Phoenix King Fragment,{21271=5},5,{coin5=200},,0,0,0,0,,,1,<200;200>,,,
3,magic capsule,{19=5},10,{coin5=20},,0,0,0,0,,,4,<200;200>,,,
4,bluestone,{2102=10},10,{coin5=20},,0,0,0,0,,,7,<200;200>,,,
5,Amethyst,{2103=5},5,{coin5=20},,0,0,0,0,,,6,<200;200>,,,
6,Jewelry Drawings,{100=10},10,{coin5=20},,0,0,0,0,,,5,<200;200>,,,
7,Diamond Draw Coupon,{519=10},5,{coin5=1000},,0,0,0,0,,,2,<200;200>,,,
8,plasma core,{801=10},10,{coin5=20},,0,0,0,0,,,3,<200;200>,,,
,,,,,,,,,,,,,,,,
101,S Fragment 1 - Unavailable Rare,{20261=100;20331=100;20391=100;20491=100;20571=100;20591=100;20601=100;20631=100;20721=0;20731=0;20741=0;20881=100;21071=100;21081=0;21171=100;21221=0;21231=0;21241=0;21251=0;21291=100;21311=0;21391=100;21421=100;21501=100;21811=100;22721=100;23001=100;23021=100;23141=100;23351=0;23411=100;23541=100;20241=100;20401=100;22991=100;23661=100;20161=100;22031=100},3,{coin5=200},,100,100,100,100,,,0,,,,
