变量名,award,group,weight,showWeight
默认值,{},"""""",10,10
ID,奖励,分组,真实权重（获得物品时用）,显示权重（显示物品时用）
1,{gold=10000},W1,200,150
2,{gold=20000},W1,200,150
3,{rmb=30},W1,10,10
4,{rmb=60},W1,10,10
5,{11=10},W1,100,100
6,{12=5},W1,80,80
7,{13=3},W1,40,40
8,{14=2},W1,20,20
9,{451=1},W1,60,60
10,{452=1},W1,60,60
11,{900=2},W1,60,60
12,{901=1},W1,60,60
13,{100=1},W1,60,60
,,,,
101,{gold=10000},W2,200,150
102,{gold=20000},W2,200,150
103,{rmb=30},W2,10,10
104,{rmb=60},W2,10,10
105,{11=10},W2,100,100
106,{12=5},W2,80,80
107,{13=3},W2,40,40
108,{14=2},W2,20,20
109,{451=1},W2,60,60
110,{452=1},W2,60,60
111,{900=2},W2,60,60
112,{901=1},W2,60,60
113,{100=1},W2,60,60
,,,,
201,{gold=10000},W3,200,150
202,{gold=20000},W3,200,150
203,{rmb=20},W3,10,10
204,{rmb=30},W3,10,10
205,{11=10},W3,100,100
206,{12=5},W3,80,80
207,{13=3},W3,40,40
208,{14=2},W3,20,20
209,{451=1},W3,60,60
210,{452=1},W3,60,60
211,{900=2},W3,60,60
212,{901=1},W3,60,60
213,{100=1},W3,60,60
,,,,
301,{gold=5000},L1,200,150
302,{gold=10000},L1,200,150
303,{rmb=10},L1,10,10
304,{rmb=20},L1,0,0
305,{11=5},L1,100,100
306,{12=3},L1,80,80
307,{13=2},L1,40,40
308,{14=2},L1,0,0
309,{451=1},L1,60,60
310,{452=1},L1,0,0
311,{900=2},L1,60,60
312,{901=1},L1,0,0
313,{100=1},L1,0,0
,,,,
401,{gold=5000},L2,200,150
402,{gold=10000},L2,200,150
403,{rmb=10},L2,10,10
404,{rmb=20},L2,0,0
405,{11=5},L2,100,100
406,{12=3},L2,80,80
407,{13=2},L2,40,40
408,{14=2},L2,0,0
409,{451=1},L2,60,60
410,{452=1},L2,0,0
411,{900=2},L2,60,60
412,{901=1},L2,0,0
413,{100=1},L2,0,0
,,,,
501,{gold=5000},L3,200,150
502,{gold=10000},L3,200,150
503,{rmb=10},L3,10,10
504,{rmb=20},L3,0,0
505,{11=5},L3,100,100
506,{12=3},L3,80,80
507,{13=2},L3,40,40
508,{14=2},L3,0,0
509,{451=1},L3,60,60
510,{452=1},L3,0,0
511,{900=2},L3,60,60
512,{901=1},L3,0,0
513,{100=1},L3,0,0
